COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202601;410690;3059200;07;;85;0;0;0
202601;410690;3063216;05;;40;0;10;0
202601;410690;3068870;05;;75;0;0;0
202601;410690;3075516;05;;131;66;22;8
202601;410690;3087727;07;;3;0;0;0
202601;410690;3117626;05;;29;0;0;0
202601;410690;3140156;07;;9;0;0;0
202601;410690;3160408;05;;86;0;31;0
202601;410690;3199371;07;;10;0;0;0
202601;410690;3371980;05;;90;0;35;0
202601;410690;3971465;05;;36;0;10;0
202601;410690;4259181;07;;4;0;0;0
202601;410690;4650107;05;;7;0;0;0
202601;410690;5064554;05;;13;0;0;0
202601;410690;5247993;05;;10;0;0;0
202601;410690;5310350;05;;55;33;4;0
202601;410690;6388671;05;;197;173;30;30
202601;410690;6593267;05;;16;0;0;0
202601;410690;6878318;05;;188;4;60;0
202601;410690;7180799;05;;14;0;0;0
202601;410690;7413432;05;;54;49;0;0
202601;410690;7457081;05;;16;0;0;0
202601;410690;8044325;05;;24;22;2;0
202601;410690;9084940;07;;12;12;0;0
202601;410690;9356312;05;;18;0;0;0
202601;410690;9571493;05;;45;0;0;0
202601;410690;9582800;05;;89;0;10;0
202601;410690;9907939;05;;79;69;0;0
202601;410700;3024628;05;;19;16;0;0
202601;410710;2753871;05;;19;19;0;0
202601;410720;5232511;05;;60;50;0;0
202601;410750;2735962;05;;38;34;0;0
202601;410753;4052536;05;;10;8;0;0
202601;410760;0887854;05;;30;30;0;0
202601;410765;0017574;05;;84;84;0;0
202601;410775;4052617;05;;31;31;0;0
202601;410790;2733196;05;;24;24;0;0
202601;410800;2729490;05;;22;22;0;0
202601;410820;2572370;05;;45;44;0;0
202601;410830;2591049;05;;209;126;44;21
202601;410830;2593912;05;;139;0;8;0
202601;410830;2673800;05;;41;0;7;0
202601;410830;4388380;05;;60;60;0;0
202601;410830;5061989;05;;218;218;40;40
202601;410840;2666723;05;;68;0;4;0
202601;410840;2666731;05;;84;60;10;10
202601;410840;4924614;05;;96;76;10;0
202601;410840;5373190;05;;36;34;6;6
202601;410840;6424341;05;;155;149;34;30
202601;410840;9164359;07;;2;1;0;0
202601;410840;9736654;07;;2;1;0;0
