 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2018
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";1;3;-;-;1;1;-;3;2;2;-;-;-;-;-;-;18;74;105
"410010 ABATIA";-;3;-;4;1;2;-;15;8;2;-;-;1;-;1;-;6;11;54
"410020 ADRIANOPOLIS";3;10;-;-;-;1;-;8;8;3;-;-;-;-;-;-;1;5;39
"410030 AGUDOS DO SUL";1;16;1;2;1;3;-;25;6;4;2;-;-;-;3;1;1;12;78
"410040 ALMIRANTE TAMANDARE";23;111;2;58;14;21;-;152;70;41;1;2;17;1;8;4;8;106;639
"410045 ALTAMIRA DO PARANA";-;5;-;5;-;-;-;10;1;-;-;-;1;-;-;2;-;5;29
"410050 ALTONIA";2;27;1;19;1;6;-;70;34;11;-;1;10;-;3;2;-;17;204
"410060 ALTO PARANA";1;21;-;6;2;4;-;58;12;6;-;-;-;-;-;-;-;11;121
"410070 ALTO PIQUIRI";-;16;-;10;3;2;-;25;8;4;-;-;1;-;2;2;-;8;81
"410080 ALVORADA DO SUL";1;17;1;7;2;4;-;24;11;7;-;-;3;-;-;-;-;11;88
"410090 AMAPORA";-;11;-;8;-;2;-;14;6;3;-;-;1;1;-;-;-;12;58
"410100 AMPERE";2;20;1;12;1;5;-;32;20;10;-;-;4;-;1;1;-;11;120
"410105 ANAHY";-;5;-;2;1;-;-;13;2;2;-;-;-;1;-;1;-;1;28
"410110 ANDIRA";6;24;-;15;1;9;-;52;22;8;1;2;7;2;1;2;10;7;169
"410115 ANGULO";1;3;-;-;2;3;-;4;1;3;-;-;-;-;-;-;-;3;20
"410120 ANTONINA";6;23;-;4;-;1;-;45;16;5;1;-;10;-;1;1;44;11;168
"410130 ANTONIO OLINTO";-;14;1;1;-;1;-;24;8;3;-;-;-;-;-;-;2;4;58
"410140 APUCARANA";15;193;2;42;4;44;-;264;113;57;2;5;28;1;10;3;4;77;864
"410150 ARAPONGAS";18;161;3;41;11;48;-;175;114;38;1;1;31;-;9;8;8;81;748
"410160 ARAPOTI";7;26;1;9;1;12;-;62;18;5;-;1;4;-;2;1;1;16;166
"410165 ARAPUA";-;5;-;1;-;1;-;8;4;3;1;1;-;-;-;-;1;4;29
"410170 ARARUNA";1;22;1;5;-;4;-;34;11;7;1;-;4;-;2;2;-;12;106
"410180 ARAUCARIA";29;132;1;63;13;38;-;195;79;44;3;7;29;2;17;8;10;102;772
"410185 ARIRANHA DO IVAI";2;5;1;1;-;-;-;8;2;-;-;-;2;-;-;-;1;7;29
