 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2018
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410190 ASSAI";4;20;-;5;3;8;-;38;13;4;-;-;5;-;1;-;-;18;119
"410200 ASSIS CHATEAUBRIAND";5;54;2;22;7;8;-;81;38;12;1;-;6;-;1;3;7;23;270
"410210 ASTORGA";3;42;1;13;5;7;-;60;29;6;1;1;5;1;3;2;-;18;197
"410220 ATALAIA";2;3;-;-;-;1;-;6;4;1;-;-;-;-;-;-;-;4;21
"410230 BALSA NOVA";7;19;-;4;2;-;-;23;9;4;-;-;2;-;-;1;-;12;83
"410240 BANDEIRANTES";21;39;2;14;6;6;-;79;40;15;3;2;13;-;-;1;7;31;279
"410250 BARBOSA FERRAZ";-;16;1;11;-;2;-;39;13;13;-;1;3;-;-;-;-;8;107
"410260 BARRACAO";1;30;1;1;-;1;-;20;6;4;-;-;-;-;1;1;-;5;71
"410270 BARRA DO JACARE";-;2;-;-;1;3;-;7;1;2;-;-;1;-;-;-;2;2;21
"410275 BELA VISTA DA CAROBA";1;6;-;3;-;2;-;13;5;1;-;-;-;-;-;1;-;2;34
"410280 BELA VISTA DO PARAISO";4;20;-;9;3;7;-;41;19;10;-;-;5;-;2;-;1;13;134
"410290 BITURUNA";4;31;1;11;3;2;-;22;18;2;-;-;2;-;-;4;2;18;120
"410300 BOA ESPERANCA";-;11;-;2;1;2;-;9;11;3;-;1;1;-;-;-;-;6;47
"410302 BOA ESPERANCA DO IGUACU";-;4;-;1;-;1;-;7;2;-;-;-;-;-;-;1;-;-;16
"410304 BOA VENTURA DE SAO ROQUE";-;3;-;3;2;-;-;10;5;-;-;-;2;-;-;-;-;2;27
"410305 BOA VISTA DA APARECIDA";3;11;-;3;-;4;-;18;4;3;-;-;-;-;-;-;-;5;51
"410310 BOCAIUVA DO SUL";1;16;-;4;1;1;-;19;13;2;-;-;3;-;1;-;12;8;81
"410315 BOM JESUS DO SUL";-;8;-;3;-;1;-;7;5;2;-;-;-;-;3;-;-;2;31
"410320 BOM SUCESSO";-;10;1;2;1;3;-;14;6;4;-;-;4;-;-;-;4;10;59
"410322 BOM SUCESSO DO SUL";-;4;1;1;-;-;-;5;6;1;-;-;-;-;-;-;2;-;20
"410330 BORRAZOPOLIS";1;11;-;1;-;5;-;18;11;2;-;-;1;-;-;-;1;7;58
"410335 BRAGANEY";-;9;-;4;1;3;-;12;7;1;-;-;-;-;2;-;1;4;44
"410337 BRASILANDIA DO SUL";-;3;-;2;-;1;-;12;5;1;1;-;1;-;-;-;-;4;30
"410340 CAFEARA";1;6;-;-;-;3;-;3;1;2;-;-;1;-;-;-;-;1;18
"410345 CAFELANDIA";3;20;-;5;-;4;-;21;5;4;-;-;1;-;2;1;2;10;78
"410347 CAFEZAL DO SUL";-;6;-;2;1;4;-;16;3;2;-;-;-;-;-;-;1;-;35
"410350 CALIFORNIA";2;11;-;3;-;2;-;20;7;3;-;-;3;-;1;-;1;10;63
"410360 CAMBARA";5;37;-;15;3;9;-;55;23;15;2;1;8;-;-;-;5;16;194
"410370 CAMBE";6;133;2;32;7;32;-;161;115;45;4;3;27;1;7;3;9;89;676
"410380 CAMBIRA";1;9;-;4;1;1;-;17;4;7;-;-;2;-;1;-;-;12;59
"410390 CAMPINA DA LAGOA";2;14;-;10;-;1;-;61;20;13;-;-;-;-;2;2;2;13;140
"410395 CAMPINA DO SIMAO";-;6;-;1;-;-;-;8;3;2;-;-;1;-;-;-;-;3;24
"410400 CAMPINA GRANDE DO SUL";11;50;3;13;-;9;-;78;34;17;1;-;7;-;9;2;22;43;299
"410405 CAMPO BONITO";1;8;-;1;1;-;-;7;7;3;-;-;-;-;-;-;-;2;30
"410410 CAMPO DO TENENTE";6;8;-;1;-;1;-;13;7;2;-;-;-;1;-;-;1;14;54
"410420 CAMPO LARGO";36;152;4;28;5;24;-;216;116;28;3;1;30;-;9;9;38;87;786
"410425 CAMPO MAGRO";11;23;-;8;4;7;-;35;35;9;1;-;5;-;-;-;1;18;157
"410430 CAMPO MOURAO";16;111;4;48;6;24;-;170;74;54;1;2;10;2;12;7;-;96;637
"410440 CANDIDO DE ABREU";5;20;-;3;-;1;-;25;20;8;-;-;1;-;6;1;15;10;115
"410442 CANDOI";1;18;-;6;-;2;-;25;8;3;-;-;-;-;1;-;2;23;89
"410445 CANTAGALO";1;29;-;9;1;3;-;27;17;2;-;-;3;-;2;-;2;15;111
"410450 CAPANEMA";5;32;-;9;-;3;-;57;21;5;-;-;1;-;1;1;2;7;144
"410460 CAPITAO LEONIDAS MARQUES";4;24;1;11;1;1;-;35;18;3;1;-;2;-;1;2;2;20;126
"410465 CARAMBEI";3;27;2;7;-;1;-;25;12;11;-;2;3;1;-;2;6;12;114
"410470 CARLOPOLIS";4;25;-;3;-;1;-;33;11;8;2;-;4;-;3;1;4;8;107
"410480 CASCAVEL";48;343;3;94;32;93;1;448;212;90;3;8;26;1;17;16;21;213;1669
"410490 CASTRO";13;76;2;31;3;16;-;100;59;21;-;1;20;-;3;3;62;53;463
"410500 CATANDUVAS";1;12;1;7;1;-;-;24;9;3;-;-;-;-;-;-;1;8;67
"410510 CENTENARIO DO SUL";3;15;-;12;-;4;-;41;11;4;-;-;3;-;-;-;1;4;98
"410520 CERRO AZUL";5;17;1;10;-;3;-;36;16;2;-;-;4;-;-;1;3;12;110
"410530 CEU AZUL";1;16;-;4;4;3;-;25;10;4;-;1;2;-;2;-;1;7;80
"410540 CHOPINZINHO";4;31;2;8;2;10;-;37;14;9;-;1;5;-;2;1;-;18;144
"410550 CIANORTE";16;83;2;29;4;27;-;156;61;30;-;3;12;4;10;10;1;68;516
"410560 CIDADE GAUCHA";1;11;-;6;-;3;-;28;8;4;-;-;1;-;3;-;1;12;78
"410570 CLEVELANDIA";6;30;-;1;4;3;-;50;19;8;-;-;5;-;1;-;8;11;146
"410580 COLOMBO";50;241;5;93;26;47;-;345;147;66;5;8;28;1;20;12;32;161;1287
"410590 COLORADO";3;27;-;8;1;6;-;51;30;13;-;1;4;-;1;2;-;21;168
"410600 CONGONHINHAS";5;13;-;2;3;-;-;29;9;8;-;-;-;-;-;-;5;10;84
"410610 CONSELHEIRO MAIRINCK";1;11;-;2;-;1;-;3;6;1;-;-;2;-;-;-;-;5;32
"410620 CONTENDA";6;28;-;5;-;3;-;40;12;6;-;2;2;1;3;1;3;15;127
"410630 CORBELIA";1;28;1;11;2;6;-;41;14;6;1;-;1;1;-;5;1;7;126
"410640 CORNELIO PROCOPIO";11;82;2;21;7;16;-;104;61;29;1;1;6;-;3;2;10;31;387
"410645 CORONEL DOMINGOS SOARES";-;9;-;1;-;-;-;17;7;3;-;-;-;-;-;-;-;5;42
"410650 CORONEL VIVIDA";9;32;3;11;1;10;-;29;24;4;-;1;3;-;4;3;3;13;150
"410655 CORUMBATAI DO SUL";-;10;-;2;-;-;-;10;4;2;-;-;-;-;-;1;-;-;29
"410657 CRUZEIRO DO IGUACU";-;3;-;1;-;1;-;12;8;1;-;-;-;-;-;-;-;6;32
"410660 CRUZEIRO DO OESTE";6;34;-;12;8;11;-;54;34;9;-;-;5;-;2;3;5;23;206
"410670 CRUZEIRO DO SUL";-;6;-;2;4;-;-;10;5;5;-;-;2;-;-;-;1;-;35
"410680 CRUZ MACHADO";3;27;-;3;1;7;-;35;12;5;-;2;3;-;3;2;1;15;119
"410685 CRUZMALTINA";-;5;-;4;-;2;-;8;5;3;-;-;1;-;-;-;1;2;31
"410690 CURITIBA";378;2526;35;823;122;767;1;2855;988;557;22;60;253;7;104;80;86;1217;10881
"410700 CURIUVA";4;11;2;10;1;5;-;36;13;5;-;1;5;1;1;-;2;14;111
"410710 DIAMANTE DO NORTE";3;6;-;6;-;3;-;12;3;4;-;-;1;-;-;1;-;3;42
"410712 DIAMANTE DO SUL";1;8;-;-;-;-;-;10;3;3;-;-;-;-;-;2;-;3;30
"410715 DIAMANTE D'OESTE";-;8;-;3;-;1;-;12;6;-;-;-;-;1;2;-;-;1;34
"410720 DOIS VIZINHOS";4;55;3;6;-;5;-;72;37;13;-;-;7;-;6;3;4;14;229
"410725 DOURADINA";1;4;-;2;-;2;-;16;9;1;-;-;1;-;-;-;-;5;41
"410730 DOUTOR CAMARGO";-;15;-;6;1;5;-;13;7;3;-;-;4;-;-;-;-;1;55
"410740 ENEAS MARQUES";1;6;-;5;-;-;-;10;6;1;-;-;-;-;-;-;2;3;34
"410750 ENGENHEIRO BELTRAO";4;22;1;5;1;5;-;24;16;7;-;1;5;-;1;1;-;8;101
"410752 ESPERANCA NOVA";-;3;-;1;1;1;-;5;1;1;-;-;1;-;-;-;1;-;15
"410753 ENTRE RIOS DO OESTE";-;12;-;3;3;-;-;11;-;-;-;-;-;-;1;-;-;5;35
"410754 ESPIGAO ALTO DO IGUACU";1;3;-;2;-;2;-;18;7;1;-;-;3;-;-;-;-;6;43
"410755 FAROL";-;5;-;2;1;-;-;6;3;-;-;-;-;-;2;-;1;1;21
"410760 FAXINAL";4;28;2;15;-;2;-;45;17;11;-;-;6;1;1;2;3;22;159
"410765 FAZENDA RIO GRANDE";21;101;3;31;9;15;-;125;51;42;2;4;11;1;19;8;4;82;529
"410770 FENIX";-;6;-;3;1;1;-;7;5;2;1;1;1;-;-;-;-;4;32
"410773 FERNANDES PINHEIRO";-;8;1;3;-;-;-;14;6;2;-;-;1;-;1;2;1;8;47
"410775 FIGUEIRA";2;17;-;8;2;4;-;35;5;4;-;2;5;-;-;-;-;12;96
"410780 FLORAI";-;14;-;6;-;3;-;17;5;2;1;-;1;-;-;-;-;4;53
"410785 FLOR DA SERRA DO SUL";2;6;-;3;-;1;-;7;6;2;-;1;-;-;-;1;-;7;36
"410790 FLORESTA";3;14;-;5;-;1;-;10;12;3;1;-;5;-;3;1;-;3;61
"410800 FLORESTOPOLIS";1;17;-;7;-;2;-;31;11;3;1;1;6;-;3;-;3;9;95
"410810 FLORIDA";1;3;-;1;-;3;1;5;3;3;-;-;-;-;-;-;-;3;23
"410820 FORMOSA DO OESTE";2;14;1;6;2;1;-;21;4;-;-;1;2;-;3;-;-;5;62
"410830 FOZ DO IGUACU";46;334;5;131;8;47;-;408;207;87;5;8;32;2;30;11;26;248;1635
"410832 FRANCISCO ALVES";1;8;1;1;3;1;-;26;3;6;1;-;-;-;1;-;2;11;65
"410840 FRANCISCO BELTRAO";11;106;2;23;8;21;-;118;78;26;-;-;14;1;8;8;13;56;493
"410845 FOZ DO JORDAO";-;8;-;4;1;1;-;5;7;2;-;-;-;-;1;-;-;8;37
"410850 GENERAL CARNEIRO";1;20;1;3;1;2;-;19;6;4;1;1;1;-;2;1;2;6;71
"410855 GODOY MOREIRA";1;3;-;1;-;-;-;9;3;-;-;-;1;-;-;-;1;2;21
"410860 GOIOERE";3;34;2;17;6;7;-;80;17;16;1;1;-;-;-;2;2;24;212
"410865 GOIOXIM";1;9;-;-;-;-;-;14;8;1;-;1;1;-;-;-;-;11;46
"410870 GRANDES RIOS";1;9;-;2;-;-;-;20;7;2;-;-;-;-;-;-;-;2;43
"410880 GUAIRA";3;51;2;17;2;9;-;63;29;11;-;2;9;-;5;2;10;41;256
"410890 GUAIRACA";-;7;-;7;-;2;-;25;2;2;-;-;-;-;1;-;-;4;50
"410895 GUAMIRANGA";-;16;1;2;-;1;-;16;3;1;-;-;-;-;1;1;3;5;50
"410900 GUAPIRAMA";1;7;-;2;-;1;-;9;4;2;-;-;1;-;-;-;2;4;33
"410910 GUAPOREMA";-;2;-;3;-;-;-;3;3;3;-;-;-;-;-;-;-;2;16
"410920 GUARACI";3;9;-;1;-;2;-;8;7;2;-;1;1;-;-;-;2;9;45
"410930 GUARANIACU";1;25;-;5;2;3;-;30;15;5;1;1;2;-;-;2;-;7;99
"410940 GUARAPUAVA";18;255;4;62;10;49;1;351;195;69;2;6;41;4;12;14;19;127;1239
"410950 GUARAQUECABA";-;5;-;2;-;1;-;9;5;4;-;-;3;-;1;-;3;2;35
"410960 GUARATUBA";11;45;1;16;-;5;-;57;28;10;1;2;5;-;4;2;26;42;255
"410965 HONORIO SERPA";1;3;-;2;-;-;-;6;3;-;-;-;-;-;-;-;-;2;17
"410970 IBAITI";6;34;1;14;2;8;-;102;24;13;-;1;7;-;3;3;2;27;247
"410975 IBEMA";1;7;1;4;-;1;-;15;10;2;-;-;1;-;1;1;2;16;62
"410980 IBIPORA";10;72;1;17;7;22;-;77;53;23;2;3;12;-;5;2;2;51;359
"410990 ICARAIMA";1;9;1;4;1;1;-;31;13;7;-;-;-;-;2;4;-;9;83
"411000 IGUARACU";1;8;-;1;-;1;-;14;1;1;-;-;-;-;-;-;-;3;30
"411005 IGUATU";-;4;1;2;1;-;-;2;3;1;-;-;-;-;-;-;-;1;15
"411007 IMBAU";-;8;-;6;1;4;-;27;8;4;-;-;-;-;-;1;5;7;71
"411010 IMBITUVA";3;43;-;10;3;4;-;50;28;8;-;-;3;-;5;3;4;27;191
"411020 INACIO MARTINS";3;11;-;4;1;3;-;22;12;3;-;-;2;-;3;-;-;6;70
"411030 INAJA";-;3;-;3;-;-;-;10;4;1;-;-;2;-;-;-;-;6;29
"411040 INDIANOPOLIS";1;12;-;2;-;2;-;9;4;1;-;-;1;-;-;-;-;2;34
"411050 IPIRANGA";5;18;-;1;-;-;-;15;14;8;-;-;2;-;1;-;11;5;80
"411060 IPORA";2;34;-;13;2;5;-;50;17;2;-;-;1;-;2;-;-;17;145
"411065 IRACEMA DO OESTE";-;3;-;4;1;-;-;6;2;-;-;-;-;-;1;-;1;-;18
"411070 IRATI";6;78;2;24;2;10;-;105;76;24;1;-;20;-;7;2;6;44;407
"411080 IRETAMA";2;15;-;7;1;3;-;25;11;7;-;-;2;-;1;2;5;11;92
"411090 ITAGUAJE";1;3;-;1;2;1;-;11;3;3;-;-;1;-;-;-;-;4;30
"411095 ITAIPULANDIA";-;23;-;5;-;1;-;21;7;4;1;-;1;-;3;-;2;3;71
"411100 ITAMBARACA";5;9;-;9;2;3;-;10;11;3;-;-;-;-;1;2;6;5;66
"411110 ITAMBE";3;12;-;1;1;3;-;12;6;2;1;-;3;-;-;-;-;3;47
"411120 ITAPEJARA D'OESTE";1;19;1;5;2;-;-;30;15;6;-;-;-;-;1;1;4;10;95
"411125 ITAPERUCU";2;21;-;7;1;5;-;54;16;6;-;-;2;-;2;-;6;17;139
"411130 ITAUNA DO SUL";-;3;-;3;-;1;-;12;2;1;-;-;-;-;-;-;-;4;26
"411140 IVAI";3;15;-;6;-;3;-;24;10;2;-;1;1;-;-;-;13;7;85
"411150 IVAIPORA";6;39;3;26;7;10;-;82;36;14;1;-;5;-;1;1;6;35;272
"411155 IVATE";-;11;-;2;-;2;-;16;8;2;-;1;-;-;1;-;-;7;50
"411160 IVATUBA";-;8;1;7;-;1;-;6;2;-;-;-;-;-;1;-;-;1;27
"411170 JABOTI";-;4;-;3;-;-;-;20;3;2;-;-;7;-;1;-;3;3;46
"411180 JACAREZINHO";13;56;1;22;7;18;-;116;42;20;1;-;14;-;2;4;7;29;352
"411190 JAGUAPITA";6;18;-;6;-;4;-;15;16;4;-;-;1;-;1;-;3;18;92
"411200 JAGUARIAIVA";6;43;1;15;-;5;-;87;37;9;1;1;8;-;5;5;3;18;244
"411210 JANDAIA DO SUL";4;40;-;12;7;5;-;58;33;8;1;1;4;-;1;-;-;15;189
"411220 JANIOPOLIS";1;8;1;6;-;2;-;21;3;1;-;-;1;-;1;1;-;4;50
"411230 JAPIRA";3;5;-;2;1;1;-;9;5;1;-;-;3;-;-;-;-;6;36
"411240 JAPURA";1;8;-;3;-;3;-;18;8;2;1;-;2;-;1;1;-;7;55
"411250 JARDIM ALEGRE";-;15;-;14;-;1;-;30;17;5;-;-;1;-;1;1;6;6;97
"411260 JARDIM OLINDA";-;2;-;1;-;-;-;4;2;-;-;-;1;-;-;-;1;1;12
"411270 JATAIZINHO";5;12;-;5;1;4;-;41;10;4;1;-;3;-;1;-;-;17;104
"411275 JESUITAS";1;16;1;4;2;1;-;33;10;4;-;-;4;-;-;-;3;4;83
"411280 JOAQUIM TAVORA";5;19;-;11;2;1;-;38;19;5;-;1;3;-;1;-;-;12;117
"411290 JUNDIAI DO SUL";1;7;-;3;1;-;-;7;4;2;-;-;1;-;-;-;-;4;30
"411295 JURANDA";1;8;-;1;-;3;-;21;6;2;-;-;-;-;-;-;-;8;50
"411300 JUSSARA";-;8;-;3;1;-;-;15;6;3;-;-;2;-;-;-;-;5;43
"411310 KALORE";1;8;-;5;-;1;-;11;10;2;1;-;3;-;-;-;-;4;46
"411320 LAPA";6;65;2;22;5;6;-;84;34;15;-;1;6;-;1;-;16;40;303
"411325 LARANJAL";3;5;-;3;-;3;-;13;6;1;-;-;-;-;1;-;-;4;39
"411330 LARANJEIRAS DO SUL";6;53;-;25;5;9;-;46;29;13;-;2;3;1;3;1;1;34;231
"411340 LEOPOLIS";-;2;-;-;-;-;-;4;2;2;1;-;1;-;-;-;1;1;14
"411342 LIDIANOPOLIS";1;4;-;6;-;-;-;9;6;1;-;1;-;-;1;-;4;2;35
"411345 LINDOESTE";1;6;-;4;-;1;-;21;7;1;-;-;-;-;-;-;2;7;50
"411350 LOANDA";3;31;2;13;-;2;-;60;21;10;-;1;2;-;2;4;1;16;168
"411360 LOBATO";1;5;-;2;-;1;-;9;2;2;-;-;3;-;-;1;-;2;28
"411370 LONDRINA";96;769;15;215;21;268;1;870;454;226;16;21;107;4;39;32;55;369;3578
"411373 LUIZIANA";-;4;-;2;-;2;-;14;8;2;-;-;-;-;-;1;1;6;40
"411375 LUNARDELLI";-;7;-;6;1;3;-;17;6;1;-;-;2;-;-;1;2;-;46
"411380 LUPIONOPOLIS";-;7;1;3;-;-;-;15;6;4;-;-;3;-;1;-;-;3;43
"411390 MALLET";3;19;-;6;-;1;-;27;14;5;-;-;-;-;-;-;2;9;86
"411400 MAMBORE";4;17;-;8;2;4;-;33;20;11;1;-;2;-;1;-;1;10;114
"411410 MANDAGUACU";3;21;-;16;1;8;-;49;16;8;-;1;4;-;-;2;-;18;147
"411420 MANDAGUARI";4;51;1;21;7;7;-;57;34;13;-;-;8;1;2;2;1;26;235
"411430 MANDIRITUBA";7;28;1;7;3;5;-;48;18;6;-;-;2;-;3;-;21;13;162
"411435 MANFRINOPOLIS";-;6;-;2;-;1;-;2;2;-;-;1;1;-;1;1;-;7;24
"411440 MANGUEIRINHA";2;24;-;4;1;4;-;32;13;6;-;-;1;-;3;1;1;14;106
"411450 MANOEL RIBAS";5;16;-;1;1;2;-;22;20;8;-;1;5;-;-;1;4;12;98
"411460 MARECHAL CANDIDO RONDON";11;76;1;24;5;14;-;106;51;26;2;1;5;-;6;1;5;45;379
"411470 MARIA HELENA";-;6;-;6;-;1;-;19;5;8;-;-;-;-;1;-;-;7;53
"411480 MARIALVA";4;37;1;20;5;7;-;62;24;12;1;1;10;-;3;3;3;29;222
"411490 MARILANDIA DO SUL";-;12;-;4;1;-;-;20;12;5;-;-;3;-;-;-;1;8;66
"411500 MARILENA";-;11;-;1;-;5;-;20;6;4;-;-;1;1;-;-;-;5;54
"411510 MARILUZ";3;13;-;10;5;3;-;24;9;5;-;-;1;-;2;-;2;8;85
"411520 MARINGA";73;568;10;124;20;151;-;623;320;149;12;14;105;4;39;18;25;273;2528
"411530 MARIOPOLIS";-;8;1;3;1;4;-;16;10;2;-;-;-;-;-;1;2;7;55
"411535 MARIPA";1;8;1;3;-;1;-;11;4;-;-;-;-;-;-;-;-;1;30
"411540 MARMELEIRO";4;17;-;6;-;-;-;26;6;5;-;-;2;-;3;-;2;8;79
"411545 MARQUINHO";3;5;-;-;-;2;-;9;8;3;-;-;-;-;1;-;1;4;36
"411550 MARUMBI";-;6;-;1;1;-;-;11;6;2;1;-;-;-;-;1;-;5;34
"411560 MATELANDIA";3;24;-;3;1;5;-;23;18;10;-;-;2;-;3;2;1;20;115
"411570 MATINHOS";9;42;-;17;1;3;-;51;22;7;1;-;10;-;2;1;55;41;262
"411573 MATO RICO";-;9;-;3;-;-;-;3;4;2;-;-;1;-;-;1;-;1;24
"411575 MAUA DA SERRA";2;10;-;3;1;1;-;19;6;5;-;-;3;-;-;1;-;9;60
"411580 MEDIANEIRA";4;61;3;7;2;19;-;70;33;17;1;3;8;-;4;4;4;34;274
"411585 MERCEDES";-;16;-;1;-;2;-;16;3;2;-;-;-;-;-;-;-;4;44
"411590 MIRADOR";-;1;1;1;-;1;-;9;3;-;-;-;-;-;-;-;1;-;17
"411600 MIRASELVA";-;3;-;-;-;-;-;6;3;1;-;-;1;-;-;1;-;2;17
"411605 MISSAL";1;20;-;4;-;5;-;28;8;-;-;-;-;-;1;1;12;7;87
"411610 MOREIRA SALES";2;19;1;11;1;4;-;36;10;3;-;-;3;-;1;-;1;15;107
"411620 MORRETES";6;19;1;9;1;4;-;41;15;9;-;1;2;-;1;-;11;9;129
"411630 MUNHOZ DE MELO";1;5;-;3;1;1;-;9;2;-;-;-;-;-;-;-;1;4;27
"411640 NOSSA SENHORA DAS GRACAS";2;3;-;1;1;2;-;6;5;3;-;-;4;1;1;1;1;7;38
"411650 NOVA ALIANCA DO IVAI";-;-;-;1;1;-;-;1;3;1;-;-;1;-;-;-;-;-;8
"411660 NOVA AMERICA DA COLINA";-;4;-;-;1;-;-;6;5;1;-;-;2;-;-;-;1;2;22
"411670 NOVA AURORA";4;14;-;10;-;3;-;27;10;5;-;1;1;-;1;1;1;14;92
"411680 NOVA CANTU";-;16;-;3;2;2;-;18;9;5;-;-;1;-;1;2;-;6;65
"411690 NOVA ESPERANCA";8;27;2;26;7;3;-;64;27;15;-;1;6;-;-;2;-;23;211
"411695 NOVA ESPERANCA DO SUDOESTE";2;7;-;1;1;3;-;11;4;3;-;-;2;-;-;-;1;2;37
"411700 NOVA FATIMA";2;14;-;2;-;5;-;33;13;3;1;-;3;-;-;1;8;5;90
"411705 NOVA LARANJEIRAS";3;12;-;1;-;1;-;11;8;3;-;-;2;-;1;-;1;11;54
"411710 NOVA LONDRINA";5;18;1;11;3;1;-;30;16;7;-;1;1;-;-;1;1;14;110
"411720 NOVA OLIMPIA";5;5;-;8;2;3;-;16;7;6;-;-;1;-;2;-;-;1;56
"411721 NOVA SANTA BARBARA";2;7;-;2;-;-;-;10;8;3;-;-;1;-;1;-;1;-;35
"411722 NOVA SANTA ROSA";1;17;1;7;-;2;-;39;5;3;-;-;-;-;-;-;1;9;85
"411725 NOVA PRATA DO IGUACU";1;17;-;2;3;2;-;23;7;2;-;-;1;-;-;-;1;10;69
"411727 NOVA TEBAS";1;11;-;1;1;1;-;9;7;5;-;-;2;-;1;-;3;4;46
"411729 NOVO ITACOLOMI";-;2;-;1;1;1;-;7;2;-;-;-;1;-;-;-;-;2;17
"411730 ORTIGUEIRA";8;29;1;5;-;1;-;52;25;8;-;1;4;-;2;3;9;27;175
"411740 OURIZONA";-;8;-;5;-;2;-;16;1;1;-;-;-;-;-;-;-;3;36
"411745 OURO VERDE DO OESTE";-;8;-;4;-;3;-;12;3;2;-;1;-;-;1;-;-;3;37
"411750 PAICANDU";11;49;3;20;6;7;-;80;41;11;1;3;10;-;2;2;-;21;267
"411760 PALMAS";5;43;4;18;4;7;-;93;56;16;1;-;9;2;10;1;6;38;313
"411770 PALMEIRA";3;43;-;16;7;4;-;60;38;13;2;3;8;-;6;2;5;16;226
"411780 PALMITAL";4;19;1;7;1;2;-;32;6;4;-;1;1;-;-;2;-;17;97
"411790 PALOTINA";6;35;-;12;3;11;-;54;10;11;-;2;11;1;2;1;2;21;182
"411800 PARAISO DO NORTE";-;16;1;3;-;3;-;36;9;4;1;-;2;-;1;-;2;8;86
"411810 PARANACITY";1;8;-;6;-;3;-;20;11;4;-;-;1;-;1;1;1;10;67
"411820 PARANAGUA";70;139;8;67;4;22;-;267;116;45;6;4;32;-;10;6;70;138;1004
"411830 PARANAPOEMA";-;2;-;6;-;-;-;7;2;-;-;-;-;-;-;-;-;-;17
"411840 PARANAVAI";15;111;3;47;13;20;-;188;87;34;-;3;18;1;6;2;4;89;641
"411845 PATO BRAGADO";1;11;-;5;-;1;-;22;1;1;-;-;-;-;-;1;-;7;50
"411850 PATO BRANCO";32;97;7;34;8;27;-;117;57;31;2;4;10;1;7;1;23;56;514
"411860 PAULA FREITAS";-;6;-;1;1;1;-;10;7;3;-;-;-;-;1;-;-;3;33
"411870 PAULO FRONTIN";-;17;-;2;-;2;-;15;9;1;-;1;-;-;-;1;1;5;54
"411880 PEABIRU";1;21;-;9;-;5;-;23;10;11;-;1;1;1;-;-;-;11;94
"411885 PEROBAL";1;12;1;1;1;3;-;14;5;2;-;1;1;-;2;1;-;7;52
