Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2015
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410770 Fênix";4908;1014,87;26,00;242,10
"410773 Fernandes Pinheiro";5954;988,79;23,19;276,53
"410775 Figueira";8268;693,74;25,53;324,19
"410785 Flor da Serra do Sul";4802;954,38;22,04;285,80
"410780 Floraí";5126;997,14;34,72;201,58
"410790 Floresta";6467;781,60;24,00;304,88
"410800 Florestópolis";11205;689,46;26,81;300,63
"410810 Flórida";2674;1220,22;26,09;454,96
"410820 Formosa do Oeste";7296;697,77;22,16;194,87
"410830 Foz do Iguaçu";263782;842,66;34,87;384,96
"410845 Foz do Jordão";5210;845,95;22,48;310,88
"410832 Francisco Alves";6415;837,06;27,88;283,12
"410840 Francisco Beltrão";86499;871,67;27,82;472,37
"410850 General Carneiro";14039;448,84;15,02;209,27
"410855 Godoy Moreira";3245;1297,36;26,72;601,34
"410860 Goioerê";29702;515,69;19,38;300,80
"410865 Goioxim";7517;518,94;17,91;195,91
"410870 Grandes Rios";6337;765,69;25,80;334,66
"410880 Guaíra";32591;475,04;24,17;126,78
"410890 Guairaçá";6531;1028,71;31,70;330,39
"410895 Guamiranga";8484;705,20;24,80;260,51
"410900 Guapirama";3950;947,98;25,79;247,31
"410910 Guaporema";2290;1189,60;18,20;478,50
"410920 Guaraci";5434;809,82;22,89;310,29
"410930 Guaraniaçu";13998;647,40;22,50;188,15
"410940 Guarapuava";178126;457,08;25,63;126,04
"410950 Guaraqueçaba";7966;607,77;18,92;294,72
"410960 Guaratuba";35182;719,79;30,12;163,16
"410965 Honório Serpa";5769;833,69;22,05;270,12
"410970 Ibaiti";30678;547,98;34,90;226,82
"410975 Ibema";6352;639,66;23,82;200,61
"410980 Ibiporã";52330;660,59;30,69;162,98
"410990 Icaraíma";8641;788,57;18,59;478,74
"411000 Iguaraçu";4275;1215,52;28,29;340,34
"411005 Iguatu";2302;1369,59;23,09;410,23
"411007 Imbaú";12400;432,35;15,44;149,98
"411010 Imbituva";31055;533,69;31,70;116,39
"411020 Inácio Martins";11307;639,25;24,18;239,72
"411030 Inajá";3119;1079,26;26,46;237,45
"411040 Indianópolis";4481;1032,34;22,43;397,21
"411050 Ipiranga";14978;713,64;24,40;287,94
"411060 Iporã";14887;641,93;21,26;250,20
"411065 Iracema do Oeste";2512;1017,00;19,67;281,64
"411070 Irati";59708;401,05;23,94;66,77
"411080 Iretama";10689;640,33;25,82;297,55
"411090 Itaguajé";4639;793,59;25,23;209,32
"411095 Itaipulândia";10236;1399,94;29,80;209,09
"411100 Itambaracá";6852;487,01;15,00;254,39
"411110 Itambé";6192;810,53;26,86;204,70
"411120 Itapejara d'Oeste";11454;669,21;27,88;135,04
"411125 Itaperuçu";26755;286,74;16,10;144,36
"411130 Itaúna do Sul";3349;1119,43;22,06;446,80
"411140 Ivaí";13628;443,98;15,31;107,27
"411150 Ivaiporã";32710;391,34;22,90;194,84
"411155 Ivaté";8013;670,96;27,89;150,73
"411160 Ivatuba";3201;1088,17;24,38;389,87
"411170 Jaboti";5197;881,70;27,32;351,75
"411180 Jacarezinho";40243;460,47;22,55;113,15
"411190 Jaguapitã";13174;866,68;33,95;198,15
"411200 Jaguariaíva";34468;539,76;20,52;150,94
"411210 Jandaia do Sul";21203;573,31;26,78;157,50
"411220 Janiópolis";6114;833,25;25,51;376,07
"411230 Japira";5071;670,02;17,60;321,42
"411240 Japurá";9167;562,13;22,34;265,49
"411250 Jardim Alegre";12191;553,47;18,97;246,73
"411260 Jardim Olinda";1409;1885,49;21,21;678,14
"411270 Jataizinho";12504;416,54;17,84;81,91
"411275 Jesuítas";8964;648,36;26,65;169,70
"411280 Joaquim Távora";11544;627,36;23,27;162,86
"411290 Jundiaí do Sul";3456;977,63;25,90;250,91
"411295 Juranda";7697;750,25;21,15;278,11
"411300 Jussara";6963;927,94;25,94;344,97
"411310 Kaloré";4438;1059,07;20,74;442,81
"411320 Lapa";47557;577,67;24,54;153,26
"411325 Laranjal";6292;529,45;15,08;284,71
"411330 Laranjeiras do Sul";32133;440,73;20,22;189,37
"411340 Leópolis";4165;798,25;15,59;381,09
"411342 Lidianópolis";3774;808,61;28,51;112,12
"411345 Lindoeste";5187;855,57;26,33;267,01
"411350 Loanda";22603;621,50;34,05;217,21
"411360 Lobato";4690;852,52;24,55;210,33
"411370 Londrina";548249;922,48;25,67;518,37
"411373 Luiziana";7471;677,32;18,76;160,42
"411375 Lunardelli";5127;716,35;20,48;260,83
"411380 Lupionópolis";4859;872,31;25,95;274,06
"411390 Mallet";13567;459,97;18,90;126,97
"411400 Mamborê";13943;714,43;22,10;225,61
"411410 Mandaguaçu";21672;496,82;24,62;124,23
"411420 Mandaguari";34289;629,92;24,51;236,71
"411430 Mandirituba";24905;562,02;28,09;135,70
"411435 Manfrinópolis";2954;1031,30;17,17;440,59
"411440 Mangueirinha";17334;504,37;15,73;141,75
"411450 Manoel Ribas";13660;621,42;17,58;194,41
"411460 Marechal Cândido Rondon";50808;541,13;26,13;89,83
"411470 Maria Helena";5982;796,28;20,21;339,00
"411480 Marialva";34388;582,59;23,09;123,21
"411490 Marilândia do Sul";9078;706,25;21,96;108,18
"411500 Marilena";7134;857,40;25,61;427,11
"411510 Mariluz";10541;610,00;24,94;190,27
"411520 Maringá";397437;860,30;20,79;507,29
"411530 Mariópolis";6585;722,61;22,26;190,86
"411535 Maripá";5793;863,01;17,21;176,10
"411540 Marmeleiro";14470;807,92;19,26;374,31
"411545 Marquinho";4871;602,25;17,25;328,35
"411550 Marumbi";4755;840,46;24,36;333,44
"411560 Matelândia";17340;581,25;16,89;190,84
"411570 Matinhos";32591;666,75;22,66;122,87
"411573 Mato Rico";3668;996,01;18,18;320,39
"411575 Mauá da Serra";9705;677,74;25,75;134,45
"411580 Medianeira";44885;556,82;25,46;153,32
"411585 Mercedes";5398;1038,55;27,89;277,63
"411590 Mirador";2334;1329,01;20,48;380,74
"411600 Miraselva";1885;1556,59;21,20;462,78
"411605 Missal";10847;844,81;15,38;198,15
"411610 Moreira Sales";12709;531,33;27,78;139,01
"411620 Morretes";16435;569,94;20,65;203,63
"411630 Munhoz de Melo";3909;969,06;24,96;159,73
"411640 Nossa Senhora das Graças";4064;809,41;20,28;284,50
"411650 Nova Aliança do Ivaí";1518;1625,09;23,13;414,39
"411660 Nova América da Colina";3553;879,37;16,98;78,56
"411670 Nova Aurora";11537;697,62;21,88;189,07
"411680 Nova Cantu";6650;547,36;18,46;227,55
"411690 Nova Esperança";27886;509,00;29,31;166,62
"411695 Nova Esperança do Sudoeste";5206;919,47;23,50;338,61
"411700 Nova Fátima";8359;510,05;20,85;125,69
"411705 Nova Laranjeiras";11968;501,94;17,80;318,17
"411710 Nova Londrina";13470;635,70;28,95;202,33
"411720 Nova Olímpia";5782;881,20;29,47;319,65
"411725 Nova Prata do Iguaçu";10722;747,63;25,22;205,08
"411721 Nova Santa Bárbara";4163;808,41;24,83;294,54
"411722 Nova Santa Rosa";8092;655,82;19,05;146,87
"411727 Nova Tebas";6792;785,71;16,76;430,59
"411729 Novo Itacolomi";2907;1124,10;22,19;373,04
"411730 Ortigueira";23418;673,70;18,33;152,59
"411740 Ourizona";3488;1044,81;23,88;323,26
"411745 Ouro Verde do Oeste";5976;591,28;19,68;139,69
"411750 Paiçandu";39291;400,35;30,21;102,12
"411760 Palmas";47674;442,79;24,50;168,35
"411770 Palmeira";33753;605,87;29,47;234,37
"411780 Palmital";14477;370,07;15,74;169,25
"411790 Palotina";30859;770,43;24,39;254,93
"411800 Paraíso do Norte";13011;480,54;20,36;181,40
"411810 Paranacity";11069;674,68;28,93;224,55
"411820 Paranaguá";150660;356,73;15,04;68,99
"411830 Paranapoema";3050;1261,14;27,87;318,01
"411840 Paranavaí";86773;539,10;28,11;170,13
"411845 Pato Bragado";5304;1062,12;22,76;259,26
"411850 Pato Branco";79011;1153,14;33,20;669,90
"411860 Paula Freitas";5773;782,53;19,39;351,71
"411870 Paulo Frontin";7291;652,43;23,78;261,01
"411880 Peabiru";14144;463,92;16,77;154,66
"411885 Perobal";5995;621,24;17,56;195,82
"411890 Pérola";10937;724,34;25,74;212,34
"411900 Pérola d'Oeste";6746;728,36;24,80;256,44
"411910 Piên";12211;627,57;21,96;162,80
"411915 Pinhais";127045;492,86;20,60;131,37
"411925 Pinhal de São Bento";2740;1091,30;18,15;436,52
"411920 Pinhalão";6425;677,96;23,67;271,39
"411930 Pinhão";31978;403,28;19,75;110,86
"411940 Piraí do Sul";24953;640,16;29,23;124,96
"411950 Piraquara";104481;320,50;20,27;83,47
"411960 Pitanga";32419;401,81;16,72;162,76
"411965 Pitangueiras";3073;975,61;20,90;207,84
"411970 Planaltina do Paraná";4277;1179,42;35,00;357,00
"411980 Planalto";13926;540,34;21,29;177,14
"411990 Ponta Grossa";337865;496,32;28,70;133,12
"411995 Pontal do Paraná";24352;523,81;19,44;99,37
"412000 Porecatu";13973;542,00;24,50;206,81
"412010 Porto Amazonas";4782;855,18;29,68;205,96
