Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2023
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410630 Corbélia";17162;2182,73;30,24;461,52
"410640 Cornélio Procópio";47840;1290,16;27,07;335,34
"410645 Coronel Domingos Soares";7538;2407,48;28,41;676,79
"410650 Coronel Vivida";20430;2052,14;26,43;1115,64
"410655 Corumbataí do Sul";3038;2794,08;22,30;1106,52
"410680 Cruz Machado";18772;1755,72;35,00;323,52
"410657 Cruzeiro do Iguaçu";4229;3382,88;34,36;523,47
"410660 Cruzeiro do Oeste";20962;1548,95;24,49;600,08
"410670 Cruzeiro do Sul";4430;3833,84;28,08;426,11
"410685 Cruzmaltina";2892;2958,78;24,17;516,28
"410690 Curitiba";1963726;1505,56;22,60;697,90
"410700 Curiúva";15289;1433,98;27,12;305,36
"410715 Diamante D'Oeste";5279;1759,25;25,10;304,66
"410710 Diamante do Norte";4975;2283,70;29,68;734,78
"410712 Diamante do Sul";3409;1829,02;18,25;351,37
"410720 Dois Vizinhos";41424;1906,61;31,40;656,15
"410725 Douradina";8988;1788,40;33,56;509,77
"410730 Doutor Camargo";5987;1809,79;24,91;267,62
"412863 Doutor Ulysses";5525;1558,80;26,32;257,12
"410740 Enéas Marques";5906;2234,51;25,26;366,50
"410750 Engenheiro Beltrão";13962;1477,42;29,23;463,77
"410753 Entre Rios do Oeste";4651;3241,64;28,59;458,25
"410752 Esperança Nova";1633;3450,84;18,43;971,88
"410754 Espigão Alto do Iguaçu";3980;2088,02;18,46;795,96
"410755 Farol";2995;2125,84;15,90;774,52
"410760 Faxinal";17379;1432,17;18,75;320,25
"410765 Fazenda Rio Grande";103750;995,76;25,12;232,87
"410770 Fênix";4734;1552,64;16,31;742,96
"410773 Fernandes Pinheiro";5561;1988,57;19,46;326,42
"410775 Figueira";7625;1337,79;31,03;404,84
"410785 Flor da Serra do Sul";4583;2976,92;26,53;331,07
"410780 Floraí";4883;1788,56;23,32;845,41
"410790 Floresta";6926;2487,97;34,88;727,02
"410800 Florestópolis";10360;1564,46;29,39;615,95
"410810 Flórida";2709;3055,88;30,48;822,40
"410820 Formosa do Oeste";6345;1988,03;20,93;552,06
"410830 Foz do Iguaçu";257971;1841,66;27,02;709,43
"410845 Foz do Jordão";4466;1808,88;19,90;735,93
"410832 Francisco Alves";5942;2109,52;30,48;832,25
"410840 Francisco Beltrão";93308;2079,10;33,61;966,44
"410850 General Carneiro";13661;1021,41;29,47;292,49
"410855 Godoy Moreira";2850;2486,95;23,71;802,24
"410860 Goioerê";28734;1725,73;23,84;909,16
"410865 Goioxim";6997;1396,69;18,85;663,88
"410870 Grandes Rios";5379;2136,28;26,82;632,28
"410880 Guaíra";33497;1512,14;28,51;519,96
"410890 Guairaçá";6635;2166,32;31,93;677,40
"410895 Guamiranga";8881;1321,74;27,44;321,49
"410900 Guapirama";3767;2546,58;29,35;660,58
"410910 Guaporema";2239;3806,81;25,70;571,14
"410920 Guaraci";5557;1928,90;26,93;524,11
"410930 Guaraniaçu";11969;1705,77;22,96;499,16
"410940 Guarapuava";183755;1243,97;28,36;271,03
"410950 Guaraqueçaba";7554;1182,51;16,24;550,47
"410960 Guaratuba";37974;1654,95;30,41;266,10
"410965 Honório Serpa";5030;3197,90;29,88;628,14
"410970 Ibaiti";31854;1342,16;21,92;552,99
"410975 Ibema";6387;1601,90;28,26;350,38
"410980 Ibiporã";55688;1398,02;27,64;370,98
"410990 Icaraíma";7671;1798,29;23,26;719,66
"411000 Iguaraçu";4475;3008,16;30,13;382,14
"411005 Iguatu";2251;2377,68;19,71;494,87
"411007 Imbaú";13449;984,75;22,41;462,91
"411010 Imbituva";33306;1418,52;31,29;254,01
"411020 Inácio Martins";11117;1516,08;23,83;385,43
"411030 Inajá";3122;2578,03;28,88;236,23
"411040 Indianópolis";4472;2204,85;19,26;881,60
"411050 Ipiranga";15327;1340,58;22,74;470,22
"411060 Iporã";13642;1927,11;31,47;434,74
"411065 Iracema do Oeste";2216;2356,30;18,90;473,37
"411070 Irati";61439;1018,82;24,09;218,83
"411080 Iretama";10029;1927,09;30,53;565,17
"411090 Itaguajé";4426;2090,05;23,27;630,57
"411095 Itaipulândia";11588;3085,88;18,96;297,95
"411100 Itambaracá";6516;1489,86;29,32;580,15
"411110 Itambé";6110;1710,68;26,04;414,99
"411120 Itapejara d'Oeste";12220;2506,19;34,56;535,54
"411125 Itaperuçu";29493;787,89;22,76;250,77
"411130 Itaúna do Sul";2700;2894,48;27,71;816,54
"411140 Ivaí";14049;1258,98;28,21;318,91
"411150 Ivaiporã";31886;857,94;18,73;356,16
"411155 Ivaté";8294;1470,60;29,50;425,40
"411160 Ivatuba";3299;2206,84;24,52;499,76
"411170 Jaboti";5332;1781,87;26,58;798,45
"411180 Jacarezinho";39268;1158,71;20,64;379,89
"411190 Jaguapitã";13861;2191,10;34,92;404,28
"411200 Jaguariaíva";35192;1206,29;24,65;308,14
"411210 Jandaia do Sul";21281;1169,17;23,34;249,22
"411220 Janiópolis";4948;2583,87;26,44;547,44
"411230 Japira";4929;1953,10;26,24;674,51
"411240 Japurá";9573;1412,99;20,37;413,03
"411250 Jardim Alegre";11067;1639,14;23,90;803,74
"411260 Jardim Olinda";1309;3945,40;19,32;772,07
"411270 Jataizinho";12687;998,27;26,92;248,13
"411275 Jesuítas";8251;1874,05;25,58;504,24
"411280 Joaquim Távora";12108;2515,62;21,17;376,52
"411290 Jundiaí do Sul";3248;2447,64;27,04;396,45
"411295 Juranda";7244;1781,18;20,24;696,94
"411300 Jussara";7069;2763,99;28,93;594,36
"411310 Kaloré";3996;2020,40;18,41;532,38
"411320 Lapa";48651;1166,54;25,85;234,77
"411325 Laranjal";5719;1424,30;15,13;695,83
"411330 Laranjeiras do Sul";32167;870,25;16,82;559,92
"411340 Leópolis";3896;1934,35;20,12;390,33
"411342 Lidianópolis";3155;2938,61;28,66;392,81
"411345 Lindoeste";4488;2191,42;26,64;485,90
"411350 Loanda";23393;1383,38;33,30;258,24
"411360 Lobato";4850;2330,64;28,92;547,84
"411370 Londrina";580870;1674,63;25,96;934,49
"411373 Luiziana";7217;1988,62;21,44;506,70
"411375 Lunardelli";4695;1742,81;16,36;573,96
"411380 Lupionópolis";4969;1965,34;25,87;833,58
"411390 Mallet";13697;1155,42;20,30;177,67
"411400 Mamborê";12900;2095,40;25,98;508,17
"411410 Mandaguaçu";23373;1423,75;33,31;205,51
"411420 Mandaguari";34628;1439,72;26,86;376,15
"411430 Mandirituba";27750;948,12;20,65;370,65
"411435 Manfrinópolis";2442;2633,54;20,21;879,93
"411440 Mangueirinha";16572;2603,84;26,02;717,86
"411450 Manoel Ribas";13517;1766,90;21,69;423,29
"411460 Marechal Cândido Rondon";54031;1932,77;33,29;340,90
"411470 Maria Helena";5593;2293,96;29,08;825,45
"411480 Marialva";36103;973,30;24,46;382,69
"411490 Marilândia do Sul";8793;1658,98;30,03;510,36
"411500 Marilena";7093;1943,29;29,70;754,96
"411510 Mariluz";10327;1280,86;22,77;419,60
"411520 Maringá";436472;1713,77;22,71;881,00
"411530 Mariópolis";6655;2503,67;27,25;244,31
"411535 Maripá";5562;2516,94;21,92;391,38
"411540 Marmeleiro";14407;1798,03;30,40;582,04
"411545 Marquinho";4283;2160,74;22,71;1028,62
"411550 Marumbi";4676;1803,91;20,05;497,48
"411560 Matelândia";18266;1549,70;19,86;389,76
"411570 Matinhos";35705;1657,07;30,26;412,31
"411573 Mato Rico";3142;2775,36;19,46;677,14
"411575 Mauá da Serra";10994;1364,72;23,61;575,65
"411580 Medianeira";46940;1569,58;28,79;347,83
"411585 Mercedes";5617;2475,77;22,09;545,44
"411590 Mirador";2180;3295,94;26,26;1153,24
"411600 Miraselva";1786;3635,49;26,39;814,28
"411605 Missal";10706;2398,91;22,08;527,54
"411610 Moreira Sales";11966;1152,59;26,18;338,98
"411620 Morretes";16485;1159,50;22,29;752,64
"411630 Munhoz de Melo";4034;2121,07;22,11;409,85
"411640 Nossa Senhora das Graças";4009;1834,67;21,88;358,91
"411650 Nova Aliança do Ivaí";1560;2910,93;18,39;546,09
"411660 Nova América da Colina";3424;1581,68;16,15;532,51
"411670 Nova Aurora";10131;2598,42;20,30;384,27
"411680 Nova Cantu";4827;2599,18;26,52;602,01
"411690 Nova Esperança";28062;1066,78;25,57;339,57
"411695 Nova Esperança do Sudoeste";5014;2231,75;23,83;897,29
"411700 Nova Fátima";8120;1505,28;30,61;151,66
"411705 Nova Laranjeiras";11462;1283,24;21,47;451,56
"411710 Nova Londrina";13188;1607,11;29,98;487,97
"411720 Nova Olímpia";5846;1923,14;30,85;758,07
"411725 Nova Prata do Iguaçu";10540;1748,77;25,54;416,15
"411721 Nova Santa Bárbara";4304;1708,66;23,88;461,99
"411722 Nova Santa Rosa";8311;1480,96;19,56;282,80
"411727 Nova Tebas";5252;3237,30;26,55;914,52
"411729 Novo Itacolomi";2836;2632,09;24,43;589,58
"411730 Ortigueira";21783;2372,15;18,86;340,78
"411740 Ourizona";3423;2364,40;26,41;544,07
"411745 Ouro Verde do Oeste";6036;2564,01;23,58;323,11
"411750 Paiçandu";42251;944,95;31,33;229,92
"411760 Palmas";52503;1134,36;27,16;332,38
"411770 Palmeira";34109;1526,80;26,27;399,10
"411780 Palmital";12755;1132,27;18,44;452,22
"411790 Palotina";32389;2400,19;27,92;682,04
"411800 Paraíso do Norte";14211;1498,16;20,21;462,34
"411810 Paranacity";11685;1061,19;27,96;364,03
"411820 Paranaguá";157378;1064,40;17,69;351,66
"411830 Paranapoema";3277;2286,95;24,34;398,45
"411840 Paranavaí";89454;1319,88;33,05;324,14
"411845 Pato Bragado";5755;2570,70;22,53;328,58
"411850 Pato Branco";84779;2681,30;33,46;1345,88
"411860 Paula Freitas";5942;1774,97;18,86;511,74
"411870 Paulo Frontin";7418;1265,86;24,27;401,48
"411880 Peabiru";14017;1144,95;21,21;487,82
"411885 Perobal";6194;1620,52;20,85;480,50
"411890 Pérola";11406;1798,24;30,78;362,76
"411900 Pérola d'Oeste";6232;1882,15;28,60;537,60
"411910 Piên";13015;1436,03;19,83;428,75
"411915 Pinhais";134788;1003,05;18,99;331,42
"411925 Pinhal de São Bento";2742;2242,31;20,68;483,54
"411920 Pinhalão";6323;2182,76;22,96;448,66
"411930 Pinhão";32722;968,97;18,61;352,35
"411940 Piraí do Sul";25779;995,60;21,13;228,37
"411950 Piraquara";116852;632,89;22,59;198,47
"411960 Pitanga";29686;1973,89;23,61;517,75
"411965 Pitangueiras";3298;1694,12;20,24;566,40
"411970 Planaltina do Paraná";4281;2461,47;34,87;488,59
"411980 Planalto";13385;2148,08;32,18;498,20
"411990 Ponta Grossa";358838;781,68;22,00;238,00
"411995 Pontal do Paraná";28529;1595,51;35,00;206,60
"412000 Porecatu";12587;1361,00;26,71;468,22
"412010 Porto Amazonas";4899;1670,60;24,63;342,03
"412015 Porto Barreiro";3133;2797,32;18,56;641,59
"412020 Porto Rico";2554;3713,76;25,81;380,07
"412030 Porto Vitória";4057;2049,57;28,05;383,37
"412033 Prado Ferreira";3806;2339,94;29,37;1256,22
"412035 Pranchita";5035;2772,08;27,89;893,71
"412040 Presidente Castelo Branco";5395;1302,25;27,82;232,59
"412050 Primeiro de Maio";11138;869,68;18,27;432,93
"412060 Prudentópolis";52776;846,96;22,40;287,52
"412065 Quarto Centenário";4420;1947,92;17,28;405,36
"412070 Quatiguá";7504;1859,81;30,98;543,18
"412080 Quatro Barras";24253;1436,92;20,47;302,06
"412085 Quatro Pontes";4043;1928,83;16,38;497,29
"412090 Quedas do Iguaçu";34707;1191,36;30,93;696,74
"412100 Querência do Norte";12257;1482,91;27,77;634,80
"412110 Quinta do Sol";4444;2281,70;19,97;850,93
"412120 Quitandinha";19388;1219,00;31,26;360,02
"412125 Ramilândia";4500;1807,04;23,47;229,52
"412130 Rancho Alegre";3760;2101,86;28,75;395,92
"412135 Rancho Alegre D'Oeste";2602;2114,90;15,18;546,39
"412140 Realeza";16976;1763,56;29,79;563,88
"412150 Rebouças";14991;1386,09;20,48;458,88
"412160 Renascença";6772;2321,80;25,17;467,61
"412170 Reserva";26933;1373,26;33,37;337,54
"412175 Reserva do Iguaçu";8127;1255,02;18,82;210,08
"412180 Ribeirão Claro";10622;1327,38;21,52;312,90
"412190 Ribeirão do Pinhal";12869;990,91;19,29;406,21
"412200 Rio Azul";15433;988,41;20,51;385,93
"412210 Rio Bom";3162;2169,04;20,33;676,98
"412215 Rio Bonito do Iguaçu";13240;1289,41;19,27;506,30
"412217 Rio Branco do Ivaí";4121;2502,73;26,77;716,44
"412220 Rio Branco do Sul";32635;1142,02;24,86;303,48
"412230 Rio Negro";34645;1394,49;34,33;327,04
"412240 Rolândia";68165;1027,62;29,96;292,39
"412250 Roncador";9447;1935,28;23,52;708,67
"412260 Rondon";9664;1459,25;22,08;451,12
"412265 Rosário do Ivaí";4595;2183,66;27,87;561,33
"412270 Sabáudia";6954;1789,30;18,70;492,69
"412280 Salgado Filho";3389;2081,75;21,14;695,91
"412290 Salto do Itararé";4862;1567,40;26,54;647,54
"412300 Salto do Lontra";14957;2020,93;29,13;525,59
"412310 Santa Amélia";3208;1830,73;23,72;316,62
"412320 Santa Cecília do Pavão";3253;1570,77;24,61;492,39
"412330 Santa Cruz de Monte Castelo";7705;2104,24;20,79;323,68
"412340 Santa Fé";12330;1280,28;26,59;254,94
"412350 Santa Helena";27036;2397,03;18,51;305,38
"412360 Santa Inês";1568;2666,09;21,16;995,51
"412370 Santa Isabel do Ivaí";8484;1687,21;27,83;388,34
"412380 Santa Izabel do Oeste";14924;1832,25;28,30;638,37
"412382 Santa Lúcia";3795;2223,05;21,32;774,41
"412385 Santa Maria do Oeste";9210;1829,31;23,62;620,59
"412390 Santa Mariana";11523;1219,51;30,05;190,49
"412395 Santa Mônica";4052;2257,40;25,63;477,52
"412402 Santa Tereza do Oeste";10055;1826,55;17,31;457,12
"412405 Santa Terezinha de Itaipu";23927;1637,68;26,31;408,27
"412400 Santana do Itararé";4916;2173,17;29,17;642,35
"412410 Santo Antônio da Platina";46503;1097,38;28,55;254,49
"412420 Santo Antônio do Caiuá";2611;3104,62;26,39;621,38
"412430 Santo Antônio do Paraíso";2032;3449,93;19,36;876,42
"412440 Santo Antônio do Sudoeste";20354;1521,96;22,54;747,84
"412450 Santo Inácio";5422;1849,49;20,47;516,34
"412460 São Carlos do Ivaí";6961;1872,82;25,11;398,67
"412470 São Jerônimo da Serra";11088;1372,98;23,83;551,55
"412480 São João";10122;2555,83;26,82;582,25
"412490 São João do Caiuá";5819;1422,41;26,84;537,81
"412500 São João do Ivaí";9897;1564,22;28,32;520,22
"412510 São João do Triunfo";15359;1065,11;21,58;257,91
"412520 São Jorge d'Oeste";9005;2591,04;29,71;420,52
"412530 São Jorge do Ivaí";5535;1435,22;19,76;753,66
"412535 São Jorge do Patrocínio";5532;2628,47;28,55;700,56
"412540 São José da Boa Vista";6115;1692,21;18,79;548,01
"412545 São José das Palmeiras";3601;1814,73;27,59;371,27
"412550 São José dos Pinhais";334620;1475,36;24,53;217,66
"412555 São Manoel do Paraná";2165;2690,27;17,35;451,18
"412560 São Mateus do Sul";47137;1093,39;19,47;266,33
"412570 São Miguel do Iguaçu";27696;2023,02;18,42;347,76
"412575 São Pedro do Iguaçu";5745;1865,77;26,86;262,33
"412580 São Pedro do Ivaí";11109;1200,04;25,82;224,98
"412590 São Pedro do Paraná";2265;3699,41;23,20;820,47
"412600 São Sebastião da Amoreira";8865;1299,83;18,25;377,69
"412610 São Tomé";5778;1846,16;25,05;291,83
"412620 Sapopema";6708;1716,87;25,96;643,15
"412625 Sarandi";98888;847,95;31,15;133,49
"412627 Saudade do Iguaçu";5578;3212,20;23,82;336,55
"412630 Sengés";19441;1270,38;24,81;288,41
"412635 Serranópolis do Iguaçu";4460;1918,79;18,04;431,33
"412640 Sertaneja";5149;2686,69;29,56;663,19
"412650 Sertanópolis";16456;1656,25;26,18;397,59
"412660 Siqueira Campos";21476;1081,32;27,23;269,55
"412665 Sulina";2880;3674,35;22,34;1195,04
"412667 Tamarana";15277;1473,45;26,19;325,65
"412670 Tamboara";5196;1926,79;28,27;496,05
"412680 Tapejara";16480;967,23;19,21;295,60
"412690 Tapira";5452;2261,81;31,26;369,23
"412700 Teixeira Soares";12761;1237,85;17,43;377,85
"412710 Telêmaco Borba";80588;1230,54;28,43;213,58
"412720 Terra Boa";17304;2343,24;33,73;903,06
"412730 Terra Rica";17054;1712,53;32,74;421,34
"412740 Terra Roxa";17562;1279,68;22,26;303,31
"412750 Tibagi";20688;1530,47;18,91;341,95
"412760 Tijucas do Sul";17295;1399,17;22,38;655,97
"412770 Toledo";144601;1593,94;31,02;270,50
"412780 Tomazina";7699;1572,76;23,15;522,73
"412785 Três Barras do Paraná";12036;1680,73;26,83;395,49
"412788 Tunas do Paraná";9269;996,84;24,14;307,64
"412790 Tuneiras do Oeste";8502;1619,70;27,36;597,45
"412795 Tupãssi";8105;1995,80;24,62;267,88
"412796 Turvo";12977;1338,31;19,91;400,78
"412800 Ubiratã";20809;1868,77;21,63;788,92
"412810 Umuarama";113416;2182,01;30,34;1128,12
"412820 União da Vitória";58298;946,97;17,03;283,64
"412830 Uniflor";2623;2599,06;23,09;777,82
"412840 Uraí";11233;1615,23;32,16;527,05
"412853 Ventania";12267;1319,04;27,97;324,40
"412855 Vera Cruz do Oeste";8389;1160,14;20,66;479,77
"412860 Verê";7094;2003,23;21,31;360,43
"412865 Virmond";4051;2029,19;20,50;599,19
"412870 Vitorino";6879;2320,92;26,07;396,81
"412850 Wenceslau Braz";19358;1153,15;28,60;281,18
"412880 Xambrê";5584;1181,27;24,09;635,11
"Total";11597484;1482,79;24,79;510,57
