Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2023
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7360;1321,39;25,82;422,22
"410020 Adrianópolis";5797;1607,83;16,05;414,16
"410030 Agudos do Sul";9567;1328,65;26,72;397,53
"410040 Almirante Tamandaré";121420;577,00;15,96;247,07
"410045 Altamira do Paraná";1429;6196,18;25,76;1367,17
"412862 Alto Paraíso";2630;3286,88;17,96;364,47
"410060 Alto Paraná";14945;992,27;19,60;234,42
"410070 Alto Piquiri";9722;1958,39;30,11;334,04
"410050 Altônia";22293;1180,60;29,24;318,20
"410080 Alvorada do Sul";11598;1403,59;21,79;396,34
"410090 Amaporã";6405;1534,92;26,07;358,61
"410100 Ampére";19466;1659,73;32,22;473,74
"410105 Anahy";2774;3037,51;22,05;769,35
"410110 Andirá";19823;1323,08;25,32;364,01
"410115 Ângulo";2931;2850,40;24,02;802,43
"410120 Antonina";18919;1367,14;26,35;339,99
"410130 Antônio Olinto";7421;1842,15;30,82;362,97
"410140 Apucarana";137438;1479,42;26,90;836,73
"410150 Arapongas";126545;945,09;22,63;350,92
"410160 Arapoti";28480;1365,36;29,43;350,07
"410165 Arapuã";2951;2595,21;22,98;622,71
"410170 Araruna";14029;1898,61;31,44;567,39
"410180 Araucária";148522;2237,28;20,27;495,47
"410185 Ariranha do Ivaí";2026;4052,37;28,75;665,08
"410190 Assaí";14792;1204,30;19,28;402,83
"410200 Assis Chateaubriand";33306;1820,54;29,50;290,69
"410210 Astorga";26304;1566,57;25,64;434,86
"410220 Atalaia";3871;2221,42;22,96;488,63
"410230 Balsa Nova";13238;1657,51;29,02;191,24
"410240 Bandeirantes";31061;1202,63;30,26;249,00
"410250 Barbosa Ferraz";11287;1871,05;26,45;729,98
"410270 Barra do Jacaré";2781;2972,01;23,87;586,06
"410260 Barracão";10347;1489,94;28,20;503,79
"410275 Bela Vista da Caroba";3404;2472,27;22,45;657,90
"410280 Bela Vista do Paraíso";15400;1435,76;23,82;489,17
"410290 Bituruna";16411;1408,30;22,24;865,35
"410300 Boa Esperança";3991;1968,18;16,11;748,71
"410302 Boa Esperança do Iguaçu";2437;2609,90;21,54;729,60
"410304 Boa Ventura de São Roque";6343;1806,02;19,53;457,94
"410305 Boa Vista da Aparecida";7524;1704,05;23,04;710,29
"410310 Bocaiúva do Sul";13308;1254,60;31,26;252,81
"410315 Bom Jesus do Sul";3472;2020,89;20,70;1063,56
"410320 Bom Sucesso";7103;1607,29;22,52;416,48
"410322 Bom Sucesso do Sul";3244;3736,54;27,21;311,97
"410330 Borrazópolis";6290;2672,32;30,68;578,50
"410335 Braganey";5338;1841,95;23,40;309,40
"410337 Brasilândia do Sul";2521;5058,68;22,67;1235,22
"410340 Cafeara";2973;2569,34;26,45;489,27
"410345 Cafelândia";18783;1850,92;26,49;205,64
"410347 Cafezal do Sul";3975;2547,18;22,94;977,28
"410350 Califórnia";8641;1405,64;31,90;461,97
"410360 Cambará";25569;1182,79;29,87;243,96
"410370 Cambé";108126;1136,89;31,10;305,25
"410380 Cambira";7967;1166,62;18,31;455,61
"410390 Campina da Lagoa";13888;1288,42;15,39;347,30
"410395 Campina do Simão";3831;2128,04;17,73;700,38
"410400 Campina Grande do Sul";44072;1050,50;24,13;257,44
"410405 Campo Bonito";3694;2596,12;24,08;561,87
"410410 Campo do Tenente";8118;841,57;23,45;544,78
"410420 Campo Largo";135678;849,35;24,45;157,21
"410425 Campo Magro";30151;982,93;21,18;247,17
"410430 Campo Mourão";96102;2001,31;22,60;1229,09
"410440 Cândido de Abreu";14606;1381,44;24,21;436,50
"410442 Candói";16126;1423,96;22,51;453,72
"410445 Cantagalo";13340;1207,12;24,57;338,43
"410450 Capanema";19172;2132,37;30,70;551,86
"410460 Capitão Leônidas Marques";15887;1908,90;30,98;552,05
"410465 Carambeí";24225;2016,66;28,41;160,07
"410470 Carlópolis";14391;1408,35;27,99;304,29
"410480 Cascavel";336073;1502,58;34,10;228,82
"410490 Castro";72125;1330,37;23,12;358,37
"410500 Catanduvas";10144;1512,69;22,98;445,31
"410510 Centenário do Sul";10704;1268,04;23,03;509,79
"410520 Cerro Azul";17884;1146,09;16,73;383,19
"410530 Céu Azul";11872;2057,57;23,58;242,33
"410540 Chopinzinho";19083;2162,74;28,98;1026,76
"410550 Cianorte";84980;1959,43;24,82;690,33
"410560 Cidade Gaúcha";12939;1113,95;25,06;324,92
"410570 Clevelândia";16344;1856,43;30,47;375,66
"410580 Colombo";249277;533,86;22,16;196,57
"410590 Colorado";24271;2268,41;26,57;1551,43
"410600 Congonhinhas";8896;1779,48;29,48;406,81
"410610 Conselheiro Mairinck";3891;1854,84;25,23;375,87
"410620 Contenda";19082;1180,78;26,13;329,32
