Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2025
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7233;1791,39;27,62;606,27
"410020 Adrianópolis";6319;1983,42;18,10;1423,90
"410030 Agudos do Sul";10770;1639,89;22,76;485,73
"410040 Almirante Tamandaré";125861;808,64;25,17;339,98
"410045 Altamira do Paraná";3496;3117,60;21,93;965,33
"412862 Alto Paraíso";3067;3710,08;22,72;791,05
"410060 Alto Paraná";14183;1416,22;21,86;402,28
"410070 Alto Piquiri";9771;2243,24;33,80;648,73
"410050 Altônia";18634;1673,98;28,01;622,93
"410080 Alvorada do Sul";10481;2015,40;20,22;540,38
"410090 Amaporã";4688;2651,55;29,30;905,98
"410100 Ampére";20337;2050,80;32,31;587,15
"410105 Anahy";2971;3319,81;19,12;1059,65
"410110 Andirá";19989;1568,01;24,17;566,05
"410115 Ângulo";3357;2686,14;23,63;1056,72
"410120 Antonina";18140;1987,07;28,43;812,61
"410130 Antônio Olinto";7048;2124,83;27,33;740,80
"410140 Apucarana";134910;1680,05;23,36;981,11
"410150 Arapongas";124838;1195,07;24,48;394,89
"410160 Arapoti";26325;1959,15;30,02;421,34
"410165 Arapuã";3573;2612,10;21,59;858,11
"410170 Araruna";14894;1892,76;32,82;626,24
"410180 Araucária";162247;2161,92;19,58;531,02
"410185 Ariranha do Ivaí";2351;4084,25;29,11;1319,19
"410190 Assaí";13477;1450,41;17,66;708,96
"410200 Assis Chateaubriand";38357;1682,41;30,68;431,92
"410210 Astorga";26203;1541,03;27,39;675,42
"410220 Atalaia";4046;2564,33;23,02;650,06
"410230 Balsa Nova";13867;1741,70;24,15;493,08
"410240 Bandeirantes";31747;1139,72;31,23;399,97
"410250 Barbosa Ferraz";10580;2249,62;30,33;803,15
"410270 Barra do Jacaré";2872;3124,23;22,10;1553,81
"410260 Barracão";9903;2162,39;26,50;826,02
"410275 Bela Vista da Caroba";4122;2424,79;27,12;833,88
"410280 Bela Vista do Paraíso";14982;1530,39;20,33;636,64
"410290 Bituruna";15650;1678,64;18,15;615,38
"410300 Boa Esperança";4595;2300,83;19,79;1081,81
"410302 Boa Esperança do Iguaçu";2421;3184,69;18,70;886,37
"410304 Boa Ventura de São Roque";6241;1866,27;17,24;599,97
"410305 Boa Vista da Aparecida";8023;1828,27;22,58;578,69
"410310 Bocaiúva do Sul";13405;1453,87;25,86;410,52
"410315 Bom Jesus do Sul";4072;2584,54;16,85;1367,30
"410320 Bom Sucesso";6674;1407,42;18,60;770,50
"410322 Bom Sucesso do Sul";3244;3483,44;22,02;977,99
"410330 Borrazópolis";7818;2138,11;26,39;825,09
"410335 Braganey";4745;2119,47;20,19;640,26
"410337 Brasilândia do Sul";3861;3451,00;27,24;1052,40
"410340 Cafeara";2648;3176,67;22,78;825,21
"410345 Cafelândia";20145;2263,97;33,00;303,89
"410347 Cafezal do Sul";4580;2243,25;24,45;1083,97
"410350 Califórnia";8963;1685,05;21,63;1046,77
