Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2019
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7507;797,34;24,53;330,92
"410020 Adrianópolis";5983;1196,80;19,43;277,06
"410030 Agudos do Sul";9269;695,28;15,09;308,87
"410040 Almirante Tamandaré";117168;385,86;24,36;161,22
"410045 Altamira do Paraná";2209;2608,84;21,60;1255,19
"412862 Alto Paraíso";2799;1947,78;17,98;380,15
"410060 Alto Paraná";14679;592,10;22,25;153,75
"410070 Alto Piquiri";9896;1043,66;28,80;144,46
"410050 Altônia";21933;799,53;28,14;259,85
"410080 Alvorada do Sul";11306;896,90;23,16;238,23
"410090 Amaporã";6181;1171,71;28,41;363,91
"410100 Ampére";18989;721,90;23,24;172,14
"410105 Anahy";2816;1414,26;19,27;533,42
"410110 Andirá";20139;809,28;26,06;190,07
"410115 Ângulo";2927;1509,90;21,75;427,27
"410120 Antonina";19011;860,34;20,45;197,09
"410130 Antônio Olinto";7441;907,44;27,90;188,94
"410140 Apucarana";133726;925,65;21,46;587,98
"410150 Arapongas";121198;599,76;24,64;196,37
"410160 Arapoti";27925;829,92;24,14;177,86
"410165 Arapuã";3128;1508,62;23,18;417,94
"410170 Araruna";13939;972,92;24,41;192,05
"410180 Araucária";141410;1454,99;20,13;242,22
"410185 Ariranha do Ivaí";2151;2137,26;25,12;516,25
"410190 Assaí";15289;731,25;20,21;321,32
"410200 Assis Chateaubriand";33397;916,33;25,70;123,06
"410210 Astorga";26011;803,69;24,55;215,36
"410220 Atalaia";3902;1350,85;20,68;504,64
"410230 Balsa Nova";12787;904,42;22,57;122,88
"410240 Bandeirantes";31526;552,34;23,96;162,60
"410250 Barbosa Ferraz";11714;1015,10;26,62;409,41
"410270 Barra do Jacaré";2781;1382,74;18,62;299,31
"410260 Barracão";10238;995,59;25,25;301,91
"410275 Bela Vista da Caroba";3567;1263,12;18,18;479,48
"410280 Bela Vista do Paraíso";15395;983,77;25,67;434,29
"410290 Bituruna";16377;939,73;27,58;292,18
"410300 Boa Esperança";4165;1369,33;21,61;290,06
"410302 Boa Esperança do Iguaçu";2538;1424,47;18,36;419,26
"410304 Boa Ventura de São Roque";6411;812,02;17,79;367,16
"410305 Boa Vista da Aparecida";7643;1185,37;18,10;487,78
"410310 Bocaiúva do Sul";12755;685,09;20,00;144,82
"410315 Bom Jesus do Sul";3577;1288,63;16,62;531,88
"410320 Bom Sucesso";6995;888,95;24,11;401,93
"410322 Bom Sucesso do Sul";3274;2288,36;21,60;637,47
"410330 Borrazópolis";6749;1073,10;25,82;192,76
"410335 Braganey";5473;1047,72;20,66;273,02
"410337 Brasilândia do Sul";2719;2185,45;20,56;663,83
"410340 Cafeara";2914;1518,71;24,35;214,77
"410345 Cafelândia";17775;1038,57;20,44;183,18
"410347 Cafezal do Sul";4080;1522,47;22,96;665,66
"410350 Califórnia";8533;754,76;26,77;223,25
"410360 Cambará";25252;676,89;27,11;178,40
"410370 Cambé";105704;697,19;30,02;176,29
"410380 Cambira";7813;828,63;17,30;287,53
"410390 Campina da Lagoa";14366;822,78;19,34;259,56
"410395 Campina do Simão";3917;1146,81;16,27;473,95
"410400 Campina Grande do Sul";42880;509,02;17,95;128,61
"410405 Campo Bonito";3905;1327,71;25,53;239,52
"410410 Campo do Tenente";7894;763,88;25,44;212,65
"410420 Campo Largo";130091;501,45;24,13;137,11
"410425 Campo Magro";28885;657,22;23,48;199,16
"410430 Campo Mourão";94212;1122,00;21,09;676,27
"410440 Cândido de Abreu";15233;730,74;15,00;267,90
"410442 Candói";15903;750,96;18,02;174,66
"410445 Cantagalo";13306;530,66;15,36;275,21
"410450 Capanema";19099;865,71;24,35;234,75
"410460 Capitão Leônidas Marques";15724;1067,44;24,71;194,33
"410465 Carambeí";22993;894,21;16,16;67,58
"410470 Carlópolis";14283;972,45;27,93;213,29
