 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2016
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";3;1;-;-;-;-;-;6;2;5;-;-;1;-;1;1;11;77;108
"410010 ABATIA";3;10;-;1;1;-;-;17;9;7;2;-;2;-;1;-;13;6;72
"410020 ADRIANOPOLIS";1;10;-;10;-;1;-;19;7;2;-;-;-;1;-;1;1;2;55
"410030 AGUDOS DO SUL";1;10;-;6;1;-;-;23;11;3;-;-;1;-;1;-;1;3;61
"410040 ALMIRANTE TAMANDARE";30;111;3;44;15;27;-;181;56;39;1;4;17;-;7;4;8;139;686
"410045 ALTAMIRA DO PARANA";2;5;-;4;1;1;-;13;4;-;-;-;2;-;-;-;2;4;38
"410050 ALTONIA";17;34;1;12;3;8;-;51;25;12;-;-;3;1;2;2;7;42;220
"410060 ALTO PARANA";2;15;-;4;-;3;-;41;10;7;1;-;-;-;4;-;3;10;100
"410070 ALTO PIQUIRI";4;15;-;4;2;-;-;28;11;4;-;1;-;-;2;1;3;4;79
"410080 ALVORADA DO SUL";2;8;-;5;2;5;-;31;11;6;-;-;-;-;-;-;2;11;83
"410090 AMAPORA";-;5;1;2;-;1;-;10;3;2;1;-;2;-;-;-;4;4;35
"410100 AMPERE";4;18;1;4;2;2;-;19;28;3;-;1;1;-;2;1;17;11;114
"410105 ANAHY";-;5;-;2;-;2;-;14;1;-;-;-;-;-;-;-;-;4;28
"410110 ANDIRA";5;28;-;10;3;8;-;41;19;9;-;-;5;-;3;1;19;12;163
"410115 ANGULO";2;-;-;1;-;1;-;4;4;-;-;-;1;-;-;-;1;2;16
"410120 ANTONINA";13;26;1;12;1;2;-;38;16;10;-;1;8;-;3;-;41;13;185
"410130 ANTONIO OLINTO";5;12;-;2;-;1;-;15;3;1;-;-;-;-;2;1;-;6;48
"410140 APUCARANA";18;172;2;38;9;33;-;306;126;56;1;5;24;1;11;8;1;82;893
"410150 ARAPONGAS";16;141;3;32;5;26;-;205;129;45;4;3;39;2;14;6;100;80;850
