Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2021
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7457;955,19;22,65;331,67
"410020 Adrianópolis";5919;1260,59;21,65;848,06
"410030 Agudos do Sul";9371;975,75;27,86;388,12
"410040 Almirante Tamandaré";118623;442,31;25,19;126,63
"410045 Altamira do Paraná";1942;3169,25;21,88;842,61
"412862 Alto Paraíso";2741;2458,27;16,24;777,60
"410060 Alto Paraná";14770;844,77;16,81;263,64
"410070 Alto Piquiri";9836;1393,55;32,80;287,08
"410050 Altônia";22056;871,67;22,83;304,85
"410080 Alvorada do Sul";11406;887,64;18,11;413,81
"410090 Amaporã";6257;1268,63;27,17;381,45
"410100 Ampére";19152;1144,64;29,13;281,46
"410105 Anahy";2801;1744,71;19,33;322,86
"410110 Andirá";20031;1039,50;26,01;300,41
"410115 Ângulo";2928;1907,65;22,75;358,02
"410120 Antonina";18980;1047,13;24,00;371,79
"410130 Antônio Olinto";7434;1262,30;25,30;256,29
"410140 Apucarana";134996;1253,49;23,50;739,56
"410150 Arapongas";123027;759,06;25,90;236,96
"410160 Arapoti";28115;1055,21;26,92;213,77
"410165 Arapuã";3068;1624,46;19,29;375,90
"410170 Araruna";13970;1524,70;34,76;372,43
"410180 Araucária";143843;1988,99;17,93;269,26
"410185 Ariranha do Ivaí";2108;2682,18;23,47;510,02
"410190 Assaí";15119;777,85;17,23;296,19
"410200 Assis Chateaubriand";33362;1294,84;29,28;166,15
"410210 Astorga";26111;960,57;20,85;285,90
"410220 Atalaia";3892;1506,26;22,26;329,85
"410230 Balsa Nova";12941;1226,88;24,44;159,32
"410240 Bandeirantes";31367;696,69;23,17;157,83
"410250 Barbosa Ferraz";11568;1401,14;26,70;549,23
"410270 Barra do Jacaré";2781;1652,50;19,23;330,26
"410260 Barracão";10275;1020,35;22,71;358,22
"410275 Bela Vista da Caroba";3511;1488,65;18,80;489,89
"410280 Bela Vista do Paraíso";15397;908,61;20,91;343,11
"410290 Bituruna";16389;1034,12;22,17;433,70
"410300 Boa Esperança";4105;1391,49;18,07;450,04
"410302 Boa Esperança do Iguaçu";2503;1601,90;16,64;371,54
"410304 Boa Ventura de São Roque";6387;1186,68;15,60;354,82
