Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2018
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7768;737,92;20,09;231,59
"410020 Adrianópolis";6254;1098,55;28,26;188,59
"410030 Agudos do Sul";9161;905,04;16,52;432,16
"410040 Almirante Tamandaré";115364;307,37;24,73;117,57
"410045 Altamira do Paraná";2948;2001,86;19,69;1096,12
"412862 Alto Paraíso";2998;2079,31;21,64;564,92
"410060 Alto Paraná";14693;679,73;16,28;183,46
"410070 Alto Piquiri";10222;915,31;30,36;323,97
"410050 Altônia";21988;760,05;28,16;332,84
"410080 Alvorada do Sul";11237;844,36;25,52;428,43
"410090 Amaporã";6084;1130,79;25,47;434,14
"410100 Ampére";18886;655,52;18,74;192,19
"410105 Anahy";2901;1604,35;18,89;645,20
"410110 Andirá";20769;762,74;24,48;175,87
"410115 Ângulo";2974;1574,91;21,85;447,61
"410120 Antonina";19420;826,16;27,52;246,10
"410130 Antônio Olinto";7587;934,30;29,30;272,16
"410140 Apucarana";132691;882,48;20,44;618,75
"410150 Arapongas";118477;567,20;22,60;194,16
"410160 Arapoti";27906;753,45;24,73;279,66
"410165 Arapuã";3343;1793,30;24,89;760,10
"410170 Araruna";14098;887,01;21,19;198,35
"410180 Araucária";137452;1383,14;16,86;240,70
"410185 Ariranha do Ivaí";2301;2062,16;25,18;665,26
"410190 Assaí";15999;713,16;24,36;344,69
"410200 Assis Chateaubriand";34064;804,73;26,02;145,14
"410210 Astorga";26196;765,77;26,67;244,44
"410220 Atalaia";3999;1349,04;18,79;704,89
"410230 Balsa Nova";12602;916,69;19,95;162,30
"410240 Bandeirantes";32486;539,56;25,95;141,67
"410250 Barbosa Ferraz";12300;1070,89;29,65;465,38
"410270 Barra do Jacaré";2828;1378,58;21,77;373,71
"410260 Barracão";10314;1054,84;25,62;513,69
"410275 Bela Vista da Caroba";3774;1084,76;17,24;633,81
"410280 Bela Vista do Paraíso";15656;863,90;23,44;575,41
"410290 Bituruna";16627;880,97;26,60;383,96
"410300 Boa Esperança";4392;1269,44;17,81;480,10
"410302 Boa Esperança do Iguaçu";2671;1570,54;16,28;767,17
"410304 Boa Ventura de São Roque";6665;999,86;19,02;250,43
"410305 Boa Vista da Aparecida";7911;1001,13;18,11;481,09
"410310 Bocaiúva do Sul";12477;629,81;18,94;294,63
"410315 Bom Jesus do Sul";3733;1258,59;19,13;1106,50
"410320 Bom Sucesso";7019;1236,47;23,09;628,28
"410322 Bom Sucesso do Sul";3358;2113,31;22,44;852,14
"410330 Borrazópolis";7280;921,69;25,19;262,79
"410335 Braganey";5687;1039,08;15,43;450,97
"410337 Brasilândia do Sul";2943;1927,13;18,19;1067,57
"410340 Cafeara";2911;1489,15;25,85;404,96
"410345 Cafelândia";17175;1015,27;24,12;291,35
"410347 Cafezal do Sul";4245;1509,31;21,21;630,38
"410350 Califórnia";8583;943,24;24,70;425,35
"410360 Cambará";25401;676,67;27,48;168,21
"410370 Cambé";105347;718,09;32,47;234,58
"410380 Cambira";7808;794,58;17,33;269,99
"410390 Campina da Lagoa";15042;837,50;19,08;215,62
"410395 Campina do Simão";4062;1077,50;15,39;658,89
"410400 Campina Grande do Sul";42547;514,64;20,44;143,15
"410405 Campo Bonito";4162;1124,40;23,75;336,60
"410410 Campo do Tenente";7829;841,08;22,00;963,72
"410420 Campo Largo";127309;484,79;26,10;48,85
"410425 Campo Magro";28244;637,94;22,70;292,50
"410430 Campo Mourão";94153;1071,15;22,63;679,90
"410440 Cândido de Abreu";16059;663,28;20,97;332,89
"410442 Candói";15978;773,42;20,41;246,95
"410445 Cantagalo";13505;605,30;15,69;329,91
"410450 Capanema";19364;869,02;16,49;260,78
"410460 Capitão Leônidas Marques";15850;1078,34;27,06;357,71
"410465 Carambeí";22282;1010,12;15,40;94,09
"410470 Carlópolis";14431;519,71;26,85;241,71
"410480 Cascavel";319608;870,07;30,40;182,74
"410490 Castro";71501;755,09;16,59;282,16
"410500 Catanduvas";10451;820,19;26,03;176,25
"410510 Centenário do Sul";11246;818,49;20,04;496,71
"410520 Cerro Azul";17885;647,74;25,30;230,54
"410530 Céu Azul";11764;918,19;19,02;263,79
"410540 Chopinzinho";19911;1348,66;30,98;638,41
"410550 Cianorte";79571;1097,69;29,12;519,22
"410560 Cidade Gaúcha";12326;1100,79;27,40;338,16
"410570 Clevelândia";17250;901,77;25,76;230,79
"410580 Colombo";237402;347,64;16,65;127,69
"410590 Colorado";23941;1358,72;25,06;610,89
"410600 Congonhinhas";8821;1270,51;24,05;571,96
"410610 Conselheiro Mairinck";3866;1312,49;30,91;260,71
