 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2019
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";3;1;-;1;-;-;-;8;4;1;-;-;-;-;-;-;24;65;107
"410010 ABATIA";1;7;-;5;1;3;-;20;9;5;-;-;2;-;3;1;2;3;62
"410020 ADRIANOPOLIS";3;7;1;3;-;3;-;16;6;-;-;-;1;-;-;1;1;6;48
"410030 AGUDOS DO SUL";3;13;1;3;3;3;-;24;7;5;-;-;-;-;-;-;1;8;71
"410040 ALMIRANTE TAMANDARE";28;110;3;46;21;17;-;173;66;40;1;1;14;-;5;4;20;92;641
"410045 ALTAMIRA DO PARANA";-;7;-;3;-;-;-;15;8;-;-;-;-;-;-;-;-;5;38
"410050 ALTONIA";2;23;-;13;2;4;-;54;17;9;3;-;8;1;-;1;3;18;158
"410060 ALTO PARANA";4;18;-;5;2;4;-;34;10;10;-;-;3;-;-;-;1;4;95
"410070 ALTO PIQUIRI";1;9;-;6;1;3;-;24;16;4;-;-;1;-;2;-;1;10;78
"410080 ALVORADA DO SUL";-;12;-;7;-;4;-;28;10;4;1;1;3;-;1;-;1;6;78
"410090 AMAPORA";1;6;1;2;-;3;-;10;3;3;-;-;-;-;-;-;-;4;33
"410100 AMPERE";2;35;-;3;1;5;-;31;12;6;-;1;3;-;2;1;1;18;121
"410105 ANAHY";-;2;-;-;-;-;-;10;1;-;-;-;-;-;-;-;-;1;14
"410110 ANDIRA";7;35;-;12;4;6;-;54;23;9;1;-;4;-;2;-;15;21;193
"410115 ANGULO";1;3;-;-;1;1;-;10;2;1;-;-;-;-;1;-;-;2;22
"410120 ANTONINA";8;36;-;9;1;5;-;36;25;4;2;-;6;-;-;1;23;13;169
"410130 ANTONIO OLINTO";2;13;2;1;-;3;-;27;14;4;-;-;1;-;-;-;-;3;70
"410140 APUCARANA";27;179;2;45;10;49;-;303;127;71;4;2;36;1;13;10;3;93;975
"410150 ARAPONGAS";24;145;4;50;22;41;-;244;111;46;1;3;22;-;17;4;6;85;825
"410160 ARAPOTI";7;38;1;11;3;5;-;36;23;11;-;-;3;-;2;-;3;22;165
"410165 ARAPUA";-;2;1;4;-;1;-;13;1;3;-;-;1;-;-;-;5;3;34
"410170 ARARUNA";-;13;-;6;2;2;-;36;13;9;-;-;5;-;5;1;-;9;101
"410180 ARAUCARIA";32;159;2;50;11;31;-;189;97;50;1;5;18;-;16;5;14;99;779
