 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2019
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410185 ARIRANHA DO IVAI";-;4;-;-;-;1;-;7;2;1;-;-;-;1;-;-;1;2;19
"410190 ASSAI";5;27;-;8;-;10;-;39;18;5;-;1;5;1;-;-;2;10;131
"410200 ASSIS CHATEAUBRIAND";5;55;-;14;4;9;-;95;34;12;-;-;10;1;3;4;6;20;272
"410210 ASTORGA";2;51;2;10;4;10;-;56;25;8;-;1;6;-;3;2;-;19;199
"410220 ATALAIA";1;7;-;1;-;1;-;12;4;1;-;1;3;-;-;-;-;2;33
"410230 BALSA NOVA";5;19;1;5;-;1;-;22;13;3;-;-;2;-;-;1;4;4;80
"410240 BANDEIRANTES";13;45;-;15;4;8;-;66;45;15;3;3;11;-;2;4;7;17;258
"410250 BARBOSA FERRAZ";1;16;1;8;3;4;-;26;15;7;-;-;3;-;-;-;2;6;92
"410260 BARRACAO";2;13;-;4;1;4;-;21;10;2;-;-;2;-;-;-;2;3;64
"410270 BARRA DO JACARE";2;3;-;1;-;-;-;13;1;1;-;-;1;-;-;-;2;1;25
"410275 BELA VISTA DA CAROBA";-;9;1;-;-;1;-;8;5;1;-;-;-;-;-;-;-;3;28
"410280 BELA VISTA DO PARAISO";5;26;2;4;2;6;-;47;24;7;-;-;2;-;-;3;4;12;144
"410290 BITURUNA";2;18;2;4;-;3;-;26;15;6;1;-;2;-;2;1;-;13;95
"410300 BOA ESPERANCA";-;7;1;2;2;1;-;18;6;2;-;-;1;-;-;-;-;4;44
"410302 BOA ESPERANCA DO IGUACU";-;5;-;-;2;1;-;3;-;1;-;-;-;-;-;-;-;2;14
"410304 BOA VENTURA DE SAO ROQUE";-;7;-;-;1;1;-;6;11;1;-;-;-;-;2;3;2;1;35
"410305 BOA VISTA DA APARECIDA";2;12;1;5;1;2;-;24;7;6;-;-;1;-;-;-;-;8;69
"410310 BOCAIUVA DO SUL";2;12;1;3;4;-;-;16;6;5;-;-;-;-;-;-;8;12;69
"410315 BOM JESUS DO SUL";-;14;1;2;-;1;-;8;5;1;-;1;1;-;-;-;1;3;38
"410320 BOM SUCESSO";1;9;-;2;-;-;-;15;4;3;-;1;-;1;-;-;2;2;40
"410322 BOM SUCESSO DO SUL";-;5;-;1;1;-;-;5;4;1;-;-;1;-;-;-;-;2;20
"410330 BORRAZOPOLIS";3;11;-;4;1;1;-;22;6;7;1;-;2;-;-;1;-;5;64
"410335 BRAGANEY";-;10;1;-;-;1;-;6;7;1;-;-;1;-;-;1;-;4;32
"410337 BRASILANDIA DO SUL";-;4;-;1;-;1;-;8;2;2;-;-;-;-;1;-;3;5;27
"410340 CAFEARA";1;5;-;-;-;1;-;2;1;-;-;-;-;-;-;-;1;1;12
"410345 CAFELANDIA";2;23;-;7;1;1;-;27;4;2;-;-;3;-;5;1;2;15;93
"410347 CAFEZAL DO SUL";-;10;-;3;3;2;-;12;5;2;1;-;-;-;-;-;1;3;42
"410350 CALIFORNIA";4;8;-;6;-;4;-;19;13;7;-;-;3;-;1;1;-;5;71
"410360 CAMBARA";8;39;1;13;3;6;-;54;25;18;-;-;11;1;1;-;3;19;202
"410370 CAMBE";27;148;2;31;4;27;1;164;99;44;4;5;37;1;7;6;8;82;697
"410380 CAMBIRA";3;8;-;1;1;3;-;22;5;3;1;1;2;-;-;-;-;12;62
"410390 CAMPINA DA LAGOA";4;20;1;14;-;4;-;38;14;4;-;-;3;-;1;-;-;16;119
"410395 CAMPINA DO SIMAO";-;6;-;2;-;2;-;8;6;-;-;-;1;-;-;-;-;3;28
"410400 CAMPINA GRANDE DO SUL";17;54;2;13;2;9;-;64;33;17;-;-;9;1;7;2;20;26;276
"410405 CAMPO BONITO";1;8;-;1;-;3;-;6;3;3;-;-;-;-;-;-;-;4;29
"410410 CAMPO DO TENENTE";1;9;2;4;1;-;-;14;6;4;-;-;1;-;-;1;-;2;45
"410420 CAMPO LARGO";41;156;7;24;6;22;-;186;109;43;2;3;26;2;9;8;50;90;784
"410425 CAMPO MAGRO";8;34;2;6;3;6;-;37;15;3;-;2;3;1;1;1;4;21;147
"410430 CAMPO MOURAO";21;131;2;37;6;21;-;215;69;46;-;3;8;-;4;8;2;91;664
"410440 CANDIDO DE ABREU";2;16;1;5;-;3;-;36;10;6;-;-;2;-;2;-;4;10;97
"410442 CANDOI";-;20;-;6;-;1;-;29;6;2;-;-;2;-;3;2;2;16;89
"410445 CANTAGALO";1;22;-;5;3;1;-;31;16;3;-;-;3;-;-;1;-;9;95
"410450 CAPANEMA";3;25;-;5;2;8;-;46;12;7;-;-;3;-;-;1;4;17;133
"410460 CAPITAO LEONIDAS MARQUES";2;28;1;9;-;2;-;31;16;3;2;-;-;-;3;3;-;5;105
"410465 CARAMBEI";6;38;-;5;1;4;-;27;10;4;-;-;-;1;1;3;13;16;129
"410470 CARLOPOLIS";5;24;1;3;1;-;-;34;15;15;-;-;5;-;1;3;6;15;128
"410480 CASCAVEL";65;379;6;85;30;86;-;451;190;105;10;7;44;1;21;27;50;211;1768
"410490 CASTRO";21;81;1;11;2;11;-;118;57;23;2;-;17;1;4;6;59;38;452
"410500 CATANDUVAS";1;15;-;6;-;5;-;19;6;6;-;-;1;1;1;1;-;13;75
"410510 CENTENARIO DO SUL";3;15;1;10;3;4;-;38;6;6;-;1;4;-;1;-;2;11;105
"410520 CERRO AZUL";2;20;-;13;-;1;-;33;19;4;-;1;3;-;-;-;4;13;113
"410530 CEU AZUL";1;7;-;3;-;5;-;19;13;6;-;-;3;-;-;-;-;10;67
"410540 CHOPINZINHO";3;31;1;9;2;8;-;38;18;8;-;4;3;-;1;1;-;18;145
"410550 CIANORTE";9;96;2;39;7;37;-;147;67;20;1;3;7;-;3;3;1;60;502
"410560 CIDADE GAUCHA";1;9;-;4;1;3;-;24;5;3;-;1;1;-;1;3;3;8;67
"410570 CLEVELANDIA";3;22;2;11;2;4;-;34;25;15;-;2;-;-;4;1;3;22;150
"410580 COLOMBO";62;251;10;71;13;47;-;342;170;70;2;3;37;1;24;11;34;168;1316
"410590 COLORADO";6;32;2;18;3;6;-;61;21;13;-;-;2;-;6;1;-;11;182
"410600 CONGONHINHAS";3;12;-;1;1;3;-;12;8;5;-;-;2;1;1;-;1;6;56
"410610 CONSELHEIRO MAIRINCK";2;3;-;3;1;1;-;9;7;-;-;-;1;-;-;-;6;6;39
"410620 CONTENDA";6;22;-;8;2;4;-;22;15;9;1;-;2;-;3;1;1;6;102
"410630 CORBELIA";2;27;1;7;2;5;-;23;14;3;-;-;4;-;3;1;1;19;112
"410640 CORNELIO PROCOPIO";11;62;2;21;10;12;-;100;63;18;1;2;19;-;8;2;5;36;372
"410645 CORONEL DOMINGOS SOARES";3;5;-;1;2;-;-;7;6;2;-;-;1;-;-;-;-;8;35
"410650 CORONEL VIVIDA";11;42;3;9;1;6;-;39;24;7;-;-;6;1;3;1;1;21;175
"410655 CORUMBATAI DO SUL";1;5;-;4;-;2;-;17;2;2;-;-;1;-;1;-;1;2;38
"410657 CRUZEIRO DO IGUACU";-;2;-;2;-;-;-;11;4;1;-;-;2;-;-;-;1;4;27
"410660 CRUZEIRO DO OESTE";8;23;1;8;7;7;-;59;24;12;-;1;7;-;3;1;9;14;184
"410670 CRUZEIRO DO SUL";1;4;1;3;1;1;-;13;3;-;-;-;1;-;-;3;1;1;33
"410680 CRUZ MACHADO";6;24;1;3;2;3;-;40;21;10;-;-;5;-;3;-;-;15;133
"410685 CRUZMALTINA";-;5;-;4;-;-;-;6;2;2;-;-;1;-;-;-;1;3;24
"410690 CURITIBA";400;2618;30;649;100;817;-;2834;981;625;38;59;333;4;77;63;172;1143;10943
"410700 CURIUVA";3;16;-;13;-;2;-;36;12;5;1;-;5;1;3;-;2;15;114
"410710 DIAMANTE DO NORTE";-;7;-;5;1;3;-;12;8;3;-;-;2;-;-;-;-;3;44
"410712 DIAMANTE DO SUL";1;4;-;2;1;1;-;5;3;1;-;-;-;1;-;-;-;5;24
"410715 DIAMANTE D'OESTE";1;3;1;6;1;1;-;17;3;3;-;-;-;-;-;-;-;6;42
"410720 DOIS VIZINHOS";6;56;-;22;-;3;-;51;29;9;2;1;9;-;4;2;2;24;220
"410725 DOURADINA";2;8;-;5;1;-;-;23;8;2;-;-;2;-;1;1;-;15;68
"410730 DOUTOR CAMARGO";1;14;-;4;1;1;-;15;10;2;-;-;2;1;-;-;-;3;54
"410740 ENEAS MARQUES";-;16;-;1;1;-;-;11;4;4;-;-;2;-;-;1;1;2;43
"410750 ENGENHEIRO BELTRAO";2;14;-;7;-;3;-;33;12;3;-;1;1;-;-;1;-;16;93
"410752 ESPERANCA NOVA";-;2;-;1;1;2;-;4;3;-;-;-;-;-;-;-;-;5;18
"410753 ENTRE RIOS DO OESTE";-;6;-;-;-;1;-;8;3;3;-;1;2;-;2;-;-;3;29
"410754 ESPIGAO ALTO DO IGUACU";2;8;-;3;2;1;-;9;6;2;-;-;1;-;-;-;-;7;41
"410755 FAROL";1;1;-;-;-;1;-;8;3;3;-;-;-;-;-;-;-;4;21
"410760 FAXINAL";4;25;1;11;-;3;-;46;19;9;-;-;3;-;-;-;-;15;136
"410765 FAZENDA RIO GRANDE";24;101;2;31;7;15;-;131;56;37;1;-;15;-;21;6;15;92;554
"410770 FENIX";-;6;-;1;2;6;-;15;8;4;-;-;-;-;-;1;-;6;49
"410773 FERNANDES PINHEIRO";-;3;-;-;-;2;-;11;2;1;-;-;-;-;-;-;2;2;23
"410775 FIGUEIRA";6;17;-;2;2;6;-;25;5;7;-;-;4;-;-;-;2;9;85
"410780 FLORAI";1;9;2;1;-;4;-;14;9;5;-;1;1;-;-;-;-;3;50
"410785 FLOR DA SERRA DO SUL";1;7;-;1;-;1;-;10;3;1;-;1;-;-;-;1;1;5;32
"410790 FLORESTA";2;10;-;6;-;2;-;6;9;2;1;-;2;-;-;-;-;4;44
"410800 FLORESTOPOLIS";5;13;-;3;1;1;-;19;12;7;-;-;1;-;-;-;2;13;77
"410810 FLORIDA";-;7;-;-;-;-;-;8;1;1;-;-;-;-;-;-;-;2;19
"410820 FORMOSA DO OESTE";-;14;-;4;-;2;-;20;6;5;-;-;3;-;-;1;-;11;66
"410830 FOZ DO IGUACU";58;378;7;134;18;49;-;389;227;75;5;11;38;2;24;18;41;182;1656
"410832 FRANCISCO ALVES";4;14;-;4;-;4;-;12;11;5;-;-;-;-;1;1;1;6;63
"410840 FRANCISCO BELTRAO";8;118;3;29;8;22;-;105;74;35;-;2;15;-;2;5;16;60;502
"410845 FOZ DO JORDAO";-;4;-;4;-;-;-;7;4;3;-;-;1;-;-;-;2;4;29
"410850 GENERAL CARNEIRO";-;14;-;3;-;2;-;20;8;7;-;-;2;-;-;-;1;10;67
"410855 GODOY MOREIRA";-;6;-;4;-;1;-;10;2;1;-;-;-;-;-;1;-;5;30
"410860 GOIOERE";6;45;2;19;2;11;-;90;30;14;-;1;7;-;5;1;1;14;248
"410865 GOIOXIM";1;7;-;3;1;3;-;3;7;-;-;-;-;-;-;1;1;8;35
"410870 GRANDES RIOS";-;11;1;2;-;-;-;17;10;5;-;-;-;-;-;1;1;4;52
"410880 GUAIRA";6;30;3;14;2;11;-;60;42;17;-;-;12;1;4;-;10;27;239
"410890 GUAIRACA";-;9;-;8;-;1;-;14;7;4;-;-;1;1;-;-;2;9;56
"410895 GUAMIRANGA";-;9;-;4;-;3;-;13;11;2;-;-;-;-;1;1;-;1;45
"410900 GUAPIRAMA";4;1;-;3;-;-;-;13;3;1;-;-;-;-;-;1;1;8;35
"410910 GUAPOREMA";-;2;-;2;-;-;-;5;3;2;-;-;-;-;-;-;-;2;16
"410920 GUARACI";1;8;-;-;-;2;-;11;5;2;-;-;-;-;1;-;-;9;39
"410930 GUARANIACU";2;14;1;7;2;3;-;26;27;2;-;-;4;-;2;-;2;13;105
"410940 GUARAPUAVA";28;245;8;79;18;60;-;343;187;80;2;4;36;1;15;16;19;107;1248
"410950 GUARAQUECABA";4;7;-;2;1;1;-;13;4;2;-;-;2;-;1;-;2;4;43
"410960 GUARATUBA";10;44;-;23;2;5;-;57;30;14;-;-;5;1;2;-;21;40;254
"410965 HONORIO SERPA";1;8;-;2;1;-;-;5;4;1;-;-;-;-;1;-;-;6;29
"410970 IBAITI";7;46;-;9;6;11;-;81;34;15;-;-;8;-;1;2;2;21;243
"410975 IBEMA";-;7;-;4;-;-;-;7;5;1;1;-;1;-;-;-;-;4;30
"410980 IBIPORA";16;59;2;13;3;10;-;107;60;24;5;1;17;1;5;5;8;57;393
"410990 ICARAIMA";2;13;-;6;2;2;1;25;8;4;-;-;2;-;1;-;-;2;68
"411000 IGUARACU";-;13;-;1;-;2;-;13;2;-;-;-;1;-;1;-;-;1;34
"411005 IGUATU";-;2;-;5;-;1;-;5;-;2;-;-;-;-;-;-;-;-;15
"411007 IMBAU";2;14;-;3;1;1;-;12;16;6;-;-;4;-;-;3;7;17;86
"411010 IMBITUVA";3;40;-;15;1;5;-;57;25;4;-;-;5;-;4;2;4;29;194
"411020 INACIO MARTINS";1;12;1;3;-;2;-;17;6;2;-;1;1;-;-;-;1;5;52
"411030 INAJA";-;3;-;1;1;1;-;6;2;1;-;-;1;-;-;1;-;2;19
"411040 INDIANOPOLIS";-;7;1;1;-;1;-;9;4;-;-;-;-;-;-;-;-;4;27
"411050 IPIRANGA";4;16;1;4;-;1;-;13;10;5;-;-;2;-;1;-;4;11;72
"411060 IPORA";5;22;2;18;2;8;-;48;6;10;-;1;1;-;3;-;4;14;144
"411065 IRACEMA DO OESTE";-;4;-;3;-;1;-;10;1;1;-;-;2;-;-;-;-;5;27
"411070 IRATI";5;96;4;27;14;11;-;130;70;27;-;1;10;-;4;1;11;43;454
"411080 IRETAMA";2;22;-;8;1;4;-;29;14;10;-;-;1;-;1;-;-;14;106
"411090 ITAGUAJE";3;7;-;2;1;1;-;13;1;5;1;-;2;-;-;-;-;4;40
"411095 ITAIPULANDIA";2;19;-;7;1;-;-;27;13;2;-;-;1;-;-;1;-;13;86
"411100 ITAMBARACA";1;5;-;5;1;-;-;13;8;1;-;1;1;-;-;-;3;4;43
"411110 ITAMBE";2;12;-;3;1;3;-;17;6;3;-;-;-;-;-;-;-;1;48
"411120 ITAPEJARA D'OESTE";2;16;-;3;2;3;-;17;13;9;1;-;2;-;-;-;3;9;80
"411125 ITAPERUCU";5;19;-;5;3;4;-;33;20;7;-;1;4;-;2;3;19;26;151
"411130 ITAUNA DO SUL";-;5;-;2;1;1;-;3;4;-;-;-;-;-;1;1;2;5;25
"411140 IVAI";3;18;-;9;2;2;-;29;11;2;-;1;2;-;-;1;1;11;92
"411150 IVAIPORA";6;52;2;17;8;20;-;86;38;20;1;1;3;1;6;-;10;21;292
"411155 IVATE";4;10;1;3;1;-;-;14;6;4;-;-;2;-;1;1;2;5;54
"411160 IVATUBA";-;6;-;1;1;1;-;5;1;2;1;-;1;-;-;-;-;3;22
"411170 JABOTI";3;7;-;2;-;1;-;11;9;1;-;-;-;-;-;-;3;3;40
"411180 JACAREZINHO";12;56;1;34;4;12;-;94;36;20;1;-;13;1;1;3;7;35;330
"411190 JAGUAPITA";9;27;1;5;3;1;-;33;14;10;1;-;5;-;2;-;3;14;128
"411200 JAGUARIAIVA";8;42;2;19;1;6;-;78;24;17;1;-;6;-;5;2;8;30;249
"411210 JANDAIA DO SUL";6;29;-;8;2;13;-;60;38;11;-;2;10;-;3;-;-;22;204
"411220 JANIOPOLIS";1;6;-;5;-;-;-;21;10;11;-;1;4;-;-;-;1;6;66
"411230 JAPIRA";2;6;-;2;1;2;-;12;2;3;-;-;2;-;1;2;-;5;40
"411240 JAPURA";-;15;1;1;-;4;-;35;16;6;-;1;-;-;-;-;-;9;88
"411250 JARDIM ALEGRE";4;17;1;7;-;4;-;31;8;4;-;1;5;-;-;2;3;7;94
"411260 JARDIM OLINDA";-;2;-;1;-;-;-;4;-;1;-;-;-;-;-;-;-;2;10
"411270 JATAIZINHO";2;18;1;5;1;4;-;30;16;5;-;1;4;1;3;-;2;10;103
"411275 JESUITAS";-;17;-;7;1;4;-;21;12;7;1;-;6;-;1;-;1;4;82
"411280 JOAQUIM TAVORA";3;18;-;10;-;6;-;35;9;8;1;1;4;-;1;1;2;8;107
"411290 JUNDIAI DO SUL";2;2;-;5;-;-;-;9;3;4;-;-;3;-;-;-;-;4;32
"411295 JURANDA";2;10;-;7;-;2;-;31;7;4;-;-;1;-;1;-;1;12;78
"411300 JUSSARA";3;8;-;5;-;1;-;20;3;2;-;-;2;-;-;-;-;6;50
"411310 KALORE";1;7;1;5;-;2;-;14;10;1;-;1;2;-;-;1;-;3;48
"411320 LAPA";9;74;3;15;5;11;-;62;50;15;2;1;6;1;1;3;43;25;326
"411325 LARANJAL";1;5;1;3;-;-;-;11;9;-;-;-;2;-;-;-;1;9;42
"411330 LARANJEIRAS DO SUL";9;42;1;14;10;12;-;59;42;10;1;2;2;-;4;-;-;32;240
"411340 LEOPOLIS";1;2;1;3;-;-;-;8;4;2;-;-;1;-;1;-;1;2;26
"411342 LIDIANOPOLIS";1;9;-;-;-;3;-;16;7;-;-;-;1;-;-;-;2;3;42
"411345 LINDOESTE";-;12;-;3;1;3;-;10;2;3;-;-;1;-;-;-;-;5;40
"411350 LOANDA";8;20;-;13;5;10;-;56;21;10;-;3;5;-;-;2;6;24;183
"411360 LOBATO";1;3;1;2;-;2;-;10;7;1;-;-;-;-;-;-;-;6;33
"411370 LONDRINA";103;795;15;193;33;307;-;874;476;213;18;25;131;4;37;40;45;374;3683
"411373 LUIZIANA";-;9;-;2;-;-;-;14;8;4;1;-;-;-;-;-;-;7;45
"411375 LUNARDELLI";-;13;-;3;1;-;-;13;5;2;-;-;1;-;-;-;1;1;40
"411380 LUPIONOPOLIS";3;4;1;5;-;1;-;14;6;5;-;-;2;-;-;-;1;2;44
"411390 MALLET";-;31;1;4;3;1;-;28;12;4;-;-;2;-;-;-;-;6;92
"411400 MAMBORE";1;22;-;5;-;4;-;38;16;4;1;-;4;-;1;1;1;11;109
"411410 MANDAGUACU";4;21;1;17;1;3;-;41;22;10;1;1;9;-;2;4;-;19;156
"411420 MANDAGUARI";11;49;1;16;6;13;-;81;39;19;1;2;9;-;6;1;-;29;283
"411430 MANDIRITUBA";5;27;-;6;1;3;-;29;23;5;-;-;2;1;2;-;16;25;145
"411435 MANFRINOPOLIS";-;5;-;4;-;2;-;4;3;1;-;-;1;-;1;-;3;3;27
"411440 MANGUEIRINHA";4;23;-;10;1;8;-;32;13;6;-;-;3;-;1;3;2;20;126
"411450 MANOEL RIBAS";4;18;1;7;5;-;-;28;10;3;-;-;1;-;1;1;13;17;109
"411460 MARECHAL CANDIDO RONDON";12;56;1;9;3;21;-;109;34;17;-;1;8;-;5;4;13;32;325
"411470 MARIA HELENA";2;7;-;4;-;2;-;16;7;7;-;-;1;-;-;-;1;6;53
"411480 MARIALVA";6;49;2;18;3;16;-;63;45;15;-;-;13;1;3;5;3;31;273
"411490 MARILANDIA DO SUL";-;14;1;10;-;4;-;20;13;4;-;-;2;-;2;2;1;12;85
"411500 MARILENA";2;16;2;8;-;-;-;23;2;3;-;-;-;-;2;-;-;8;66
"411510 MARILUZ";6;10;1;5;2;4;-;29;17;7;-;-;3;-;5;-;-;17;106
"411520 MARINGA";48;491;6;145;13;158;1;695;304;132;16;18;97;4;33;17;24;252;2454
"411530 MARIOPOLIS";3;14;-;-;1;1;-;17;5;2;-;-;1;-;-;-;-;5;49
"411535 MARIPA";-;12;-;5;-;1;-;14;7;4;-;-;1;-;-;-;-;1;45
"411540 MARMELEIRO";1;24;-;7;1;4;-;25;12;8;1;2;-;-;2;-;5;14;106
"411545 MARQUINHO";-;5;-;1;-;2;-;12;9;-;-;-;1;-;-;-;2;6;38
"411550 MARUMBI";2;13;-;2;-;2;-;11;4;1;-;1;2;-;-;1;-;7;46
"411560 MATELANDIA";3;15;-;9;2;4;-;33;9;7;-;2;1;-;2;-;4;16;107
"411570 MATINHOS";12;43;1;13;2;7;-;67;37;19;-;-;5;-;6;2;38;36;288
"411573 MATO RICO";-;4;-;2;-;-;-;6;1;1;-;-;-;-;-;-;-;-;14
"411575 MAUA DA SERRA";-;14;-;2;-;2;-;23;4;5;-;-;3;-;2;1;-;12;68
"411580 MEDIANEIRA";9;61;1;17;2;16;-;57;35;11;-;-;5;1;8;4;1;43;271
"411585 MERCEDES";1;11;-;-;-;3;-;13;7;2;-;-;-;-;-;-;-;3;40
"411590 MIRADOR";1;4;-;2;-;1;-;4;1;-;-;-;-;-;-;-;-;2;15
"411600 MIRASELVA";-;2;-;2;-;-;-;6;1;2;-;-;-;-;-;-;-;4;17
"411605 MISSAL";-;21;-;3;-;2;-;22;10;3;-;-;4;-;2;2;7;7;83
"411610 MOREIRA SALES";4;18;1;10;2;5;-;38;19;5;-;-;3;-;-;-;3;12;120
"411620 MORRETES";9;21;1;7;1;2;-;44;18;7;-;-;6;-;-;-;10;17;143
"411630 MUNHOZ DE MELO";1;8;-;4;1;2;-;7;4;2;-;-;1;-;1;-;-;3;34
"411640 NOSSA SENHORA DAS GRACAS";-;7;-;3;2;1;-;11;5;3;-;-;-;-;-;-;-;5;37
"411650 NOVA ALIANCA DO IVAI";1;6;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;10
"411660 NOVA AMERICA DA COLINA";-;6;-;-;-;3;-;4;6;1;-;-;-;-;-;1;-;2;23
"411670 NOVA AURORA";3;23;3;2;1;1;-;27;12;3;-;-;4;-;-;1;1;11;92
"411680 NOVA CANTU";2;12;-;5;-;1;-;20;9;3;-;-;-;-;-;-;-;6;58
"411690 NOVA ESPERANCA";7;32;1;16;-;8;-;52;31;14;-;-;8;-;3;2;1;30;205
"411695 NOVA ESPERANCA DO SUDOESTE";-;5;-;1;-;2;-;13;6;-;-;-;1;-;-;-;-;8;36
"411700 NOVA FATIMA";2;12;1;3;2;3;-;13;10;2;1;-;2;-;-;1;1;5;58
"411705 NOVA LARANJEIRAS";3;11;-;2;1;2;-;22;7;3;-;-;1;1;1;-;4;18;76
"411710 NOVA LONDRINA";-;18;1;12;-;6;-;25;9;2;-;-;2;-;3;-;2;4;84
"411720 NOVA OLIMPIA";-;6;-;9;1;4;-;17;10;3;-;-;1;-;1;2;1;3;58
"411721 NOVA SANTA BARBARA";-;4;-;3;-;1;-;10;5;2;1;-;-;-;-;-;-;3;29
"411722 NOVA SANTA ROSA";2;14;-;7;1;-;-;28;7;3;-;-;1;-;2;-;1;5;71
"411725 NOVA PRATA DO IGUACU";-;15;-;2;1;5;-;21;8;2;-;-;2;-;1;1;2;4;64
"411727 NOVA TEBAS";1;12;-;3;-;3;-;18;8;7;-;1;2;-;-;1;4;3;63
"411729 NOVO ITACOLOMI";1;7;-;1;-;-;-;6;4;-;-;-;3;-;-;-;-;2;24
"411730 ORTIGUEIRA";7;21;-;9;1;3;-;48;22;12;-;1;1;-;2;1;3;14;145
"411740 OURIZONA";1;7;-;2;-;1;-;7;4;3;-;-;1;-;-;-;-;4;30
"411745 OURO VERDE DO OESTE";-;4;-;7;2;2;-;14;3;3;-;1;2;-;-;1;1;8;48
"411750 PAICANDU";6;56;-;21;3;11;-;72;35;16;1;2;10;-;6;3;3;34;279
"411760 PALMAS";9;57;3;20;4;6;-;73;45;15;-;1;7;-;4;2;4;37;287
"411770 PALMEIRA";10;60;2;16;1;7;-;56;25;10;1;1;9;-;3;1;11;29;242
"411780 PALMITAL";-;16;2;7;-;5;-;38;9;6;-;-;2;-;1;2;4;8;100
"411790 PALOTINA";6;39;-;9;1;8;-;69;22;8;-;-;13;-;5;-;5;27;212
"411800 PARAISO DO NORTE";1;16;-;3;-;3;-;22;10;7;-;-;6;-;2;3;2;12;87
"411810 PARANACITY";1;15;-;6;2;3;-;26;8;3;1;1;1;-;1;1;3;5;77
"411820 PARANAGUA";58;167;5;76;12;24;-;297;99;62;1;7;35;2;11;9;4;143;1012
"411830 PARANAPOEMA";2;2;-;1;-;1;-;4;1;-;-;-;-;-;-;-;-;1;12
"411840 PARANAVAI";14;115;4;51;22;28;1;225;85;39;1;2;19;-;10;4;5;79;704
"411845 PATO BRAGADO";-;6;-;-;1;1;-;13;-;-;-;-;1;-;-;-;1;6;29
"411850 PATO BRANCO";20;123;3;38;9;13;-;118;60;26;2;2;16;-;11;9;4;64;518
"411860 PAULA FREITAS";1;9;-;2;1;2;-;13;4;4;-;-;-;-;-;-;-;5;41
"411870 PAULO FRONTIN";1;11;-;1;-;3;-;20;7;2;-;-;-;-;-;-;-;6;51
"411880 PEABIRU";2;13;-;2;2;2;-;32;11;10;-;-;2;-;2;-;1;12;91
"411885 PEROBAL";2;10;-;6;-;3;-;22;3;1;-;-;1;-;2;-;1;7;58
