Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2016
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7795;612,80;26,46;238,39
"410020 Adrianópolis";6293;1007,49;30,12;314,47
"410030 Agudos do Sul";9073;568,41;20,02;220,40
"410040 Almirante Tamandaré";114129;199,68;18,47;63,85
"410045 Altamira do Paraná";3143;1534,24;20,00;711,00
"412862 Alto Paraíso";3037;1653,37;17,55;484,15
"410060 Alto Paraná";14606;617,27;26,55;147,58
"410070 Alto Piquiri";10253;766,23;30,52;215,79
"410050 Altônia";21867;762,59;27,25;266,05
"410080 Alvorada do Sul";11148;835,09;29,20;241,73
"410090 Amaporã";6019;1095,80;31,85;246,17
"410100 Ampére";18740;686,35;24,48;181,41
"410105 Anahy";2908;1267,12;18,18;490,94
"410110 Andirá";20822;586,59;26,56;144,58
"410115 Ângulo";2969;1402,81;21,83;624,44
"410120 Antonina";19418;660,88;25,98;193,06
"410130 Antônio Olinto";7582;872,53;30,26;157,82
"410140 Apucarana";131571;757,76;22,86;524,76
"410150 Arapongas";116960;462,28;23,59;165,36
"410160 Arapoti";27728;642,50;22,80;151,66
"410165 Arapuã";3384;1335,11;25,74;465,01
"410170 Araruna";14056;716,51;25,46;116,78
"410180 Araucária";135459;1216,83;22,38;242,97
"410185 Ariranha do Ivaí";2330;1585,94;24,06;486,71
"410190 Assaí";16104;746,68;22,47;298,56
"410200 Assis Chateaubriand";34046;647,84;23,51;79,42
"410210 Astorga";26087;601,32;21,49;206,63
"410220 Atalaia";4002;905,42;21,89;414,74
"410230 Balsa Nova";12471;902,30;25,38;215,15
"410240 Bandeirantes";32562;394,76;17,81;136,40
"410250 Barbosa Ferraz";12393;876,68;27,93;315,01
"410270 Barra do Jacaré";2825;1094,14;17,88;406,69
"410260 Barracão";10273;947,07;26,44;425,33
"410275 Bela Vista da Caroba";3811;990,74;19,39;560,31
"410280 Bela Vista do Paraíso";15634;803,96;28,49;254,95
"410290 Bituruna";16511;785,58;30,78;256,15
"410300 Boa Esperança";4438;969,19;17,09;351,18
"410302 Boa Esperança do Iguaçu";2694;1205,09;17,20;553,92
"410304 Boa Ventura de São Roque";6674;825,25;18,38;409,62
"410305 Boa Vista da Aparecida";7939;1084,93;24,79;502,64
"410310 Bocaiúva do Sul";12320;550,41;23,36;153,35
"410315 Bom Jesus do Sul";3755;1087,46;16,46;670,77
"410320 Bom Sucesso";6982;905,69;27,11;268,60
"410322 Bom Sucesso do Sul";3361;1413,41;20,65;443,13
"410330 Borrazópolis";7387;948,53;25,01;344,14
"410335 Braganey";5714;804,17;18,22;225,14
"410337 Brasilândia do Sul";2990;1626,41;28,27;656,67
"410340 Cafeara";2892;1172,55;23,70;371,44
"410345 Cafelândia";16896;977,52;28,01;138,54
"410347 Cafezal do Sul";4266;1116,41;20,14;454,65
"410350 Califórnia";8545;617,47;21,29;335,93
"410360 Cambará";25287;601,60;25,72;171,64
