Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2020
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7457;804,59;24,84;341,49
"410020 Adrianópolis";5919;1210,79;21,98;811,85
"410030 Agudos do Sul";9371;909,04;24,41;352,11
"410040 Almirante Tamandaré";118623;418,55;16,68;141,93
"410045 Altamira do Paraná";1942;2966,76;21,28;1210,60
"412862 Alto Paraíso";2741;2296,30;17,13;765,14
"410060 Alto Paraná";14770;844,24;19,11;235,05
"410070 Alto Piquiri";9836;1066,35;34,68;437,64
"410050 Altônia";22056;780,96;25,39;482,21
"410080 Alvorada do Sul";11406;958,61;24,26;259,69
"410090 Amaporã";6257;1177,69;28,04;344,77
"410100 Ampére";19152;960,39;26,79;326,65
"410105 Anahy";2801;1697,62;16,60;669,79
"410110 Andirá";20031;961,71;27,26;285,11
"410115 Ângulo";2928;1694,14;23,00;557,05
"410120 Antonina";18980;1071,32;20,29;378,77
"410130 Antônio Olinto";7434;954,32;26,25;434,52
"410140 Apucarana";134996;1053,03;19,17;853,91
"410150 Arapongas";123027;678,00;21,42;287,70
"410160 Arapoti";28115;976,62;29,52;249,90
"410165 Arapuã";3068;1603,10;22,90;920,05
"410170 Araruna";13970;1315,86;30,78;426,71
"410180 Araucária";143843;1478,62;17,22;389,04
"410185 Ariranha do Ivaí";2108;1910,97;23,22;647,05
"410190 Assaí";15119;717,02;23,07;381,17
"410200 Assis Chateaubriand";33362;962,50;24,21;220,46
"410210 Astorga";26111;812,62;24,99;300,70
"410220 Atalaia";3892;1391,03;19,29;541,24
"410230 Balsa Nova";12941;1116,59;27,58;223,41
"410240 Bandeirantes";31367;631,92;28,18;126,41
"410250 Barbosa Ferraz";11568;1222,88;28,17;485,27
"410270 Barra do Jacaré";2781;1442,89;18,45;429,39
"410260 Barracão";10275;1005,70;18,57;502,54
"410275 Bela Vista da Caroba";3511;1253,77;15,93;628,02
"410280 Bela Vista do Paraíso";15397;932,52;23,53;496,02
"410290 Bituruna";16389;1009,16;24,09;479,85
"410300 Boa Esperança";4105;1504,68;23,08;325,25
"410302 Boa Esperança do Iguaçu";2503;1695,43;17,61;512,92
"410304 Boa Ventura de São Roque";6387;936,94;16,57;580,02
"410305 Boa Vista da Aparecida";7591;1224,07;19,90;650,13
"410310 Bocaiúva do Sul";12944;872,60;19,16;234,53
"410315 Bom Jesus do Sul";3541;1396,87;17,53;744,16
"410320 Bom Sucesso";7032;1075,72;27,78;376,32
"410322 Bom Sucesso do Sul";3264;2248,21;25,87;580,07
"410330 Borrazópolis";6592;1343,75;27,09;481,32
"410335 Braganey";5427;1208,47;23,95;321,77
"410337 Brasilândia do Sul";2651;2608,02;18,74;723,86
"410340 Cafeara";2934;1594,30;23,85;492,72
"410345 Cafelândia";18120;1002,85;19,85;315,72
"410347 Cafezal do Sul";4044;1750,98;23,56;670,29
"410350 Califórnia";8570;907,87;25,87;503,38
"410360 Cambará";25360;780,77;24,70;217,29
"410370 Cambé";106533;784,39;26,04;276,37
"410380 Cambira";7865;957,31;17,69;488,69
"410390 Campina da Lagoa";14202;815,62;20,59;340,78
"410395 Campina do Simão";3887;1255,75;16,09;557,23
"410400 Campina Grande do Sul";43288;623,80;19,89;236,65
"410405 Campo Bonito";3833;1347,61;22,15;735,36
"410410 Campo do Tenente";7971;852,69;24,39;167,39
"410420 Campo Largo";132002;596,96;17,00;194,38
"410425 Campo Magro";29318;707,01;22,33;260,25
"410430 Campo Mourão";94859;1317,54;20,50;990,31
"410440 Cândido de Abreu";15018;835,03;20,71;386,14
"410442 Candói";15979;800,25;19,08;296,85
"410445 Cantagalo";13317;576,46;16,21;339,31
"410450 Capanema";19124;1000,26;23,20;389,31
"410460 Capitão Leônidas Marques";15780;1131,26;26,84;383,01
"410465 Carambeí";23415;918,25;15,34;479,75
"410470 Carlópolis";14320;977,93;29,17;291,95
"410480 Cascavel";328454;1043,03;32,82;415,11
"410490 Castro";71484;873,26;16,37;288,04
"410500 Catanduvas";10189;1047,25;20,06;318,00
"410510 Centenário do Sul";10827;772,92;15,78;438,95
"410520 Cerro Azul";17779;955,59;27,20;291,42
"410530 Céu Azul";11765;840,75;19,59;299,39
"410540 Chopinzinho";19254;1870,25;28,08;1038,80
"410550 Cianorte";82620;1326,06;27,52;748,46
"410560 Cidade Gaúcha";12652;1198,63;25,33;291,34
