Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2022
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410712 Diamante do Sul";3409;1780,66;16,97;468,09
"410720 Dois Vizinhos";41424;1732,82;33,69;462,35
"410725 Douradina";8988;1470,87;28,13;597,21
"410730 Doutor Camargo";5987;1541,06;25,01;369,51
"412863 Doutor Ulysses";5525;1608,84;24,90;415,42
"410740 Enéas Marques";5906;2507,44;28,90;646,45
"410750 Engenheiro Beltrão";13962;1236,12;20,67;441,86
"410753 Entre Rios do Oeste";4651;2556,11;25,94;337,71
"410752 Esperança Nova";1633;3434,04;16,32;1138,04
"410754 Espigão Alto do Iguaçu";3980;1964,44;16,48;608,92
"410755 Farol";2995;2109,67;18,15;602,51
"410760 Faxinal";17379;1250,75;20,21;247,12
"410765 Fazenda Rio Grande";103750;866,74;25,63;420,37
"410770 Fênix";4734;1529,15;17,34;462,06
"410773 Fernandes Pinheiro";5561;2050,58;21,99;301,13
"410775 Figueira";7625;1397,26;31,69;286,79
"410785 Flor da Serra do Sul";4583;2659,28;25,48;552,79
"410780 Floraí";4883;1738,32;24,69;331,43
"410790 Floresta";6926;2013,95;34,84;469,04
"410800 Florestópolis";10360;1592,05;27,78;595,42
"410810 Flórida";2709;2740,95;29,62;652,86
"410820 Formosa do Oeste";6345;1665,77;18,61;458,22
"410830 Foz do Iguaçu";257971;1742,24;28,85;565,30
"410845 Foz do Jordão";4466;2182,65;19,76;777,65
"410832 Francisco Alves";5942;2203,65;34,63;659,17
"410840 Francisco Beltrão";93308;1834,67;34,88;819,86
"410850 General Carneiro";13661;634,38;20,03;225,39
"410855 Godoy Moreira";2850;2359,01;23,59;887,63
"410860 Goioerê";28734;1424,69;23,79;724,29
"410865 Goioxim";6997;1318,48;17,66;561,59
"410870 Grandes Rios";5379;2039,37;31,94;760,51
"410880 Guaíra";33497;1387,04;29,13;429,90
"410890 Guairaçá";6635;1972,50;32,34;409,57
"410895 Guamiranga";8881;1516,56;28,65;564,86
"410900 Guapirama";3767;2514,28;26,86;640,40
"410910 Guaporema";2239;3566,03;23,42;742,25
"410920 Guaraci";5557;1636,00;25,07;371,90
"410930 Guaraniaçu";11969;1542,96;20,23;527,80
"410940 Guarapuava";183755;1040,73;28,95;206,56
"410950 Guaraqueçaba";7554;1381,84;16,27;563,32
"410960 Guaratuba";37974;1573,23;31,61;313,28
"410965 Honório Serpa";5030;2333,36;24,10;709,37
"410970 Ibaiti";31854;1403,54;31,41;401,18
"410975 Ibema";6387;1551,07;27,09;562,23
"410980 Ibiporã";55688;1262,87;28,03;269,88
"410990 Icaraíma";7671;1310,38;21,50;564,19
"411000 Iguaraçu";4475;2187,95;25,08;236,30
"411005 Iguatu";2251;2204,80;16,25;433,72
"411007 Imbaú";13449;608,07;28,32;185,69
"411010 Imbituva";33306;1345,26;31,93;265,25
"411020 Inácio Martins";11117;1320,04;25,94;337,12
"411030 Inajá";3122;1893,11;20,59;318,31
"411040 Indianópolis";4472;2685,06;24,78;730,23
"411050 Ipiranga";15327;1377,38;24,59;404,91
"411060 Iporã";13642;1704,77;31,93;423,90
"411065 Iracema do Oeste";2216;2499,43;18,87;676,81
"411070 Irati";61439;863,03;25,11;161,74
"411080 Iretama";10029;1571,25;31,99;388,85
"411090 Itaguajé";4426;1597,61;21,31;313,26
"411095 Itaipulândia";11588;3003,47;15,45;227,99
"411100 Itambaracá";6516;1575,28;27,58;371,84
"411110 Itambé";6110;1568,66;26,96;493,78
"411120 Itapejara d'Oeste";12220;2162,54;33,55;449,14
"411125 Itaperuçu";29493;808,22;19,99;174,66
"411130 Itaúna do Sul";2700;3158,63;28,33;1043,04
"411140 Ivaí";14049;897,47;16,61;200,56
"411150 Ivaiporã";31886;904,68;18,07;329,81
"411155 Ivaté";8294;1340,99;28,87;263,97
"411160 Ivatuba";3299;1843,63;23,09;266,27
"411170 Jaboti";5332;1734,63;29,31;457,88
"411180 Jacarezinho";39268;1147,51;15,01;221,84
"411190 Jaguapitã";13861;1939,13;34,93;216,23
"411200 Jaguariaíva";35192;1133,69;25,08;287,02
"411210 Jandaia do Sul";21281;1276,23;26,79;226,35
"411220 Janiópolis";4948;1704,25;19,95;671,31
"411230 Japira";4929;2026,56;26,63;526,40
"411240 Japurá";9573;1043,30;17,59;380,72
"411250 Jardim Alegre";11067;1168,10;18,22;398,37
"411260 Jardim Olinda";1309;4903,72;22,56;677,62
"411270 Jataizinho";12687;912,14;20,35;245,29
"411275 Jesuítas";8251;1713,55;26,44;382,70
"411280 Joaquim Távora";12108;1950,62;19,66;374,95
"411290 Jundiaí do Sul";3248;2266,81;27,18;504,69
"411295 Juranda";7244;1555,56;15,56;487,80
"411300 Jussara";7069;2335,24;31,47;340,37
"411310 Kaloré";3996;1730,73;19,09;621,87
"411320 Lapa";48651;1132,43;29,81;186,80
"411325 Laranjal";5719;1214,42;15,21;716,86
"411330 Laranjeiras do Sul";32167;713,74;18,09;449,80
"411340 Leópolis";3896;1614,50;17,94;481,54
"411342 Lidianópolis";3155;2499,11;24,83;826,53
"411345 Lindoeste";4488;2347,42;25,88;454,75
"411350 Loanda";23393;1333,13;34,10;238,93
"411360 Lobato";4850;2151,53;30,69;381,01
"411370 Londrina";580870;1443,93;25,91;743,96
"411373 Luiziana";7217;1740,87;21,77;579,45
"411375 Lunardelli";4695;2046,01;20,92;432,48
"411380 Lupionópolis";4969;1729,56;26,64;559,64
"411390 Mallet";13697;999,22;20,48;171,61
"411400 Mamborê";12900;1667,97;22,40;488,67
"411410 Mandaguaçu";23373;1138,82;27,69;270,30
"411420 Mandaguari";34628;1217,55;25,07;335,02
"411430 Mandirituba";27750;893,46;21,25;315,46
"411435 Manfrinópolis";2442;2527,52;18,43;751,59
"411440 Mangueirinha";16572;2313,85;24,24;872,13
"411450 Manoel Ribas";13517;1304,70;21,71;536,95
"411460 Marechal Cândido Rondon";54031;1604,07;30,00;266,97
"411470 Maria Helena";5593;2508,79;29,29;681,67
"411480 Marialva";36103;1021,94;27,55;273,99
"411490 Marilândia do Sul";8793;1211,56;27,13;378,24
"411500 Marilena";7093;1912,76;32,43;566,78
"411510 Mariluz";10327;1287,36;22,03;428,23
"411520 Maringá";436472;1452,34;22,11;755,95
"411530 Mariópolis";6655;2252,57;28,17;212,90
"411535 Maripá";5562;2146,04;19,83;596,22
"411540 Marmeleiro";14407;1695,78;28,63;564,17
"411545 Marquinho";4283;2142,47;22,08;681,94
"411550 Marumbi";4676;1911,28;23,50;364,59
"411560 Matelândia";18266;1386,58;19,47;312,57
"411570 Matinhos";35705;1400,64;30,36;337,29
"411573 Mato Rico";3142;2795,03;21,36;548,36
"411575 Mauá da Serra";10994;1272,13;23,91;330,96
"411580 Medianeira";46940;1423,27;31,56;363,84
"411585 Mercedes";5617;2136,25;21,95;606,06
"411590 Mirador";2180;4101,03;23,57;407,71
"411600 Miraselva";1786;3611,01;24,91;937,86
"411605 Missal";10706;2157,18;20,13;402,95
"411610 Moreira Sales";11966;1234,20;28,53;308,61
"411620 Morretes";16485;1002,14;21,85;399,39
"411630 Munhoz de Melo";4034;2122,39;23,03;656,24
"411640 Nossa Senhora das Graças";4009;1341,87;19,71;156,84
"411650 Nova Aliança do Ivaí";1560;3303,72;21,04;686,52
"411660 Nova América da Colina";3424;1280,69;16,59;553,85
"411670 Nova Aurora";10131;1971,80;17,80;225,32
"411680 Nova Cantu";4827;2323,57;22,53;670,40
"411690 Nova Esperança";28062;1157,74;26,10;254,06
"411695 Nova Esperança do Sudoeste";5014;1990,95;23,94;583,13
"411700 Nova Fátima";8120;1131,87;29,95;238,45
"411705 Nova Laranjeiras";11462;1387,72;24,05;404,50
"411710 Nova Londrina";13188;1511,63;29,83;490,21
"411720 Nova Olímpia";5846;1784,12;28,87;685,45
"411725 Nova Prata do Iguaçu";10540;2124,60;27,96;490,06
"411721 Nova Santa Bárbara";4304;1762,55;23,65;506,35
"411722 Nova Santa Rosa";8311;1395,85;19,43;371,31
"411727 Nova Tebas";5252;2814,44;25,00;666,31
"411729 Novo Itacolomi";2836;2097,86;19,75;480,99
"411730 Ortigueira";21783;2257,76;21,15;312,28
"411740 Ourizona";3423;1974,59;24,93;359,83
"411745 Ouro Verde do Oeste";6036;1980,36;21,12;264,69
"411750 Paiçandu";42251;970,76;34,89;204,68
"411760 Palmas";52503;1049,58;19,87;310,30
"411770 Palmeira";34109;1134,60;25,78;367,25
"411780 Palmital";12755;1191,30;15,62;509,35
"411790 Palotina";32389;1951,97;25,85;571,06
"411800 Paraíso do Norte";14211;1560,10;20,22;446,89
"411810 Paranacity";11685;1100,42;27,04;311,16
"411820 Paranaguá";157378;1046,17;15,44;311,83
"411830 Paranapoema";3277;2124,79;23,04;508,32
"411840 Paranavaí";89454;966,42;25,94;283,35
"411845 Pato Bragado";5755;2174,65;21,21;326,25
"411850 Pato Branco";84779;2052,35;32,16;1103,62
"411860 Paula Freitas";5942;1689,56;20,79;501,40
"411870 Paulo Frontin";7418;1359,88;23,88;247,70
"411880 Peabiru";14017;1178,76;24,02;331,16
"411885 Perobal";6194;1710,82;20,77;659,19
"411890 Pérola";11406;1383,10;27,35;528,60
"411900 Pérola d'Oeste";6232;1950,56;30,87;398,81
"411910 Piên";13015;1344,04;22,94;317,38
"411915 Pinhais";134788;887,07;21,51;256,83
"411925 Pinhal de São Bento";2742;2068,51;20,50;327,36
"411920 Pinhalão";6323;974,49;15,59;509,37
"411930 Pinhão";32722;903,21;16,93;272,67
"411940 Piraí do Sul";25779;1072,92;20,61;388,66
"411950 Piraquara";116852;546,85;20,71;141,15
"411960 Pitanga";29686;1311,37;23,84;197,11
"411965 Pitangueiras";3298;1163,49;17,14;433,66
"411970 Planaltina do Paraná";4281;2618,11;34,18;578,45
"411980 Planalto";13385;1841,86;28,52;408,49
"411990 Ponta Grossa";358838;651,28;20,68;174,45
"411995 Pontal do Paraná";28529;1333,24;29,84;204,96
"412000 Porecatu";12587;1298,98;28,12;334,94
"412010 Porto Amazonas";4899;1521,59;26,96;315,87
"412015 Porto Barreiro";3133;2525,31;17,93;653,86
"412020 Porto Rico";2554;3193,44;22,44;425,45
"412030 Porto Vitória";4057;1885,62;25,95;403,07
"412033 Prado Ferreira";3806;2060,65;20,28;619,64
"412035 Pranchita";5035;2269,75;25,36;576,29
"412040 Presidente Castelo Branco";5395;1305,88;31,02;365,71
"412050 Primeiro de Maio";11138;1118,84;19,70;397,89
"412060 Prudentópolis";52776;771,67;21,28;253,99
"412065 Quarto Centenário";4420;1813,03;17,05;301,09
"412070 Quatiguá";7504;1602,36;27,68;718,37
"412080 Quatro Barras";24253;1272,03;20,40;258,63
"412085 Quatro Pontes";4043;2473,72;15,88;424,40
"412090 Quedas do Iguaçu";34707;1128,19;33,84;278,62
"412100 Querência do Norte";12257;1286,52;25,36;454,34
"412110 Quinta do Sol";4444;2130,26;28,97;240,25
"412120 Quitandinha";19388;1087,86;27,08;352,90
"412125 Ramilândia";4500;1851,43;18,60;589,91
"412130 Rancho Alegre";3760;1943,00;24,80;474,36
"412135 Rancho Alegre D'Oeste";2602;2244,99;19,63;529,44
"412140 Realeza";16976;1464,84;28,13;476,90
"412150 Rebouças";14991;1198,98;19,74;457,43
"412160 Renascença";6772;1852,83;24,96;605,36
"412170 Reserva";26933;1152,17;28,22;358,45
"412175 Reserva do Iguaçu";8127;1075,42;19,94;262,12
"412180 Ribeirão Claro";10622;1220,01;21,95;207,98
"412190 Ribeirão do Pinhal";12869;916,74;20,49;372,20
"412200 Rio Azul";15433;924,27;20,61;274,19
"412210 Rio Bom";3162;2043,81;19,25;528,08
"412215 Rio Bonito do Iguaçu";13240;1037,97;18,46;454,96
"412217 Rio Branco do Ivaí";4121;2542,90;25,37;711,16
"412220 Rio Branco do Sul";32635;1020,44;21,42;299,79
"412230 Rio Negro";34645;1076,29;30,04;258,71
"412240 Rolândia";68165;1178,19;30,76;311,58
"412250 Roncador";9447;1712,83;20,83;609,65
"412260 Rondon";9664;1373,93;19,51;395,59
"412265 Rosário do Ivaí";4595;1782,61;23,94;669,20
"412270 Sabáudia";6954;1955,15;20,02;235,55
"412280 Salgado Filho";3389;1874,96;15,60;643,56
"412290 Salto do Itararé";4862;1518,38;19,98;610,09
"412300 Salto do Lontra";14957;1455,92;28,03;512,61
"412310 Santa Amélia";3208;1581,52;19,12;207,08
"412320 Santa Cecília do Pavão";3253;1890,42;20,06;446,08
"412330 Santa Cruz de Monte Castelo";7705;1525,64;17,01;306,62
"412340 Santa Fé";12330;915,24;23,51;326,15
"412350 Santa Helena";27036;2346,47;24,71;272,50
"412360 Santa Inês";1568;3267,44;22,23;440,01
"412370 Santa Isabel do Ivaí";8484;1404,38;29,80;451,23
"412380 Santa Izabel do Oeste";14924;1616,60;27,81;458,53
"412382 Santa Lúcia";3795;2522,87;26,64;655,01
"412385 Santa Maria do Oeste";9210;1571,15;22,80;598,07
"412390 Santa Mariana";11523;1220,08;30,68;238,20
"412395 Santa Mônica";4052;1953,86;19,82;447,16
"412402 Santa Tereza do Oeste";10055;1492,93;15,44;299,32
"412405 Santa Terezinha de Itaipu";23927;1397,76;27,16;323,33
"412400 Santana do Itararé";4916;1365,36;23,36;568,53
"412410 Santo Antônio da Platina";46503;841,78;24,67;156,80
"412420 Santo Antônio do Caiuá";2611;3174,50;25,10;700,72
"412430 Santo Antônio do Paraíso";2032;3295,95;26,63;900,83
"412440 Santo Antônio do Sudoeste";20354;1156,43;20,19;505,46
"412450 Santo Inácio";5422;1629,10;19,92;361,39
"412460 São Carlos do Ivaí";6961;2049,22;24,86;451,60
"412470 São Jerônimo da Serra";11088;1155,80;23,48;355,35
"412480 São João";10122;2137,07;24,98;581,46
"412490 São João do Caiuá";5819;1884,61;19,56;286,44
"412500 São João do Ivaí";9897;1601,42;30,22;613,94
"412510 São João do Triunfo";15359;1217,10;25,46;192,95
"412520 São Jorge d'Oeste";9005;2463,31;30,76;341,94
"412530 São Jorge do Ivaí";5535;1548,72;25,29;449,68
"412535 São Jorge do Patrocínio";5532;2807,93;27,42;866,78
"412540 São José da Boa Vista";6115;1491,50;20,38;606,63
"412545 São José das Palmeiras";3601;1766,52;24,50;388,30
"412550 São José dos Pinhais";334620;1306,15;27,05;213,55
"412555 São Manoel do Paraná";2165;2647,48;17,48;852,63
"412560 São Mateus do Sul";47137;794,01;21,17;235,83
"412570 São Miguel do Iguaçu";27696;1587,27;16,45;322,42
"412575 São Pedro do Iguaçu";5745;1535,81;25,51;165,97
"412580 São Pedro do Ivaí";11109;1367,49;24,30;387,37
"412590 São Pedro do Paraná";2265;3788,02;26,13;1175,38
"412600 São Sebastião da Amoreira";8865;1391,37;19,39;226,63
"412610 São Tomé";5778;1643,69;23,46;315,38
"412620 Sapopema";6708;1503,81;22,72;504,63
"412625 Sarandi";98888;689,80;32,28;134,81
"412627 Saudade do Iguaçu";5578;3505,94;21,46;343,58
"412630 Sengés";19441;951,22;22,58;224,30
"412635 Serranópolis do Iguaçu";4460;2221,72;19,95;218,32
"412640 Sertaneja";5149;2876,02;30,94;740,47
"412650 Sertanópolis";16456;1482,70;27,08;395,04
"412660 Siqueira Campos";21476;832,96;21,83;414,57
"412665 Sulina";2880;3186,83;21,43;585,96
"412667 Tamarana";15277;1142,43;15,35;335,91
"412670 Tamboara";5196;1740,85;24,95;520,33
"412680 Tapejara";16480;1134,32;19,41;365,91
"412690 Tapira";5452;2005,21;28,14;453,83
"412700 Teixeira Soares";12761;1115,33;18,97;300,45
"412710 Telêmaco Borba";80588;967,83;25,54;164,31
"412720 Terra Boa";17304;2338,71;35,61;834,09
"412730 Terra Rica";17054;1759,40;34,89;541,87
"412740 Terra Roxa";17562;1367,30;15,48;295,84
"412750 Tibagi";20688;1408,53;21,32;299,14
"412760 Tijucas do Sul";17295;1199,00;29,81;401,16
"412770 Toledo";144601;1347,41;29,48;233,39
"412780 Tomazina";7699;1233,58;22,35;343,61
"412785 Três Barras do Paraná";12036;1451,41;23,61;388,43
"412788 Tunas do Paraná";9269;1119,67;26,29;302,34
"412790 Tuneiras do Oeste";8502;1619,62;23,38;459,25
"412795 Tupãssi";8105;1776,70;25,94;266,51
"412796 Turvo";12977;1330,60;18,65;429,45
"412800 Ubiratã";20809;1570,25;19,14;623,32
"412810 Umuarama";113416;1849,27;29,41;927,39
"412820 União da Vitória";58298;929,45;29,81;219,46
"412830 Uniflor";2623;2036,32;22,96;397,89
"412840 Uraí";11233;1318,18;27,02;478,08
"412853 Ventania";12267;1233,74;27,00;400,57
"412855 Vera Cruz do Oeste";8389;1340,30;20,27;269,71
"412860 Verê";7094;1942,23;24,17;434,46
"412865 Virmond";4051;1575,81;16,89;597,29
"412870 Vitorino";6879;2106,86;26,22;299,23
"412850 Wenceslau Braz";19358;1040,97;24,13;290,48
"412880 Xambrê";5584;1121,32;24,49;462,64
"Total";11597484;1312,11;24,18;430,34
