Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2022
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7360;1279,93;23,68;335,01
"410020 Adrianópolis";5797;2184,58;17,69;655,24
"410030 Agudos do Sul";9567;1294,07;25,39;410,58
"410040 Almirante Tamandaré";121420;557,16;25,71;158,97
"410045 Altamira do Paraná";1429;5688,17;21,86;1162,78
"412862 Alto Paraíso";2630;3483,41;18,28;1037,96
"410060 Alto Paraná";14945;1117,14;16,69;291,98
"410070 Alto Piquiri";9722;1942,88;32,81;436,55
"410050 Altônia";22293;1036,72;25,84;292,36
"410080 Alvorada do Sul";11598;1133,17;19,63;388,78
"410090 Amaporã";6405;1644,73;28,68;519,59
"410100 Ampére";19466;1434,92;30,07;384,78
"410105 Anahy";2774;2531,78;20,08;972,83
"410110 Andirá";19823;1281,85;25,43;316,16
"410115 Ângulo";2931;2310,38;23,69;465,84
"410120 Antonina";18919;1259,79;24,31;365,04
"410130 Antônio Olinto";7421;1277,38;24,30;345,79
"410140 Apucarana";137438;1278,15;26,71;713,59
"410150 Arapongas";126545;838,37;23,68;203,70
"410160 Arapoti";28480;1277,13;26,93;289,69
"410165 Arapuã";2951;2206,14;19,18;607,50
"410170 Araruna";14029;1518,32;31,17;314,09
"410180 Araucária";148522;2264,05;20,11;285,44
"410185 Ariranha do Ivaí";2026;3768,86;24,49;714,05
"410190 Assaí";14792;1036,29;18,50;360,18
"410200 Assis Chateaubriand";33306;1537,35;30,83;195,36
"410210 Astorga";26304;1189,19;25,25;271,21
"410220 Atalaia";3871;1909,51;21,82;487,62
"410230 Balsa Nova";13238;1491,37;28,31;298,83
"410240 Bandeirantes";31061;897,28;23,28;262,73
"410250 Barbosa Ferraz";11287;1593,81;31,35;524,27
"410270 Barra do Jacaré";2781;2424,99;20,74;577,66
"410260 Barracão";10347;1190,65;21,89;358,81
"410275 Bela Vista da Caroba";3404;2035,06;20,09;622,07
"410280 Bela Vista do Paraíso";15400;1185,31;22,53;523,53
"410290 Bituruna";16411;1374,15;23,28;496,13
"410300 Boa Esperança";3991;1631,14;17,99;551,66
"410302 Boa Esperança do Iguaçu";2437;2196,48;18,06;384,33
"410304 Boa Ventura de São Roque";6343;1541,15;17,09;463,61
"410305 Boa Vista da Aparecida";7524;1400,52;26,36;517,28
"410310 Bocaiúva do Sul";13308;1183,50;34,04;265,13
"410315 Bom Jesus do Sul";3472;1903,31;17,18;542,80
"410320 Bom Sucesso";7103;1416,74;25,61;510,91
"410322 Bom Sucesso do Sul";3244;3441,47;27,10;349,80
"410330 Borrazópolis";6290;2316,70;33,34;595,37
"410335 Braganey";5338;1507,02;20,57;314,96
"410337 Brasilândia do Sul";2521;4354,19;19,50;636,67
"410340 Cafeara";2973;2084,02;20,80;532,83
"410345 Cafelândia";18783;1213,94;18,13;156,64
"410347 Cafezal do Sul";3975;2492,22;25,83;696,44
"410350 Califórnia";8641;1700,17;33,70;463,86
"410360 Cambará";25569;1170,55;30,43;197,08
"410370 Cambé";108126;985,39;29,29;236,67
"410380 Cambira";7967;1227,55;19,83;489,39
"410390 Campina da Lagoa";13888;995,47;18,51;283,99
"410395 Campina do Simão";3831;1831,41;15,99;578,93
"410400 Campina Grande do Sul";44072;907,66;24,82;223,91
"410405 Campo Bonito";3694;2392,14;22,49;787,19
"410410 Campo do Tenente";8118;1245,26;22,54;378,38
"410420 Campo Largo";135678;743,45;24,09;137,35
"410425 Campo Magro";30151;876,01;22,46;286,48
"410430 Campo Mourão";96102;1537,35;18,84;916,08
"410440 Cândido de Abreu";14606;1287,31;23,42;514,50
"410442 Candói";16126;1427,80;23,31;427,12
"410445 Cantagalo";13340;961,32;20,70;241,53
"410450 Capanema";19172;1581,93;24,73;325,20
"410460 Capitão Leônidas Marques";15887;1866,49;32,31;579,43
"410465 Carambeí";24225;1458,35;23,26;190,02
"410470 Carlópolis";14391;1059,35;24,94;280,19
"410480 Cascavel";336073;1338,87;32,70;205,44
"410490 Castro";72125;1191,58;14,52;239,58
"410500 Catanduvas";10144;1246,07;21,55;191,46
"410510 Centenário do Sul";10704;1072,86;24,91;386,27
"410520 Cerro Azul";17884;957,79;25,09;235,79
"410530 Céu Azul";11872;1495,38;23,69;253,61
"410540 Chopinzinho";19083;2198,85;29,60;889,30
"410550 Cianorte";84980;1677,71;25,64;606,81
"410560 Cidade Gaúcha";12939;1272,48;28,08;326,82
"410570 Clevelândia";16344;1538,21;29,13;320,14
"410580 Colombo";249277;768,42;25,76;126,36
"410590 Colorado";24271;2016,81;25,04;1026,27
"410600 Congonhinhas";8896;1077,18;23,39;270,36
"410610 Conselheiro Mairinck";3891;1364,24;25,22;282,99
"410620 Contenda";19082;956,17;23,59;238,65
"410630 Corbélia";17162;2067,73;23,78;366,70
"410640 Cornélio Procópio";47840;1276,17;25,56;301,29
"410645 Coronel Domingos Soares";7538;2209,05;29,63;623,49
"410650 Coronel Vivida";20430;2014,11;28,38;565,36
"410655 Corumbataí do Sul";3038;1980,98;20,34;960,07
"410680 Cruz Machado";18772;1329,86;32,45;403,30
"410657 Cruzeiro do Iguaçu";4229;2636,56;25,77;545,55
"410660 Cruzeiro do Oeste";20962;1443,42;24,19;618,37
"410670 Cruzeiro do Sul";4430;1851,84;25,30;337,39
"410685 Cruzmaltina";2892;2507,33;18,88;723,32
"410690 Curitiba";1963726;1291,87;21,17;606,12
"410700 Curiúva";15289;1054,79;26,05;258,19
"410715 Diamante D'Oeste";5279;1841,79;22,91;372,53
"410710 Diamante do Norte";4975;2056,26;26,12;513,77
