 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2017
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410405 CAMPO BONITO";-;6;-;1;-;1;-;5;7;3;-;-;-;-;-;-;-;7;30
"410410 CAMPO DO TENENTE";-;7;-;2;-;-;-;17;5;5;-;1;3;-;1;-;2;6;49
"410420 CAMPO LARGO";31;127;2;25;4;16;-;188;100;23;2;2;29;1;9;8;8;88;663
"410425 CAMPO MAGRO";2;31;-;3;2;3;-;34;19;7;-;1;4;-;2;2;1;31;142
"410430 CAMPO MOURAO";17;123;3;40;4;24;-;184;110;39;1;2;21;-;5;12;1;94;680
"410440 CANDIDO DE ABREU";7;31;-;3;1;2;-;46;16;5;1;-;4;-;-;-;10;14;140
"410442 CANDOI";4;24;-;5;-;4;-;31;10;5;-;-;1;-;1;1;1;12;99
"410445 CANTAGALO";1;19;-;2;-;4;-;31;9;4;-;-;-;-;2;-;1;15;88
"410450 CAPANEMA";5;34;1;7;-;5;-;62;15;11;-;-;1;-;1;-;5;14;161
"410460 CAPITAO LEONIDAS MARQUES";3;19;-;6;2;5;-;34;9;4;-;-;3;-;2;1;1;8;97
"410465 CARAMBEI";3;21;-;6;1;6;-;26;13;3;1;-;2;-;3;2;16;10;113
"410470 CARLOPOLIS";8;19;-;7;2;2;-;47;13;6;-;-;2;-;1;1;1;11;120
"410480 CASCAVEL";40;374;5;59;42;64;-;460;222;84;3;9;27;1;25;23;24;218;1680
"410490 CASTRO";13;82;1;18;-;8;-;105;48;18;1;-;21;-;8;6;66;46;441
"410500 CATANDUVAS";3;9;-;1;-;2;-;18;10;4;-;-;1;-;2;-;-;7;57
"410510 CENTENARIO DO SUL";2;15;1;12;1;6;-;39;8;12;1;2;3;-;-;-;1;15;118
"410520 CERRO AZUL";3;14;-;5;-;-;-;44;13;1;-;-;2;-;1;1;3;5;92
"410530 CEU AZUL";1;17;1;3;1;4;-;12;12;4;-;2;2;-;-;-;-;9;68
"410540 CHOPINZINHO";4;33;-;12;1;2;-;38;15;5;-;-;3;-;3;1;4;14;135
"410550 CIANORTE";7;84;4;27;9;31;-;133;52;22;2;-;15;-;5;4;1;53;449
"410560 CIDADE GAUCHA";5;16;-;6;1;9;-;22;9;3;-;-;1;-;-;1;-;13;86
"410570 CLEVELANDIA";6;24;2;13;2;3;-;31;28;6;1;-;1;1;3;1;12;9;143
"410580 COLOMBO";66;224;5;76;28;52;1;340;123;65;4;5;27;1;31;12;9;188;1257
"410590 COLORADO";7;27;-;14;1;9;-;43;26;9;-;1;5;2;5;1;3;13;166
"410600 CONGONHINHAS";3;12;-;5;2;1;-;17;11;6;1;1;2;-;4;1;7;4;77
"410610 CONSELHEIRO MAIRINCK";1;6;-;4;-;-;-;7;4;3;-;-;-;-;-;-;-;4;29
"410620 CONTENDA";4;23;-;7;1;2;-;35;25;7;1;1;5;1;-;1;5;16;134
"410630 CORBELIA";2;27;1;11;1;3;-;32;23;5;-;-;4;-;1;-;1;15;126
"410640 CORNELIO PROCOPIO";4;93;1;13;6;17;-;119;54;24;2;2;10;-;5;1;11;31;393
"410645 CORONEL DOMINGOS SOARES";-;3;-;1;-;2;-;14;13;-;-;-;1;-;-;-;-;7;41
"410650 CORONEL VIVIDA";5;32;-;11;1;4;-;44;17;3;-;-;6;-;2;1;3;19;148
"410655 CORUMBATAI DO SUL";-;5;-;2;-;2;-;9;4;4;-;-;-;-;-;-;-;2;28
"410657 CRUZEIRO DO IGUACU";1;1;-;1;-;-;-;8;4;-;-;-;-;-;-;1;-;2;18
"410660 CRUZEIRO DO OESTE";10;26;1;12;3;7;-;38;20;12;-;1;3;-;2;2;6;11;154
"410670 CRUZEIRO DO SUL";-;8;-;2;-;-;-;8;3;5;-;-;-;-;1;1;-;5;33
"410680 CRUZ MACHADO";5;20;-;4;3;6;-;42;14;4;-;-;-;-;-;-;2;9;109
