Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2017
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410345 Cafelândia";17175;943,67;28,52;114,03
"410347 Cafezal do Sul";4245;1361,28;20,25;496,82
"410350 Califórnia";8583;603,43;20,21;209,80
"410360 Cambará";25401;631,70;24,00;128,92
"410370 Cambé";105347;660,39;33,21;169,62
"410380 Cambira";7808;603,13;17,22;392,58
"410390 Campina da Lagoa";15042;694,66;24,88;199,97
"410395 Campina do Simão";4062;973,84;15,90;448,71
"410400 Campina Grande do Sul";42547;456,00;18,77;147,33
"410405 Campo Bonito";4162;1107,83;21,85;223,40
"410410 Campo do Tenente";7829;755,43;26,89;305,76
"410420 Campo Largo";127309;450,32;26,84;128,81
"410425 Campo Magro";28244;560,02;22,95;182,54
"410430 Campo Mourão";94153;907,19;20,24;542,47
"410440 Cândido de Abreu";16059;668,96;24,25;239,32
"410442 Candói";15978;696,84;21,51;172,05
"410445 Cantagalo";13505;437,31;17,32;313,87
"410450 Capanema";19364;751,95;24,39;202,25
"410460 Capitão Leônidas Marques";15850;919,31;23,45;298,18
"410465 Carambeí";22282;916,22;27,66;62,95
"410470 Carlópolis";14431;816,54;35,16;110,69
"410480 Cascavel";319608;720,55;31,28;195,73
"410490 Castro";71501;669,89;23,75;221,11
"410500 Catanduvas";10451;712,69;22,99;197,15
"410510 Centenário do Sul";11246;838,25;30,38;224,24
"410520 Cerro Azul";17885;558,61;24,01;208,87
"410530 Céu Azul";11764;964,43;21,91;212,22
"410540 Chopinzinho";19911;1222,33;24,41;619,29
"410550 Cianorte";79571;1063,32;28,99;408,74
"410560 Cidade Gaúcha";12326;775,63;28,87;180,01
"410570 Clevelândia";17250;882,15;26,80;213,32
"410580 Colombo";237402;337,13;24,62;84,05
"410590 Colorado";23941;899,97;26,19;428,17
"410600 Congonhinhas";8821;442,08;17,52;654,89
"410610 Conselheiro Mairinck";3866;1168,28;28,09;188,49
"410620 Contenda";17961;606,02;23,58;216,04
"410630 Corbélia";17193;887,34;26,15;227,89
"410640 Cornélio Procópio";48677;633,31;21,84;317,21
"410645 Coronel Domingos Soares";7547;1014,05;26,91;282,31
"410650 Coronel Vivida";21666;1078,80;31,35;568,65
"410655 Corumbataí do Sul";3617;1405,66;26,36;379,14
"410680 Cruz Machado";18907;907,96;35,00;218,34
"410657 Cruzeiro do Iguaçu";4369;1127,64;20,71;408,62
"410660 Cruzeiro do Oeste";21237;936,34;25,74;482,14
"410670 Cruzeiro do Sul";4619;1246,61;25,43;530,76
"410685 Cruzmaltina";3110;1336,01;22,82;448,71
"410690 Curitiba";1908359;917,97;22,02;420,94
"410700 Curiúva";15004;560,34;21,69;233,86
"410715 Diamante D'Oeste";5294;1133,10;27,66;284,92
"410710 Diamante do Norte";5389;1250,01;26,52;336,17
"410712 Diamante do Sul";3555;923,74;18,62;417,29
"410720 Dois Vizinhos";39856;828,86;29,28;228,94
"410725 Douradina";8439;1017,84;33,68;173,49
"410730 Doutor Camargo";6069;935,76;27,30;256,01
"412863 Doutor Ulysses";5781;736,48;21,39;472,60
"410740 Enéas Marques";6168;966,55;24,68;376,16
"410750 Engenheiro Beltrão";14314;676,74;24,00;257,68
"410753 Entre Rios do Oeste";4406;1384,31;26,14;177,27
"410752 Esperança Nova";1852;1662,68;21,02;759,26
"410754 Espigão Alto do Iguaçu";4447;920,21;18,53;371,82
"410755 Farol";3323;1037,57;17,75;303,76
"410760 Faxinal";17306;767,48;32,09;272,52
"410765 Fazenda Rio Grande";95225;449,35;24,06;131,53
"410770 Fênix";4898;1074,32;22,19;360,68
"410773 Fernandes Pinheiro";5904;1261,21;23,72;365,42
"410775 Figueira";8177;803,65;27,28;292,94
"410785 Flor da Serra do Sul";4782;995,28;18,17;337,95
"410780 Floraí";5103;1287,23;32,75;137,42
"410790 Floresta";6603;992,12;24,06;252,92
"410800 Florestópolis";11087;842,78;27,23;315,47
"410810 Flórida";2697;1593,70;30,60;322,05
"410820 Formosa do Oeste";7133;774,16;21,51;230,35
"410830 Foz do Iguaçu";264044;967,84;28,31;464,23
"410845 Foz do Jordão";5079;953,09;21,60;355,37
"410832 Francisco Alves";6350;1023,73;24,85;396,05
"410840 Francisco Beltrão";88465;1064,37;32,06;560,20
"410850 General Carneiro";14038;692,12;24,64;215,25
"410855 Godoy Moreira";3178;1393,76;23,74;845,91
"410860 Goioerê";29664;644,93;23,47;283,11
"410865 Goioxim";7448;580,52;18,92;244,29
"410870 Grandes Rios";6167;923,05;30,01;310,66
"410880 Guaíra";32974;934,02;26,20;320,03
"410890 Guairaçá";6591;1085,77;31,74;283,39
"410895 Guamiranga";8619;704,32;27,17;350,19
"410900 Guapirama";3934;1300,82;29,43;226,14
"410910 Guaporema";2292;1576,28;20,05;418,84
"410920 Guaraci";5492;934,80;23,65;335,44
"410930 Guaraniaçu";13641;839,09;21,44;261,97
"410940 Guarapuava";180364;559,59;24,46;142,01
"410950 Guaraqueçaba";7923;692,81;17,96;393,35
"410960 Guaratuba";35986;1036,54;30,25;203,15
"410965 Honório Serpa";5643;1018,51;22,41;380,94
"410970 Ibaiti";31095;702,08;30,97;239,22
"410975 Ibema";6396;811,41;26,10;226,98
"410980 Ibiporã";53356;792,64;28,74;207,33
"410990 Icaraíma";8482;978,33;21,91;471,25
"411000 Iguaraçu";4343;1272,79;24,69;372,86
"411005 Iguatu";2304;1317,58;22,69;451,46
"411007 Imbaú";12697;497,31;23,90;113,39
"411010 Imbituva";31719;728,46;34,92;145,12
"411020 Inácio Martins";11331;743,18;24,70;207,47
"411030 Inajá";3137;1486,77;28,77;706,29
"411040 Indianópolis";4504;1468,61;21,25;377,37
"411050 Ipiranga";15139;795,81;25,09;190,75
"411060 Iporã";14704;670,73;17,11;261,48
"411065 Iracema do Oeste";2462;1258,83;19,67;297,21
"411070 Irati";60425;472,04;25,47;119,39
"411080 Iretama";10608;876,84;28,78;271,13
"411090 Itaguajé";4620;1020,95;23,06;329,24
"411095 Itaipulândia";10587;2060,00;25,63;206,07
"411100 Itambaracá";6819;565,85;15,14;317,15
"411110 Itambé";6210;932,94;30,21;238,43
"411120 Itapejara d'Oeste";11685;1087,00;28,34;212,67
"411125 Itaperuçu";27500;379,71;21,28;165,24
"411130 Itaúna do Sul";3229;1538,31;26,19;528,24
"411140 Ivaí";13797;507,27;15,85;162,85
"411150 Ivaiporã";32720;493,15;24,79;217,44
"411155 Ivaté";8120;761,69;17,04;299,87
"411160 Ivatuba";3240;1411,27;25,51;456,06
"411170 Jaboti";5255;1073,84;32,13;310,92
"411180 Jacarezinho";40263;569,85;22,72;169,63
"411190 Jaguapitã";13398;994,76;32,99;220,12
"411200 Jaguariaíva";34822;660,25;25,51;184,27
"411210 Jandaia do Sul";21341;629,97;23,79;246,52
"411220 Janiópolis";5897;889,82;22,39;400,51
"411230 Japira";5084;963,64;19,56;362,59
"411240 Japurá";9307;731,03;21,14;261,13
"411250 Jardim Alegre";12019;884,94;34,69;326,11
"411260 Jardim Olinda";1396;2068,53;21,09;372,44
"411270 Jataizinho";12615;313,70;15,51;572,30
"411275 Jesuítas";8861;808,39;22,78;283,44
"411280 Joaquim Távora";11731;789,89;26,29;122,31
"411290 Jundiaí do Sul";3430;1116,17;25,79;269,57
"411295 Juranda";7650;871,37;18,22;379,28
"411300 Jussara";7026;1101,71;26,80;254,41
"411310 Kaloré";4368;1000,46;17,82;546,97
"411320 Lapa";48067;712,47;30,03;161,49
"411325 Laranjal";6205;607,91;15,46;472,86
"411330 Laranjeiras do Sul";32379;505,32;19,64;248,80
"411340 Leópolis";4131;1205,93;23,42;655,40
"411342 Lidianópolis";3662;1152,80;31,43;299,76
"411345 Lindoeste";5071;1050,08;26,32;429,58
"411350 Loanda";22903;687,02;29,47;198,88
"411360 Lobato";4751;1055,98;23,99;281,47
"411370 Londrina";558439;1045,63;25,49;602,54
"411373 Luiziana";7455;887,70;20,58;251,21
"411375 Lunardelli";5063;895,67;21,64;339,29
"411380 Lupionópolis";4911;1213,38;26,88;529,37
"411390 Mallet";13738;679,22;20,54;158,05
"411400 Mamborê";13798;901,83;22,88;267,78
"411410 Mandaguaçu";22164;609,89;23,60;176,88
"411420 Mandaguari";34559;718,94;24,71;259,39
"411430 Mandirituba";25662;659,72;26,34;218,85
"411435 Manfrinópolis";2861;1233,54;18,33;447,22
"411440 Mangueirinha";17269;1208,98;25,30;241,39
"411450 Manoel Ribas";13708;641,11;15,07;245,66
"411460 Marechal Cândido Rondon";51795;816,46;32,32;145,26
"411470 Maria Helena";5932;930,61;18,84;339,87
"411480 Marialva";34955;668,73;29,67;140,06
"411490 Marilândia do Sul";9068;857,14;23,53;363,92
"411500 Marilena";7166;879,44;25,83;462,14
"411510 Mariluz";10555;828,11;27,71;294,48
"411520 Maringá";406693;1080,21;23,85;566,92
"411530 Mariópolis";6638;1030,57;26,50;153,96
"411535 Maripá";5776;1245,97;18,20;204,06
"411540 Marmeleiro";14539;1073,02;27,52;506,13
"411545 Marquinho";4725;1056,67;21,13;504,27
"411550 Marumbi";4765;1013,18;23,86;512,28
"411560 Matelândia";17640;779,18;20,05;216,16
"411570 Matinhos";33450;791,19;23,56;166,69
"411573 Mato Rico";3576;1118,01;16,64;490,27
"411575 Mauá da Serra";10039;808,78;28,54;205,95
"411580 Medianeira";45586;740,30;27,46;183,84
"411585 Mercedes";5476;1305,26;31,49;311,42
"411590 Mirador";2314;1924,77;24,19;546,74
"411600 Miraselva";1875;1799,96;21,15;627,74
"411605 Missal";10879;1088,53;18,14;206,27
"411610 Moreira Sales";12621;646,82;28,18;154,57
"411620 Morretes";16540;569,33;19,05;145,87
"411630 Munhoz de Melo";3958;1276,39;24,50;264,49
"411640 Nossa Senhora das Graças";4075;1001,60;25,55;307,93
"411650 Nova Aliança do Ivaí";1536;1921,89;19,51;1033,55
"411660 Nova América da Colina";3545;1136,65;20,96;638,66
"411670 Nova Aurora";11300;915,35;20,25;190,01
"411680 Nova Cantu";6295;797,87;23,78;138,80
"411690 Nova Esperança";28084;613,86;28,23;188,64
"411695 Nova Esperança do Sudoeste";5194;1102,69;24,38;425,79
"411700 Nova Fátima";8356;453,72;18,53;155,01
"411705 Nova Laranjeiras";11927;693,94;18,28;322,17
"411710 Nova Londrina";13486;806,59;29,94;255,02
"411720 Nova Olímpia";5829;1096,20;34,76;271,43
"411725 Nova Prata do Iguaçu";10745;880,65;20,33;321,53
"411721 Nova Santa Bárbara";4217;895,85;25,87;276,24
"411722 Nova Santa Rosa";8186;869,52;19,74;198,06
"411727 Nova Tebas";6498;1274,55;24,02;571,76
"411729 Novo Itacolomi";2908;1214,85;20,00;481,06
"411730 Ortigueira";23200;804,74;27,22;187,14
"411740 Ourizona";3494;1197,30;23,90;420,86
"411745 Ouro Verde do Oeste";6023;991,43;24,03;129,63
"411750 Paiçandu";40156;503,77;32,54;106,93
"411760 Palmas";48990;580,08;26,32;210,88
"411770 Palmeira";34023;685,79;24,67;156,73
"411780 Palmital";14189;563,64;16,41;269,52
"411790 Palotina";31366;1079,48;27,21;286,52
"411800 Paraíso do Norte";13345;646,48;24,75;256,63
"411810 Paranacity";11265;913,36;31,61;181,97
"411820 Paranaguá";152975;521,03;15,37;110,04
"411830 Paranapoema";3117;1270,55;25,06;276,26
"411840 Paranavaí";87850;604,30;29,01;175,93
"411845 Pato Bragado";5432;1379,62;23,47;248,00
"411850 Pato Branco";80710;1582,77;32,00;829,89
"411860 Paula Freitas";5842;792,46;17,33;305,04
"411870 Paulo Frontin";7360;756,31;23,64;199,60
"411880 Peabiru";14198;561,44;22,78;207,48
"411885 Perobal";6105;842,63;19,70;337,05
"411890 Pérola";11101;1110,12;28,32;274,61
"411900 Pérola d'Oeste";6674;846,48;23,24;342,95
"411910 Piên";12455;942,19;26,24;307,87
"411915 Pinhais";129445;582,80;22,03;154,75
"411925 Pinhal de São Bento";2757;1303,05;15,78;399,71
"411920 Pinhalão";6440;765,12;23,67;232,67
"411930 Pinhão";32322;531,91;22,24;148,20
"411940 Piraí do Sul";25277;716,10;31,06;153,64
"411950 Piraquara";107751;344,16;17,74;99,69
"411960 Pitanga";32015;567,89;20,47;198,82
"411965 Pitangueiras";3140;972,16;15,68;279,99
"411970 Planaltina do Paraná";4303;1339,00;34,95;280,18
"411980 Planalto";13889;779,85;23,10;217,90
"411990 Ponta Grossa";344332;543,12;22,88;138,85
"411995 Pontal do Paraná";25393;727,08;22,77;147,10
"412000 Porecatu";13754;635,31;22,93;206,03
"412010 Porto Amazonas";4835;891,11;28,46;251,96
"412015 Porto Barreiro";3491;1240,55;21,17;446,96
"412020 Porto Rico";2611;2042,95;28,26;330,31
"412030 Porto Vitória";4148;684,94;22,56;304,12
"412033 Prado Ferreira";3718;1328,72;25,24;463,26
"412035 Pranchita";5477;881,01;16,90;367,31
"412040 Presidente Castelo Branco";5227;1017,23;31,85;183,17
"412050 Primeiro de Maio";11286;764,86;24,34;212,12
"412060 Prudentópolis";52125;446,85;22,47;174,27
"412065 Quarto Centenário";4764;1101,37;19,29;394,57
"412070 Quatiguá";7472;898,08;26,72;171,34
"412080 Quatro Barras";22651;757,00;23,67;172,33
"412085 Quatro Pontes";4031;1097,09;16,87;201,56
"412090 Quedas do Iguaçu";33543;595,16;29,03;182,27
"412100 Querência do Norte";12320;852,34;33,77;201,06
"412110 Quinta do Sol";4897;1040,45;15,94;673,19
"412120 Quitandinha";18733;648,74;29,53;192,00
"412125 Ramilândia";4435;932,97;19,17;358,13
"412130 Rancho Alegre";3963;1020,81;25,95;239,33
"412135 Rancho Alegre D'Oeste";2800;1213,67;16,84;326,45
"412140 Realeza";17111;916,76;32,72;325,38
"412150 Rebouças";14981;579,83;20,72;189,76
"412160 Renascença";6979;864,15;21,26;369,22
"412170 Reserva";26763;581,04;24,89;190,84
"412175 Reserva do Iguaçu";7927;583,65;20,70;193,43
"412180 Ribeirão Claro";10941;712,05;22,21;133,70
"412190 Ribeirão do Pinhal";13557;462,99;21,87;104,22
"412200 Rio Azul";15125;595,69;19,89;204,22
"412210 Rio Bom";3337;1016,51;20,63;435,59
"412215 Rio Bonito do Iguaçu";13552;677,89;25,01;258,01
"412217 Rio Branco do Ivaí";4119;1370,90;26,95;431,28
"412220 Rio Branco do Sul";32504;546,19;17,53;170,66
"412230 Rio Negro";33857;648,87;30,06;172,08
"412240 Rolândia";64726;769,86;26,80;189,52
"412250 Roncador";10779;878,79;22,64;396,91
"412260 Rondon";9581;907,21;23,19;299,85
"412265 Rosário do Ivaí";5231;796,24;30,51;243,98
"412270 Sabáudia";6702;932,53;22,09;411,54
"412280 Salgado Filho";4003;980,55;16,22;435,91
"412290 Salto do Itararé";5158;744,06;24,91;333,72
"412300 Salto do Lontra";14713;759,21;23,35;287,45
"412310 Santa Amélia";3603;892,79;25,78;340,41
"412320 Santa Cecília do Pavão";3544;1160,83;24,72;319,67
"412330 Santa Cruz de Monte Castelo";8113;1007,34;31,22;341,81
"412340 Santa Fé";11691;636,67;26,33;133,07
"412350 Santa Helena";25911;986,83;19,48;140,16
"412360 Santa Inês";1727;1706,56;16,73;605,98
"412370 Santa Isabel do Ivaí";8858;813,13;20,39;249,29
"412380 Santa Izabel do Oeste";14411;845,01;23,38;364,39
"412382 Santa Lúcia";3955;1220,72;24,03;259,72
"412385 Santa Maria do Oeste";10716;661,44;22,72;331,41
"412390 Santa Mariana";12307;849,83;33,18;155,45
"412395 Santa Mônica";3915;1209,66;18,23;409,48
"412402 Santa Tereza do Oeste";10471;847,10;26,55;144,06
"412405 Santa Terezinha de Itaipu";22992;850,76;26,01;254,89
"412400 Santana do Itararé";5222;948,53;23,36;369,70
"412410 Santo Antônio da Platina";45819;573,47;29,86;135,34
"412420 Santo Antônio do Caiuá";2741;815,67;15,65;338,80
"412430 Santo Antônio do Paraíso";2281;1708,36;26,72;401,36
"412440 Santo Antônio do Sudoeste";20158;670,08;21,14;224,96
"412450 Santo Inácio";5506;979,27;21,32;247,58
"412460 São Carlos do Ivaí";6839;1166,46;28,33;354,66
"412470 São Jerônimo da Serra";11519;567,10;30,28;395,70
"412480 São João";10644;973,39;23,69;251,26
"412490 São João do Caiuá";6025;887,01;29,53;270,34
"412500 São João do Ivaí";11005;880,36;26,91;533,58
"412510 São João do Triunfo";14927;577,59;23,37;175,39
"412520 São Jorge d'Oeste";9291;1075,46;19,72;241,56
"412530 São Jorge do Ivaí";5676;1105,38;28,42;215,49
"412535 São Jorge do Patrocínio";5946;1624,58;25,72;480,43
"412540 São José da Boa Vista";6485;1038,33;26,24;305,29
"412545 São José das Palmeiras";3816;1035,29;23,41;154,69
"412550 São José dos Pinhais";307530;799,87;23,39;235,70
"412555 São Manoel do Paraná";2189;1845,18;17,66;740,52
"412560 São Mateus do Sul";45398;584,80;29,82;113,84
"412570 São Miguel do Iguaçu";27461;985,27;19,87;267,80
"412575 São Pedro do Iguaçu";6286;932,13;30,54;163,25
"412580 São Pedro do Ivaí";10928;723,98;24,06;217,43
"412590 São Pedro do Paraná";2443;2121,75;27,04;549,39
"412600 São Sebastião da Amoreira";8985;770,14;27,68;254,83
"412610 São Tomé";5715;977,63;20,75;252,88
"412620 Sapopema";6905;832,97;22,27;416,26
"412625 Sarandi";94181;375,52;30,04;92,76
"412627 Saudade do Iguaçu";5448;1677,15;18,64;201,85
"412630 Sengés";19443;537,88;20,52;125,84
"412635 Serranópolis do Iguaçu";4637;1300,49;22,32;185,53
"412640 Sertaneja";5633;1560,31;27,95;483,80
"412650 Sertanópolis";16485;906,82;32,16;291,17
"412660 Siqueira Campos";20508;625,79;27,22;115,82
"412665 Sulina";3222;1526,09;18,74;363,29
"412667 Tamarana";14143;745,03;27,76;248,92
"412670 Tamboara";5064;978,87;28,62;277,37
"412680 Tapejara";15962;828,87;28,56;244,85
"412690 Tapira";5798;1093,16;22,03;461,94
"412700 Teixeira Soares";11834;639,03;18,21;180,12
"412710 Telêmaco Borba";77276;594,37;22,09;132,80
"412720 Terra Boa";16991;1151,93;29,73;468,58
"412730 Terra Rica";16578;992,56;36,68;278,24
"412740 Terra Roxa";17627;783,00;22,79;140,06
"412750 Tibagi";20562;736,81;17,25;161,78
"412760 Tijucas do Sul";16348;670,28;31,82;243,90
"412770 Toledo";135538;869,43;27,85;214,84
"412780 Tomazina";8470;527,67;17,46;204,88
"412785 Três Barras do Paraná";12256;934,46;27,60;275,58
"412788 Tunas do Paraná";7971;592,43;23,04;296,94
"412790 Tuneiras do Oeste";8833;781,03;24,37;394,56
"412795 Tupãssi";8277;889,49;20,91;97,77
"412796 Turvo";13640;645,93;21,02;280,27
"412800 Ubiratã";21762;833,37;19,76;384,50
"412810 Umuarama";109955;1103,43;24,89;625,00
"412820 União da Vitória";57027;458,66;22,99;130,94
"412830 Uniflor";2614;1292,99;23,24;202,23
"412840 Uraí";11662;537,09;25,03;126,93
"412853 Ventania";11407;812,27;31,91;224,33
"412855 Vera Cruz do Oeste";8918;575,60;18,35;318,99
"412860 Verê";7692;1088,52;28,51;354,08
"412865 Virmond";4095;952,63;22,65;445,75
"412870 Vitorino";6878;1081,61;22,81;202,81
"412850 Wenceslau Braz";19856;607,03;25,25;179,13
"412880 Xambrê";5957;955,37;29,66;243,87
"Total";11320892;802,40;24,28;302,30
