Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2017
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7768;627,01;27,31;206,71
"410020 Adrianópolis";6254;1136,56;32,29;380,13
"410030 Agudos do Sul";9161;699,62;28,17;253,82
"410040 Almirante Tamandaré";115364;275,04;27,82;71,03
"410045 Altamira do Paraná";2948;1635,70;21,02;944,96
"412862 Alto Paraíso";2998;1923,43;22,05;328,51
"410060 Alto Paraná";14693;614,97;30,34;142,23
"410070 Alto Piquiri";10222;899,66;33,11;212,17
"410050 Altônia";21988;780,58;26,32;285,27
"410080 Alvorada do Sul";11237;754,41;25,79;169,29
"410090 Amaporã";6084;1072,21;33,05;521,22
"410100 Ampére";18886;606,12;24,85;141,94
"410105 Anahy";2901;1204,50;20,08;536,63
"410110 Andirá";20769;664,45;25,15;154,77
"410115 Ângulo";2974;1515,53;23,61;591,58
"410120 Antonina";19420;797,98;29,33;197,89
"410130 Antônio Olinto";7587;827,16;29,92;221,66
"410140 Apucarana";132691;794,81;19,96;545,51
"410150 Arapongas";118477;520,24;22,87;168,08
"410160 Arapoti";27906;691,80;25,68;155,02
"410165 Arapuã";3343;1489,09;25,38;626,15
"410170 Araruna";14098;898,56;31,48;161,68
"410180 Araucária";137452;1310,59;20,64;241,96
"410185 Ariranha do Ivaí";2301;1586,27;26,19;670,06
"410190 Assaí";15999;643,01;25,88;213,91
"410200 Assis Chateaubriand";34064;799,47;27,14;133,62
"410210 Astorga";26196;773,54;29,26;182,95
"410220 Atalaia";3999;1091,08;20,39;344,16
"410230 Balsa Nova";12602;920,72;23,91;189,55
"410240 Bandeirantes";32486;492,53;27,96;114,13
"410250 Barbosa Ferraz";12300;857,86;24,71;338,39
"410270 Barra do Jacaré";2828;1331,62;20,21;311,37
"410260 Barracão";10314;922,95;28,92;405,47
"410275 Bela Vista da Caroba";3774;1066,39;21,79;351,03
"410280 Bela Vista do Paraíso";15656;758,38;21,32;242,95
"410290 Bituruna";16627;746,15;30,08;293,34
"410300 Boa Esperança";4392;1043,23;18,19;335,14
"410302 Boa Esperança do Iguaçu";2671;1238,39;18,38;443,51
"410304 Boa Ventura de São Roque";6665;749,92;17,55;432,58
"410305 Boa Vista da Aparecida";7911;1043,33;22,63;403,27
"410310 Bocaiúva do Sul";12477;558,75;26,99;191,97
"410315 Bom Jesus do Sul";3733;1072,96;17,70;549,13
"410320 Bom Sucesso";7019;960,72;21,47;462,17
"410322 Bom Sucesso do Sul";3358;1524,94;20,77;430,14
"410330 Borrazópolis";7280;921,98;27,30;322,09
"410335 Braganey";5687;875,84;20,70;329,96
"410337 Brasilândia do Sul";2943;1822,01;30,11;583,50
"410340 Cafeara";2911;1227,17;24,94;231,95
