 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2014
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";3;2;-;-;-;-;-;9;4;6;-;-;1;-;-;-;15;84;124
"410010 ABATIA";1;6;-;5;-;1;-;24;5;6;-;-;1;-;-;-;2;6;57
"410020 ADRIANOPOLIS";1;9;-;4;-;1;-;19;3;3;-;-;2;1;3;-;-;6;52
"410030 AGUDOS DO SUL";2;10;-;2;-;-;-;17;4;2;-;-;2;-;3;-;2;7;51
"410040 ALMIRANTE TAMANDARE";17;121;5;42;13;19;-;176;60;33;2;-;13;1;13;8;20;130;673
"410045 ALTAMIRA DO PARANA";1;2;-;-;-;2;-;12;2;1;-;-;1;-;1;1;-;3;26
"410050 ALTONIA";13;18;-;12;-;-;-;56;18;6;1;-;3;-;3;1;17;16;164
"410060 ALTO PARANA";7;22;1;8;1;3;-;26;9;6;-;1;1;-;2;4;8;15;114
"410070 ALTO PIQUIRI";3;9;1;4;-;2;-;38;10;9;-;-;-;-;2;1;8;7;94
"410080 ALVORADA DO SUL";2;8;-;2;1;3;-;24;8;6;1;-;1;-;-;-;5;11;72
"410090 AMAPORA";2;6;1;1;-;1;-;5;2;4;1;-;2;-;2;1;6;4;38
"410100 AMPERE";2;22;-;6;1;3;-;33;14;2;-;-;3;-;1;1;5;11;104
"410105 ANAHY";-;8;-;2;-;-;-;3;3;-;-;1;1;-;-;-;1;2;21
"410110 ANDIRA";8;22;2;5;5;5;-;55;15;10;1;2;2;1;1;1;9;15;159
"410115 ANGULO";-;2;-;-;-;-;-;6;2;-;-;-;-;-;-;-;-;5;15
"410120 ANTONINA";9;21;-;13;-;3;-;42;16;8;-;-;5;-;2;-;18;9;146
"410130 ANTONIO OLINTO";-;14;-;4;3;-;-;20;6;4;-;-;1;-;-;-;1;5;58
"410140 APUCARANA";14;164;4;59;6;29;-;292;75;57;2;8;26;2;14;8;4;90;854
"410150 ARAPONGAS";21;122;5;40;10;21;-;187;82;40;2;1;30;1;5;6;58;80;711
"410160 ARAPOTI";8;36;1;12;-;2;-;62;19;12;-;-;10;-;1;-;7;34;204
"410165 ARAPUA";-;5;-;1;-;3;-;9;5;3;-;-;-;-;1;-;2;1;30
"410170 ARARUNA";2;14;-;5;-;-;-;35;14;8;1;-;5;-;2;-;2;9;97
"410180 ARAUCARIA";30;131;2;51;4;13;-;192;55;35;3;2;12;1;17;12;3;111;674
"410185 ARIRANHA DO IVAI";-;4;-;1;-;-;-;2;2;-;-;-;-;-;-;-;4;2;15
"410190 ASSAI";3;13;-;11;1;2;-;31;12;7;-;-;5;-;4;3;5;13;110
"410200 ASSIS CHATEAUBRIAND";9;45;2;19;4;7;-;84;18;12;2;3;3;-;2;-;8;17;235
"410210 ASTORGA";8;30;-;14;2;8;-;58;17;13;-;-;4;-;1;2;-;15;172
"410220 ATALAIA";2;3;-;4;-;-;-;11;7;3;-;-;3;-;-;-;-;3;36
"410230 BALSA NOVA";3;12;-;3;-;1;-;26;8;6;-;-;-;-;-;-;2;11;72
"410240 BANDEIRANTES";8;44;-;11;3;5;-;130;27;18;-;-;5;-;1;1;12;18;283
"410250 BARBOSA FERRAZ";4;24;-;7;1;8;-;35;16;7;-;-;2;-;1;-;2;19;126
"410260 BARRACAO";2;9;-;4;-;3;-;15;4;2;-;-;2;-;1;-;1;7;50
"410270 BARRA DO JACARE";-;-;-;1;-;1;-;9;2;2;-;1;-;-;-;-;1;2;19
"410275 BELA VISTA DA CAROBA";1;4;-;4;-;-;-;8;2;-;-;-;-;-;-;-;1;5;25
"410280 BELA VISTA DO PARAISO";2;20;1;17;1;3;-;34;16;4;-;-;2;-;-;-;5;19;124
"410290 BITURUNA";3;19;-;3;2;3;-;33;16;3;-;-;-;1;3;1;-;12;99
"410300 BOA ESPERANCA";-;2;1;1;-;1;-;6;5;3;-;-;-;-;1;-;-;6;26
"410302 BOA ESPERANCA DO IGUACU";1;5;-;-;-;-;-;3;-;1;-;-;-;-;-;-;3;2;15
"410304 BOA VENTURA DE SAO ROQUE";3;2;-;1;-;-;-;9;3;1;-;-;1;-;-;1;4;2;27
"410305 BOA VISTA DA APARECIDA";2;16;-;5;-;1;-;14;12;3;-;-;-;-;1;-;1;4;59
"410310 BOCAIUVA DO SUL";3;11;-;4;-;3;-;20;13;4;-;-;1;-;2;-;1;10;72
"410315 BOM JESUS DO SUL";-;2;-;-;-;-;-;9;6;2;-;-;-;-;1;1;-;4;25
"410320 BOM SUCESSO";1;7;-;5;2;1;-;11;5;7;-;-;1;1;1;-;4;6;52
"410322 BOM SUCESSO DO SUL";1;6;-;2;-;-;-;11;4;2;-;-;2;-;-;-;-;-;28
"410330 BORRAZOPOLIS";-;10;2;3;2;3;-;27;7;5;-;1;1;-;1;-;4;5;71
"410335 BRAGANEY";3;4;2;2;-;1;-;9;1;4;-;1;1;-;-;-;1;4;33
"410337 BRASILANDIA DO SUL";2;8;-;2;-;1;-;16;6;2;1;-;1;-;1;-;-;3;43
"410340 CAFEARA";-;3;-;-;-;1;-;9;1;2;-;-;1;-;-;-;-;4;21
"410345 CAFELANDIA";6;7;1;3;-;-;-;13;13;4;-;1;1;-;-;1;1;10;61
"410347 CAFEZAL DO SUL";2;6;-;-;1;2;-;14;4;2;-;-;3;-;-;-;8;2;44
"410350 CALIFORNIA";-;10;-;7;-;2;-;17;11;4;-;-;1;-;-;-;-;6;58
"410360 CAMBARA";4;36;-;22;4;5;-;62;17;14;-;-;6;-;2;1;8;10;191
"410370 CAMBE";35;133;5;43;7;21;-;150;103;51;2;3;17;-;11;3;18;64;666
"410380 CAMBIRA";1;4;-;5;1;1;-;11;6;-;-;-;1;-;-;-;-;6;36
