 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2021
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410200 ASSIS CHATEAUBRIAND";130;39;-;13;1;14;-;97;21;18;1;-;12;1;4;-;18;21;390
"410210 ASTORGA";91;38;-;12;1;5;-;65;23;17;1;-;12;-;2;3;-;17;287
"410220 ATALAIA";20;4;-;2;-;2;-;10;1;-;-;-;3;-;2;-;1;4;49
"410230 BALSA NOVA";36;22;-;4;1;3;-;23;13;7;-;-;1;-;-;1;11;14;136
"410240 BANDEIRANTES";129;44;-;25;8;7;-;91;25;8;1;2;12;2;3;1;5;22;385
"410250 BARBOSA FERRAZ";42;15;-;15;2;5;-;29;7;4;-;-;2;-;1;-;3;7;132
"410260 BARRACAO";33;16;-;5;1;2;-;29;10;5;1;-;-;-;1;1;2;13;119
"410270 BARRA DO JACARE";6;2;-;-;-;1;-;5;1;4;-;-;1;-;-;-;1;5;26
"410275 BELA VISTA DA CAROBA";6;3;1;1;-;-;-;15;1;2;-;-;1;-;1;-;-;4;35
"410280 BELA VISTA DO PARAISO";80;33;2;8;-;9;-;52;15;10;1;-;9;1;-;-;5;13;238
"410290 BITURUNA";30;29;1;10;3;4;-;25;15;8;-;1;1;-;4;1;4;16;152
"410300 BOA ESPERANCA";17;6;-;6;1;2;-;9;5;3;-;-;1;-;-;-;-;4;54
"410302 BOA ESPERANCA DO IGUACU";2;3;-;1;-;1;-;9;1;-;-;-;1;-;-;1;1;4;24
"410304 BOA VENTURA DE SAO ROQUE";9;10;-;4;-;-;-;6;2;3;1;-;1;-;-;-;-;3;39
"410305 BOA VISTA DA APARECIDA";28;22;-;3;1;-;-;27;7;1;-;-;2;-;-;-;1;12;104
"410310 BOCAIUVA DO SUL";40;13;1;4;3;8;-;22;17;2;-;1;1;-;2;1;7;9;131
"410315 BOM JESUS DO SUL";10;4;-;3;-;1;-;14;5;3;-;-;1;-;-;-;1;1;43
"410320 BOM SUCESSO";18;10;-;6;1;1;-;13;5;7;-;-;2;-;-;-;-;4;67
"410322 BOM SUCESSO DO SUL";8;5;-;3;1;-;-;3;3;4;-;-;2;-;-;-;-;2;31
"410330 BORRAZOPOLIS";29;8;-;4;-;1;-;36;10;8;1;-;-;-;-;-;3;7;107
"410335 BRAGANEY";10;6;-;2;2;3;-;13;4;-;-;1;-;1;-;-;1;10;53
"410337 BRASILANDIA DO SUL";12;3;-;3;-;-;-;9;8;1;-;-;-;-;-;1;2;2;41
"410340 CAFEARA";14;-;-;2;-;-;-;6;1;2;-;1;-;-;-;-;1;1;28
"410345 CAFELANDIA";40;20;-;3;1;3;-;31;8;7;-;-;2;1;2;-;2;16;136
"410347 CAFEZAL DO SUL";13;8;-;3;1;4;-;12;3;1;-;-;3;-;-;-;-;2;50
"410350 CALIFORNIA";34;12;-;9;-;6;-;19;10;6;-;-;8;-;1;1;2;6;114
"410360 CAMBARA";71;43;-;22;3;7;-;68;22;10;1;1;12;-;-;2;3;14;279
"410370 CAMBE";402;156;2;37;6;22;-;189;78;47;4;3;36;1;10;6;16;68;1083
"410380 CAMBIRA";24;15;-;4;-;4;-;27;7;4;-;-;4;-;-;1;-;6;96
"410390 CAMPINA DA LAGOA";56;27;-;13;2;4;-;48;11;1;-;-;2;-;1;1;-;17;183
"410395 CAMPINA DO SIMAO";15;4;-;1;-;-;-;6;3;1;-;-;1;-;2;1;-;7;41
"410400 CAMPINA GRANDE DO SUL";171;54;-;16;3;12;-;91;12;19;-;1;12;1;5;6;18;39;460
"410405 CAMPO BONITO";15;11;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;3;36
"410410 CAMPO DO TENENTE";31;6;-;10;-;1;-;15;10;5;-;-;3;-;1;1;3;8;94
"410420 CAMPO LARGO";403;163;4;36;20;32;-;230;111;47;2;6;26;1;4;6;17;95;1203
"410425 CAMPO MAGRO";80;29;1;11;1;6;-;45;17;9;-;-;4;1;-;3;6;34;247
"410430 CAMPO MOURAO";308;109;2;60;13;32;-;193;76;48;1;3;24;3;10;5;9;82;978
"410440 CANDIDO DE ABREU";22;20;1;5;-;2;-;45;14;9;1;-;4;-;4;1;17;9;154
"410442 CANDOI";34;19;-;5;2;2;-;30;8;5;-;-;-;-;1;-;3;13;122
"410445 CANTAGALO";32;18;1;4;2;4;-;34;7;2;-;-;1;-;2;-;-;10;117
"410450 CAPANEMA";24;28;-;10;-;5;-;68;10;18;-;-;4;-;2;2;1;21;193
"410460 CAPITAO LEONIDAS MARQUES";28;21;-;12;-;3;-;48;16;9;-;-;-;-;-;1;-;6;144
"410465 CARAMBEI";66;23;-;5;1;5;-;29;5;3;-;-;3;-;1;1;6;13;161
"410470 CARLOPOLIS";44;21;-;7;1;4;-;30;15;10;-;-;4;-;-;-;7;16;159
"410480 CASCAVEL";955;391;9;88;37;91;-;488;161;100;6;16;21;4;17;17;13;290;2704
"410490 CASTRO";236;93;4;33;15;12;-;125;54;30;-;-;21;2;5;3;12;67;712
"410500 CATANDUVAS";18;12;-;4;1;3;-;25;3;4;1;-;1;-;-;1;1;9;83
"410510 CENTENARIO DO SUL";33;25;-;4;1;4;-;37;5;7;-;2;7;-;-;1;2;11;139
"410520 CERRO AZUL";50;23;-;9;3;2;-;42;15;4;-;1;4;-;1;-;7;10;171
"410530 CEU AZUL";32;19;-;4;3;1;-;24;5;5;-;-;2;-;-;-;1;13;109
"410540 CHOPINZINHO";48;40;2;5;1;6;-;36;9;6;-;2;3;1;2;-;10;18;189
"410550 CIANORTE";159;100;1;42;6;40;-;156;40;33;1;-;13;4;6;2;2;71;676
"410560 CIDADE GAUCHA";36;17;-;4;1;5;-;32;7;5;-;1;2;2;3;-;1;8;124
"410570 CLEVELANDIA";70;33;1;7;3;7;-;37;14;3;-;1;6;1;2;2;1;16;204
"410580 COLOMBO";765;231;5;85;28;57;-;338;150;89;5;7;37;6;19;9;52;180;2063
"410590 COLORADO";90;42;1;9;-;13;-;56;11;14;-;-;19;-;3;1;-;19;278
"410600 CONGONHINHAS";30;14;-;2;-;2;-;19;7;3;-;-;1;-;-;-;6;8;92
"410610 CONSELHEIRO MAIRINCK";18;2;-;5;-;4;-;12;2;2;-;-;1;-;-;-;1;4;51
"410620 CONTENDA";70;28;-;4;-;4;-;35;13;4;-;-;5;1;2;1;22;22;211
"410630 CORBELIA";40;29;-;14;-;4;-;29;20;6;-;1;1;-;2;1;1;18;166
"410640 CORNELIO PROCOPIO";147;74;2;20;10;29;-;124;43;15;1;4;19;-;7;1;13;34;543
"410645 CORONEL DOMINGOS SOARES";25;10;-;-;-;1;-;13;2;1;-;1;2;-;-;1;2;8;66
"410650 CORONEL VIVIDA";88;43;1;10;2;9;-;47;13;10;1;2;7;1;3;2;5;22;266
"410655 CORUMBATAI DO SUL";6;11;1;3;1;5;-;12;4;3;-;-;-;-;-;-;7;6;59
"410657 CRUZEIRO DO IGUACU";9;7;-;2;-;1;-;8;3;1;-;-;1;-;-;-;3;2;37
"410660 CRUZEIRO DO OESTE";78;32;1;11;5;9;-;70;25;10;1;-;10;-;2;1;6;17;278
"410670 CRUZEIRO DO SUL";14;6;-;5;1;3;-;8;1;3;-;1;-;-;1;-;4;2;49
"410680 CRUZ MACHADO";32;24;1;4;5;5;-;35;17;4;-;-;3;-;4;-;3;17;154
"410685 CRUZMALTINA";6;3;-;1;-;-;-;5;2;1;-;-;-;-;-;1;-;4;23
"410690 CURITIBA";6333;2591;36;933;257;980;-;3012;790;647;64;44;339;19;70;75;252;1234;17676
"410700 CURIUVA";39;10;1;17;1;2;-;37;7;5;-;-;5;-;1;-;4;18;147
"410710 DIAMANTE DO NORTE";14;9;-;4;-;1;-;13;3;1;-;-;-;-;-;1;-;4;50
"410712 DIAMANTE DO SUL";15;3;-;-;-;1;-;11;6;2;-;-;-;-;2;-;-;3;43
"410715 DIAMANTE D'OESTE";19;1;-;7;-;-;-;13;4;1;-;-;-;-;1;1;-;12;59
"410720 DOIS VIZINHOS";74;51;1;10;4;6;-;60;42;10;1;-;12;1;1;4;3;42;322
"410725 DOURADINA";13;15;-;3;-;4;-;22;12;3;-;1;2;-;1;-;3;6;85
"410730 DOUTOR CAMARGO";10;8;-;5;-;3;-;16;7;3;-;-;4;-;-;-;-;6;62
"410740 ENEAS MARQUES";5;16;-;2;-;-;-;13;1;2;-;-;3;-;1;-;-;6;49
"410750 ENGENHEIRO BELTRAO";26;19;-;15;1;1;-;28;8;5;1;-;4;-;2;-;1;10;121
"410752 ESPERANCA NOVA";5;6;-;-;-;1;-;7;2;-;-;-;2;-;-;-;1;2;26
"410753 ENTRE RIOS DO OESTE";9;6;-;2;1;2;-;10;5;-;-;-;3;-;1;-;2;3;44
"410754 ESPIGAO ALTO DO IGUACU";6;14;-;1;-;2;-;13;6;3;-;-;-;-;-;-;-;5;50
"410755 FAROL";6;9;-;1;-;4;-;13;1;1;-;-;-;-;1;-;1;3;40
"410760 FAXINAL";69;22;2;11;4;6;-;53;10;8;1;1;2;1;1;-;3;12;206
"410765 FAZENDA RIO GRANDE";416;118;4;48;17;23;-;150;49;35;2;1;14;1;8;7;58;87;1038
"410770 FENIX";9;5;-;2;-;3;-;15;2;2;-;-;2;-;-;1;1;10;52
"410773 FERNANDES PINHEIRO";13;6;-;1;1;-;-;9;7;1;-;-;1;1;-;2;1;3;46
"410775 FIGUEIRA";28;12;-;16;-;7;-;23;7;2;-;-;4;-;-;-;3;7;109
"410780 FLORAI";12;8;1;2;2;1;-;13;5;6;-;1;-;-;-;-;-;4;55
"410785 FLOR DA SERRA DO SUL";26;10;-;1;-;3;-;15;1;2;-;-;2;-;-;1;2;5;68
"410790 FLORESTA";18;11;-;4;-;3;-;23;7;2;-;-;5;-;-;-;1;3;77
"410800 FLORESTOPOLIS";36;16;1;9;1;2;-;38;3;4;1;2;-;-;-;-;2;3;118
"410810 FLORIDA";12;3;-;2;1;-;-;4;1;2;-;-;1;-;1;1;-;6;34
"410820 FORMOSA DO OESTE";18;8;-;6;2;8;-;37;10;5;-;-;3;1;-;2;1;7;108
"410830 FOZ DO IGUACU";925;355;8;96;25;73;1;402;151;73;6;14;50;3;29;13;47;185;2456
"410832 FRANCISCO ALVES";15;9;1;1;-;-;-;14;13;9;-;-;1;-;-;-;11;7;81
"410840 FRANCISCO BELTRAO";244;120;2;31;7;34;-;148;56;33;-;4;14;-;4;5;19;66;787
"410845 FOZ DO JORDAO";12;9;-;4;-;-;-;11;1;-;-;-;2;-;1;-;-;5;45
"410850 GENERAL CARNEIRO";36;14;-;7;1;1;-;23;8;5;-;1;1;-;-;-;2;18;117
"410855 GODOY MOREIRA";5;7;-;2;2;1;-;16;1;2;-;-;-;-;-;-;-;6;42
"410860 GOIOERE";62;36;-;23;10;8;-;76;27;13;-;1;5;-;-;-;3;23;287
"410865 GOIOXIM";6;12;-;2;-;-;-;15;7;6;-;-;2;-;1;-;-;5;56
"410870 GRANDES RIOS";18;7;-;4;1;-;-;20;6;6;1;-;3;-;1;-;2;2;71
"410880 GUAIRA";100;36;1;8;2;7;-;76;18;17;1;-;9;1;-;-;6;36;318
"410890 GUAIRACA";17;10;-;4;1;-;-;14;1;5;1;-;3;-;-;1;1;9;67
"410895 GUAMIRANGA";20;13;-;4;1;2;-;16;7;2;-;-;3;-;-;-;-;7;75
"410900 GUAPIRAMA";18;11;-;5;3;1;-;14;1;2;-;-;2;-;-;-;-;4;61
"410910 GUAPOREMA";2;3;-;-;-;-;-;7;2;2;-;-;-;-;-;-;-;2;18
"410920 GUARACI";4;5;-;-;-;2;1;15;6;3;-;-;-;-;2;-;-;3;41
"410930 GUARANIACU";33;23;-;8;1;5;-;44;7;7;-;1;3;-;-;-;2;14;148
"410940 GUARAPUAVA";577;269;5;74;16;37;-;367;140;62;4;6;41;6;10;5;26;153;1798
"410950 GUARAQUECABA";15;6;-;2;1;2;-;22;3;1;-;-;1;-;-;-;4;4;61
"410960 GUARATUBA";158;51;3;17;2;6;-;71;26;13;2;-;13;2;6;2;27;35;434
"410965 HONORIO SERPA";9;7;-;-;-;2;-;7;5;3;-;-;-;-;-;-;2;3;38
"410970 IBAITI";151;50;2;16;4;13;-;68;32;18;1;-;5;-;-;-;8;31;399
"410975 IBEMA";22;14;-;1;-;1;-;25;7;3;-;1;-;-;1;2;1;10;88
"410980 IBIPORA";177;85;3;14;4;23;-;113;35;24;1;1;17;-;2;1;8;49;557
"410990 ICARAIMA";20;8;-;4;1;-;-;28;9;5;-;-;4;-;-;-;3;15;97
"411000 IGUARACU";24;4;1;6;-;1;-;9;7;1;-;-;-;-;1;-;-;9;63
"411005 IGUATU";11;4;-;-;-;1;-;5;2;3;-;-;-;1;1;-;-;3;31
"411007 IMBAU";55;20;-;4;-;1;-;19;12;4;-;-;-;-;1;1;7;7;131
"411010 IMBITUVA";95;45;2;16;3;8;-;54;16;6;-;-;4;1;2;3;4;34;293
"411020 INACIO MARTINS";17;10;-;3;-;-;-;21;14;1;-;-;5;-;4;-;-;5;80
"411030 INAJA";9;6;-;2;1;-;-;6;4;-;-;-;-;-;-;-;-;1;29
"411040 INDIANOPOLIS";10;6;-;7;1;2;-;10;8;2;-;1;-;1;2;-;1;6;57
"411050 IPIRANGA";32;21;-;4;-;1;-;23;18;3;-;-;-;-;2;1;9;25;139
"411060 IPORA";37;25;3;8;2;3;-;45;21;5;-;1;7;-;1;2;7;20;187
"411065 IRACEMA DO OESTE";5;6;-;5;1;-;-;10;1;-;-;-;-;-;-;-;1;3;32
"411070 IRATI";178;101;4;31;4;15;-;149;59;23;2;1;13;3;4;2;3;34;626
"411080 IRETAMA";19;14;1;8;2;3;-;37;9;11;-;1;1;-;-;-;1;10;117
"411090 ITAGUAJE";7;8;-;5;1;2;-;5;4;4;-;-;2;1;-;-;-;2;41
"411095 ITAIPULANDIA";20;14;-;6;-;3;-;17;5;-;-;-;2;-;-;-;2;11;80
"411100 ITAMBARACA";16;20;-;6;-;2;-;13;10;2;2;1;3;-;-;-;3;2;80
"411110 ITAMBE";23;12;-;3;1;5;-;23;2;1;1;-;2;1;2;-;-;5;81
"411120 ITAPEJARA D'OESTE";38;13;-;9;1;1;-;34;15;7;-;-;1;-;2;-;1;12;134
"411125 ITAPERUCU";104;33;-;8;1;3;-;29;20;5;-;-;3;-;1;2;23;25;257
"411130 ITAUNA DO SUL";4;7;-;5;-;2;-;5;3;2;-;-;1;-;2;-;3;2;36
"411140 IVAI";19;18;-;8;1;3;-;30;10;2;-;-;5;-;-;-;8;4;108
"411150 IVAIPORA";81;52;-;27;4;8;-;103;35;15;-;-;16;1;2;2;3;26;375
"411155 IVATE";6;8;-;10;1;3;-;7;8;8;-;-;1;-;-;1;4;4;61
"411160 IVATUBA";10;5;-;1;1;1;-;3;2;-;-;-;2;-;-;-;-;1;26
"411170 JABOTI";10;11;-;4;-;1;-;16;2;4;-;-;1;-;-;-;2;5;56
"411180 JACAREZINHO";102;44;1;31;8;6;-;127;21;14;-;2;23;-;-;4;7;33;423
"411190 JAGUAPITA";61;20;-;10;1;5;-;28;16;3;-;-;3;-;1;-;3;12;163
"411200 JAGUARIAIVA";148;37;4;37;3;6;-;79;14;17;1;3;7;2;1;2;7;26;394
"411210 JANDAIA DO SUL";80;33;2;19;4;4;-;63;18;10;2;1;11;1;1;2;3;15;269
"411220 JANIOPOLIS";17;10;-;7;2;-;-;14;4;6;-;-;3;-;-;-;-;11;74
"411230 JAPIRA";17;7;1;4;-;4;-;6;2;3;-;-;1;-;-;-;-;6;51
"411240 JAPURA";15;12;-;10;-;4;-;34;6;8;-;-;-;-;-;2;2;5;98
"411250 JARDIM ALEGRE";26;15;-;8;1;5;-;36;7;4;-;-;3;-;5;-;1;14;125
"411260 JARDIM OLINDA";2;1;-;-;-;1;-;2;1;-;-;-;-;-;-;-;1;-;8
"411270 JATAIZINHO";42;14;-;4;2;5;-;26;7;4;-;1;6;-;1;1;3;11;127
"411275 JESUITAS";14;13;-;3;1;3;-;34;8;7;-;-;3;-;-;-;2;16;104
"411280 JOAQUIM TAVORA";60;11;1;9;1;1;-;35;8;3;-;2;3;-;1;-;5;13;153
"411290 JUNDIAI DO SUL";8;8;-;2;1;-;-;12;3;2;-;-;-;-;-;-;-;2;38
"411295 JURANDA";31;13;-;3;-;4;-;25;6;5;1;-;2;-;1;-;1;10;102
"411300 JUSSARA";11;15;-;8;-;-;-;8;5;4;-;-;-;-;-;-;1;5;57
"411310 KALORE";25;14;1;6;-;3;-;10;9;2;-;-;1;-;-;-;1;1;73
"411320 LAPA";136;71;1;12;1;5;-;74;27;12;2;-;11;-;3;-;50;34;439
"411325 LARANJAL";11;7;-;5;-;1;-;12;3;1;-;-;1;-;-;2;-;4;47
"411330 LARANJEIRAS DO SUL";109;44;2;25;8;15;-;83;36;17;-;-;3;1;1;2;3;31;380
"411340 LEOPOLIS";12;4;-;2;-;-;-;4;2;2;-;-;1;-;-;-;-;2;29
"411342 LIDIANOPOLIS";9;5;-;3;-;2;-;13;9;-;1;-;1;-;-;-;1;7;51
"411345 LINDOESTE";7;6;-;3;-;1;-;6;1;1;-;-;-;-;1;1;1;4;32
"411350 LOANDA";53;35;-;19;3;6;-;45;14;12;2;-;5;-;-;1;4;27;226
"411360 LOBATO";15;6;1;2;-;3;-;9;1;5;-;-;1;-;-;-;-;5;48
"411370 LONDRINA";1990;809;16;218;42;266;-;949;383;288;26;28;182;13;36;29;83;342;5700
"411373 LUIZIANA";16;14;-;6;2;1;-;14;3;4;-;-;1;-;1;1;-;4;67
"411375 LUNARDELLI";6;9;1;6;-;2;-;15;5;2;-;-;1;-;-;-;2;6;55
"411380 LUPIONOPOLIS";24;7;-;1;-;2;-;16;5;4;-;-;-;-;-;-;2;4;65
"411390 MALLET";11;24;1;10;1;6;-;35;9;5;-;-;1;1;1;-;1;7;113
"411400 MAMBORE";27;24;2;2;1;3;-;31;13;7;1;-;7;-;1;-;6;9;134
"411410 MANDAGUACU";84;27;2;21;1;7;-;48;16;13;-;-;8;-;9;1;1;22;260
"411420 MANDAGUARI";106;46;2;18;10;17;-;87;21;13;4;-;6;2;3;5;-;40;380
"411430 MANDIRITUBA";96;33;1;14;2;2;-;40;19;6;-;-;9;-;1;2;37;26;288
"411435 MANFRINOPOLIS";7;2;-;-;1;2;-;7;4;1;-;-;3;-;-;-;1;-;28
"411440 MANGUEIRINHA";46;24;1;3;1;4;-;31;6;9;-;-;5;-;2;2;3;16;153
"411450 MANOEL RIBAS";29;17;2;3;1;3;-;31;10;6;-;-;1;-;-;-;6;16;125
"411460 MARECHAL CANDIDO RONDON";145;83;2;30;5;13;-;101;39;30;3;1;8;1;6;1;12;56;536
"411470 MARIA HELENA";7;6;-;4;-;2;-;11;4;1;-;-;5;-;-;-;2;1;43
"411480 MARIALVA";116;60;1;24;4;6;-;80;22;22;-;1;11;-;4;4;3;32;390
"411490 MARILANDIA DO SUL";41;7;1;4;-;4;-;19;4;4;-;-;1;-;2;-;2;4;93
"411500 MARILENA";15;8;1;12;-;1;-;21;5;4;-;-;1;-;3;-;-;5;76
"411510 MARILUZ";36;9;-;7;3;3;-;19;9;9;-;-;3;1;-;-;5;13;117
"411520 MARINGA";1345;569;11;161;32;150;-;658;230;162;8;23;84;7;25;15;46;257;3783
"411530 MARIOPOLIS";25;14;-;5;1;1;-;13;5;4;1;-;1;-;-;1;5;6;82
"411535 MARIPA";21;13;-;9;-;4;-;13;2;4;-;1;1;-;-;-;1;8;77
"411540 MARMELEIRO";35;20;1;4;-;3;-;38;8;11;-;-;2;-;1;3;2;13;141
"411545 MARQUINHO";6;8;-;3;-;-;-;18;3;1;-;-;-;-;1;-;-;4;44
"411550 MARUMBI";14;9;-;1;1;-;-;21;4;3;-;-;2;-;-;-;1;3;59
"411560 MATELANDIA";55;18;-;10;1;1;-;29;13;4;1;-;4;1;3;1;2;19;162
"411570 MATINHOS";139;66;2;13;6;4;-;72;25;11;3;-;5;1;1;-;46;44;438
"411573 MATO RICO";5;4;1;2;-;-;-;9;7;2;-;-;-;-;-;-;-;3;33
"411575 MAUA DA SERRA";26;12;1;2;1;-;-;21;7;4;-;-;-;-;2;-;-;5;81
"411580 MEDIANEIRA";124;49;3;19;2;21;-;82;26;20;-;1;4;-;4;3;4;47;409
"411585 MERCEDES";10;8;-;3;-;3;-;12;8;5;-;2;1;-;-;1;1;9;63
"411590 MIRADOR";3;3;-;4;1;-;-;8;-;1;-;-;-;-;-;-;-;2;22
"411600 MIRASELVA";10;4;-;1;-;2;-;6;3;3;-;-;-;-;-;-;1;-;30
"411605 MISSAL";18;23;-;5;1;-;-;44;12;2;-;-;1;-;-;1;2;7;116
"411610 MOREIRA SALES";39;14;-;14;4;5;-;37;14;8;-;1;4;-;1;-;9;6;156
"411620 MORRETES";50;23;-;16;-;7;-;39;9;10;2;1;8;-;1;1;13;12;192
"411630 MUNHOZ DE MELO";9;5;-;4;1;-;-;11;2;-;-;-;2;-;-;-;-;7;41
"411640 NOSSA SENHORA DAS GRACAS";9;2;-;1;-;3;-;8;3;-;-;-;-;-;-;-;-;7;33
"411650 NOVA ALIANCA DO IVAI";2;2;-;2;-;-;-;2;1;1;-;-;2;-;-;-;-;2;14
"411660 NOVA AMERICA DA COLINA";9;5;-;-;-;-;-;8;3;1;-;-;3;-;-;-;3;2;34
"411670 NOVA AURORA";44;22;-;7;-;5;-;24;8;8;1;-;2;-;-;1;3;10;135
"411680 NOVA CANTU";19;12;1;5;-;1;-;22;5;8;-;-;3;-;-;-;-;4;80
"411690 NOVA ESPERANCA";76;33;1;21;3;4;-;62;19;12;-;-;9;-;1;1;5;19;266
"411695 NOVA ESPERANCA DO SUDOESTE";9;8;1;3;1;1;-;12;2;1;1;-;2;-;-;-;5;8;54
"411700 NOVA FATIMA";18;14;1;4;2;2;-;31;3;2;-;-;1;-;-;-;10;8;96
"411705 NOVA LARANJEIRAS";12;12;-;7;-;3;-;27;7;5;-;-;-;-;3;-;3;17;96
"411710 NOVA LONDRINA";32;22;1;12;2;2;-;36;6;6;-;-;1;-;-;-;2;13;135
"411720 NOVA OLIMPIA";20;9;-;4;-;1;-;9;17;4;-;-;1;-;-;-;-;3;68
"411721 NOVA SANTA BARBARA";19;4;-;4;2;1;-;18;5;3;-;-;3;1;-;1;1;3;65
"411722 NOVA SANTA ROSA";16;18;-;7;-;3;-;30;7;3;-;-;2;1;-;-;2;11;100
"411725 NOVA PRATA DO IGUACU";19;20;1;1;1;2;-;32;5;5;-;-;3;1;-;1;5;4;100
"411727 NOVA TEBAS";12;8;-;2;1;3;-;16;5;6;-;-;1;-;2;-;-;10;66
"411729 NOVO ITACOLOMI";5;2;-;3;-;1;-;6;3;2;-;-;1;-;1;1;1;1;27
"411730 ORTIGUEIRA";80;33;-;14;1;5;-;51;34;6;1;2;2;-;3;4;8;32;276
"411740 OURIZONA";12;5;-;2;-;1;-;12;2;2;-;-;2;-;-;1;-;2;41
"411745 OURO VERDE DO OESTE";28;6;1;2;1;2;-;14;6;1;-;1;2;-;-;1;2;7;74
"411750 PAICANDU";114;48;-;16;7;8;-;79;23;14;1;1;12;-;3;3;2;33;364
"411760 PALMAS";169;52;-;19;3;5;-;60;35;28;1;-;20;-;4;4;6;45;451
"411770 PALMEIRA";101;49;-;18;2;5;-;85;34;10;-;1;7;2;1;4;7;35;361
"411780 PALMITAL";41;20;-;9;3;3;-;35;16;9;-;1;2;-;-;-;1;22;162
"411790 PALOTINA";74;47;1;9;6;9;-;56;16;13;1;1;7;-;1;1;2;29;273
"411800 PARAISO DO NORTE";42;14;-;9;1;2;-;27;12;6;-;-;3;-;-;1;-;17;134
"411810 PARANACITY";30;11;-;8;2;3;-;23;8;2;-;-;1;-;-;1;-;11;100
"411820 PARANAGUA";533;189;6;87;13;32;-;314;95;44;10;2;34;9;15;6;19;159;1567
"411830 PARANAPOEMA";2;1;-;2;-;-;-;11;1;6;-;-;-;-;-;-;-;-;23
"411840 PARANAVAI";289;128;6;63;16;26;1;207;75;34;3;2;13;1;6;2;2;56;930
"411845 PATO BRAGADO";11;11;-;-;2;-;-;20;5;1;-;1;4;-;1;-;-;12;68
"411850 PATO BRANCO";296;100;3;26;7;22;-;110;32;26;-;3;11;2;7;6;57;64;772
"411860 PAULA FREITAS";11;14;-;3;2;4;-;17;3;2;-;-;2;-;-;1;2;2;63
"411870 PAULO FRONTIN";4;20;1;3;-;2;-;13;6;3;-;-;1;-;1;-;1;8;63
"411880 PEABIRU";33;30;-;9;2;9;-;32;16;8;-;-;4;-;1;-;2;10;156
"411885 PEROBAL";11;7;1;3;1;-;-;22;10;6;-;1;3;1;-;-;4;8;78
