 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2021
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";1;-;-;1;-;-;-;5;5;3;-;-;-;-;-;-;24;49;88
"410010 ABATIA";23;13;1;4;-;2;-;17;6;4;-;-;1;-;-;-;3;6;80
"410020 ADRIANOPOLIS";28;8;1;8;-;4;-;24;4;2;-;-;2;-;-;-;2;5;88
"410030 AGUDOS DO SUL";36;12;1;2;1;5;-;14;10;2;-;-;1;-;2;-;15;8;109
"410040 ALMIRANTE TAMANDARE";418;116;3;41;19;27;-;206;60;36;7;2;18;2;9;2;32;106;1104
"410045 ALTAMIRA DO PARANA";10;6;-;4;-;-;-;9;2;3;-;-;1;-;-;-;-;5;40
"410050 ALTONIA";47;34;-;5;1;12;-;69;20;7;-;1;4;1;1;1;3;20;226
"410060 ALTO PARANA";25;22;-;7;2;1;-;32;13;4;-;3;2;1;5;1;-;9;127
"410070 ALTO PIQUIRI";21;19;-;4;1;2;-;29;11;10;-;-;4;-;-;-;4;7;112
"410080 ALVORADA DO SUL";37;18;1;6;2;6;-;28;9;4;-;-;8;-;-;-;1;12;132
"410090 AMAPORA";12;11;-;5;1;-;-;14;2;4;-;-;-;1;1;1;-;6;58
"410100 AMPERE";56;23;-;3;-;3;-;38;21;9;-;-;2;1;3;-;2;9;170
"410105 ANAHY";12;9;-;1;-;1;-;9;4;-;-;-;-;-;-;1;1;-;38
"410110 ANDIRA";99;33;-;14;2;7;-;59;21;12;1;1;5;1;1;2;8;21;287
"410115 ANGULO";7;3;-;3;1;1;-;7;2;1;-;-;1;-;-;-;-;3;29
"410120 ANTONINA";48;14;-;9;-;4;-;50;18;10;1;1;6;-;3;-;23;22;209
"410130 ANTONIO OLINTO";12;12;-;5;3;1;-;20;8;2;-;-;1;-;2;-;-;12;78
"410140 APUCARANA";439;186;1;63;21;59;-;299;81;68;3;1;42;5;9;5;4;83;1369
"410150 ARAPONGAS";460;148;6;55;17;43;-;242;91;52;7;2;45;2;12;8;12;67;1269
"410160 ARAPOTI";67;32;1;14;5;1;-;62;13;9;-;-;5;-;3;1;5;15;233
"410165 ARAPUA";9;6;-;3;-;1;-;9;4;-;-;-;1;-;-;-;-;3;36
"410170 ARARUNA";28;26;-;5;-;4;-;55;8;10;-;-;5;1;-;1;-;13;156
"410180 ARAUCARIA";449;155;4;40;27;49;-;203;95;56;1;2;22;7;13;6;5;116;1250
"410185 ARIRANHA DO IVAI";6;7;-;5;-;2;-;5;1;-;-;-;1;-;-;-;-;3;30
"410190 ASSAI";54;14;-;6;2;4;-;34;13;6;-;-;12;-;-;1;-;19;165
