 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2011
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";4;2;1;1;1;2;-;11;10;6;-;-;1;-;-;-;68;158;265
"410010 ABATIA";1;13;2;4;-;1;-;29;5;1;-;-;1;1;1;1;2;5;67
"410020 ADRIANOPOLIS";3;6;2;-;-;-;-;11;3;7;-;1;1;-;-;-;7;6;47
"410030 AGUDOS DO SUL";-;7;1;2;-;-;-;11;13;2;-;-;2;-;2;-;15;8;63
"410040 ALMIRANTE TAMANDARE";20;87;6;27;8;5;1;168;70;31;1;-;9;-;10;10;31;152;636
"410045 ALTAMIRA DO PARANA";-;5;-;2;-;-;-;14;3;2;-;-;2;-;2;-;-;3;33
"410050 ALTONIA";16;17;-;6;3;3;-;60;11;14;1;-;2;-;2;1;9;21;166
"410060 ALTO PARANA";7;9;-;2;1;2;-;33;17;5;1;-;2;-;2;1;5;12;99
"410070 ALTO PIQUIRI";3;10;-;6;-;1;-;27;18;7;-;-;1;-;1;-;15;10;99
"410080 ALVORADA DO SUL";4;17;-;5;2;1;-;21;12;3;-;1;2;-;1;-;2;6;77
"410090 AMAPORA";-;8;2;2;-;-;-;11;2;2;-;-;1;-;1;1;4;-;34
"410100 AMPERE";-;23;-;6;1;3;-;37;14;4;-;-;4;-;-;-;4;21;117
"410105 ANAHY";-;6;-;1;-;-;-;14;-;-;-;-;1;-;-;-;3;2;27
"410110 ANDIRA";7;25;1;8;2;2;-;62;17;7;1;-;2;-;-;-;12;11;157
"410115 ANGULO";-;5;-;2;1;-;-;11;-;1;-;-;-;-;2;-;-;2;24
"410120 ANTONINA";5;28;1;9;-;4;-;36;19;8;-;-;2;-;1;5;33;19;170
"410130 ANTONIO OLINTO";1;18;-;-;3;3;-;18;5;1;-;-;-;-;1;-;3;7;60
"410140 APUCARANA";23;142;5;51;10;27;-;268;113;60;2;3;13;1;15;6;-;99;838
"410150 ARAPONGAS";18;102;3;46;12;17;-;258;70;52;-;4;14;2;7;3;4;106;718
"410160 ARAPOTI";5;17;-;20;1;3;-;56;26;13;-;-;3;-;6;-;16;19;185
"410165 ARAPUA";1;2;-;1;1;1;-;8;2;4;-;1;-;-;-;-;8;2;31
"410170 ARARUNA";1;18;-;7;-;1;-;39;9;3;1;-;1;-;-;1;6;9;96
"410180 ARAUCARIA";21;129;1;30;17;13;-;191;80;29;3;2;11;2;20;8;18;134;709
"410185 ARIRANHA DO IVAI";1;-;-;1;-;1;-;5;4;-;-;-;-;-;-;-;-;-;12
"410190 ASSAI";6;22;2;7;-;2;-;39;14;4;-;1;3;-;2;-;9;18;129
"410200 ASSIS CHATEAUBRIAND";7;35;2;25;-;2;-;91;27;10;-;-;9;-;1;-;16;26;251
"410210 ASTORGA";2;40;-;14;4;4;-;75;11;8;1;-;5;1;3;1;7;16;192
"410220 ATALAIA";-;4;-;2;-;-;-;11;6;3;-;-;1;1;-;-;-;3;31
"410230 BALSA NOVA";1;14;-;2;1;-;-;22;12;2;-;-;-;-;1;4;7;9;75
"410240 BANDEIRANTES";2;31;-;11;1;5;-;123;30;11;-;1;4;-;3;2;9;17;250
"410250 BARBOSA FERRAZ";1;18;1;5;1;1;-;29;16;4;-;-;2;-;-;1;3;15;97
"410260 BARRACAO";-;12;-;5;1;4;-;17;2;2;1;-;1;-;3;-;1;10;59
"410270 BARRA DO JACARE";2;4;-;2;-;-;-;7;2;-;-;-;1;-;-;-;1;-;19
"410275 BELA VISTA DA CAROBA";-;5;-;1;-;-;-;13;5;-;1;-;-;-;1;-;-;1;27
"410280 BELA VISTA DO PARAISO";3;24;-;7;2;4;-;46;13;8;3;2;4;-;1;3;3;21;144
"410290 BITURUNA";1;19;-;2;1;-;-;32;5;3;-;-;-;-;2;1;4;14;84
"410300 BOA ESPERANCA";1;5;-;3;2;-;-;15;3;1;1;-;-;-;-;-;2;5;38
"410302 BOA ESPERANCA DO IGUACU";-;3;-;1;1;-;-;6;2;-;-;-;-;-;-;-;1;2;16
"410304 BOA VENTURA DE SAO ROQUE";1;4;-;1;-;1;-;9;5;1;-;-;-;-;2;-;11;3;38
"410305 BOA VISTA DA APARECIDA";-;6;-;4;-;1;-;27;7;-;-;-;1;-;1;-;1;8;56
"410310 BOCAIUVA DO SUL";3;21;-;3;4;-;-;17;8;3;-;-;2;-;1;1;7;10;80
"410315 BOM JESUS DO SUL";1;8;-;3;-;-;-;10;2;1;-;-;-;-;-;-;-;2;27
"410320 BOM SUCESSO";4;6;-;3;2;-;-;20;8;3;-;-;1;-;-;-;1;6;54
