 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2011
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"410322 BOM SUCESSO DO SUL";1;7;-;-;-;-;-;7;2;4;-;-;-;-;-;-;4;1;26
"410330 BORRAZOPOLIS";2;9;2;5;-;2;-;29;3;5;-;-;2;-;1;-;1;4;65
"410335 BRAGANEY";-;12;-;1;1;1;-;17;7;1;-;-;2;2;-;-;2;7;53
"410337 BRASILANDIA DO SUL";1;1;-;1;-;-;-;17;4;3;-;-;1;-;-;-;4;2;34
"410340 CAFEARA";-;4;-;1;-;-;-;10;4;1;-;-;-;-;1;-;-;2;23
"410345 CAFELANDIA";3;6;-;5;-;-;-;12;10;1;-;1;2;-;-;1;2;9;52
"410347 CAFEZAL DO SUL";1;6;-;3;-;1;-;11;10;1;-;-;1;-;1;-;1;2;38
"410350 CALIFORNIA";-;10;-;2;-;1;-;23;13;1;-;-;2;-;-;1;2;8;63
"410360 CAMBARA";4;31;2;15;4;7;-;74;17;13;1;1;8;-;3;1;11;16;208
"410370 CAMBE";12;97;3;32;5;25;-;174;75;40;3;1;10;-;16;2;8;92;595
"410380 CAMBIRA";1;8;-;-;2;3;-;18;4;1;-;1;1;-;-;1;-;9;49
"410390 CAMPINA DA LAGOA";2;17;-;7;1;2;-;55;12;6;-;-;1;-;1;-;6;12;122
"410395 CAMPINA DO SIMAO";1;6;1;-;-;1;-;4;1;1;-;-;1;-;-;-;-;2;18
"410400 CAMPINA GRANDE DO SUL";11;49;-;11;2;4;-;78;32;15;-;1;7;-;4;-;14;54;282
"410405 CAMPO BONITO";-;9;-;1;-;2;-;10;5;-;-;-;-;-;-;2;2;2;33
"410410 CAMPO DO TENENTE";1;6;-;1;-;1;-;12;1;1;-;-;-;-;1;-;12;9;45
"410420 CAMPO LARGO";22;137;4;37;6;11;-;197;108;39;-;-;13;2;17;9;54;86;742
"410425 CAMPO MAGRO";7;19;2;5;1;3;-;34;14;4;-;-;5;-;4;4;17;28;147
"410430 CAMPO MOURAO";13;109;2;30;3;14;-;173;88;31;1;3;27;1;16;3;12;94;620
"410440 CANDIDO DE ABREU";2;18;-;5;2;-;-;21;13;5;-;-;1;1;1;-;24;16;109
"410442 CANDOI";3;18;-;4;-;-;-;30;14;3;-;-;-;-;1;-;1;19;93
"410445 CANTAGALO";2;8;-;5;2;1;-;18;9;4;-;-;1;-;3;2;-;12;67
"410450 CAPANEMA";3;29;-;4;-;-;-;44;16;9;1;-;1;-;2;2;17;12;140
"410460 CAPITAO LEONIDAS MARQUES";3;14;-;4;1;-;-;27;20;4;-;-;-;-;-;-;2;10;85
"410465 CARAMBEI";2;16;-;3;-;1;-;20;11;5;-;-;3;1;6;-;16;6;90
"410470 CARLOPOLIS";16;15;-;8;1;4;-;40;10;5;-;-;-;-;1;-;3;14;117
"410480 CASCAVEL";47;342;7;76;14;41;-;455;201;88;1;7;40;1;24;18;36;286;1684
"410490 CASTRO";12;83;4;20;4;9;-;152;53;24;-;-;10;2;16;1;30;46;466
"410500 CATANDUVAS";-;15;1;2;-;1;-;30;2;3;-;-;1;-;-;-;-;8;63
"410510 CENTENARIO DO SUL";1;15;-;3;-;3;-;51;7;5;-;-;5;-;-;-;-;7;97
"410520 CERRO AZUL";1;10;-;2;-;1;-;38;14;1;-;-;2;-;2;1;30;7;109
"410530 CEU AZUL";4;15;-;2;2;5;-;8;7;2;-;-;3;-;1;-;2;18;69
"410540 CHOPINZINHO";3;25;-;7;3;2;-;33;18;4;-;-;5;-;1;6;5;22;134
"410550 CIANORTE";9;65;2;19;3;16;-;131;35;27;-;2;8;-;7;8;3;53;388
"410560 CIDADE GAUCHA";3;8;1;4;1;2;-;19;4;3;-;-;2;-;2;1;1;8;59
"410570 CLEVELANDIA";2;23;1;8;1;1;-;32;26;6;-;-;1;-;2;-;12;13;128
"410580 COLOMBO";47;194;1;72;14;19;1;267;110;57;1;6;22;1;13;22;154;302;1303
"410590 COLORADO";4;26;-;16;2;9;-;62;16;13;-;1;1;-;4;-;-;11;165
"410600 CONGONHINHAS";2;15;1;3;2;1;-;19;9;4;-;-;1;-;3;2;6;9;77
"410610 CONSELHEIRO MAIRINCK";2;5;-;3;-;2;-;10;2;-;-;-;-;-;-;-;-;1;25
"410620 CONTENDA";3;17;-;5;1;2;-;37;13;7;-;-;2;-;2;-;8;8;105
"410630 CORBELIA";-;22;1;3;-;7;-;25;23;9;-;2;3;-;1;-;5;18;119
"410640 CORNELIO PROCOPIO";9;52;2;21;6;13;-;139;42;21;2;1;4;-;3;-;2;28;345
"410645 CORONEL DOMINGOS SOARES";1;6;-;1;-;-;-;7;5;-;-;-;-;-;-;-;-;9;29
"410650 CORONEL VIVIDA";5;37;-;4;-;4;-;41;16;7;-;1;1;-;2;-;6;16;140
"410655 CORUMBATAI DO SUL";1;2;-;3;-;1;-;7;2;1;-;-;-;-;-;-;9;5;31
"410657 CRUZEIRO DO IGUACU";-;5;-;-;-;-;-;8;2;1;-;-;-;-;-;-;4;2;22
"410660 CRUZEIRO DO OESTE";9;30;-;9;2;2;-;55;21;9;-;1;4;1;1;1;20;22;187
"410670 CRUZEIRO DO SUL";2;11;-;2;2;1;-;10;2;6;1;-;1;-;-;-;3;5;46
"410680 CRUZ MACHADO";1;25;1;2;7;-;-;41;13;5;-;-;2;-;3;-;15;17;132
"410685 CRUZMALTINA";-;3;-;3;1;-;-;12;1;3;-;-;-;-;-;-;1;1;25
"410690 CURITIBA";346;2091;25;810;148;377;-;2757;879;591;11;59;178;15;120;102;78;1379;9966
"410700 CURIUVA";5;14;-;6;-;3;-;35;10;3;-;-;3;-;2;-;13;10;104
"410710 DIAMANTE DO NORTE";1;1;-;4;-;2;-;18;5;1;-;-;3;-;-;-;3;5;43
"410712 DIAMANTE DO SUL";-;7;1;-;1;1;-;12;2;1;-;-;-;-;-;1;2;3;31
"410715 DIAMANTE D'OESTE";1;6;-;1;-;1;-;8;-;4;-;-;-;-;1;-;3;3;28
"410720 DOIS VIZINHOS";8;45;5;7;2;8;1;63;19;8;1;-;4;-;3;2;7;23;206
"410725 DOURADINA";2;9;1;5;-;2;-;10;3;3;-;1;3;-;-;-;1;5;45
"410730 DOUTOR CAMARGO";-;11;-;1;1;2;-;10;5;3;-;-;2;-;-;-;2;6;43
"410740 ENEAS MARQUES";-;13;-;2;-;-;-;15;3;-;-;-;-;-;2;-;2;4;41
"410750 ENGENHEIRO BELTRAO";2;22;-;10;2;1;-;31;12;3;1;-;1;-;2;1;4;10;102
"410752 ESPERANCA NOVA";-;1;-;1;-;-;-;4;-;-;-;-;1;-;-;-;-;4;11
"410753 ENTRE RIOS DO OESTE";-;3;-;3;-;2;-;5;3;-;-;-;-;-;1;-;-;5;22
"410754 ESPIGAO ALTO DO IGUACU";-;7;-;1;1;1;-;9;7;1;-;-;1;-;-;-;1;3;32
"410755 FAROL";1;7;1;2;-;-;-;6;3;-;-;-;-;-;-;-;-;2;22
"410760 FAXINAL";-;18;-;11;1;1;-;46;16;10;-;1;1;-;3;-;6;21;135
"410765 FAZENDA RIO GRANDE";26;60;3;21;4;3;-;118;36;16;-;3;9;3;10;7;75;99;493
"410770 FENIX";-;6;-;5;-;-;-;14;1;1;-;-;1;-;-;-;3;2;33
"410773 FERNANDES PINHEIRO";-;9;-;1;-;-;-;13;5;1;-;-;-;-;2;-;7;2;40
"410775 FIGUEIRA";-;12;-;4;3;2;-;18;12;4;-;-;3;1;-;-;4;8;71
"410780 FLORAI";2;7;-;1;-;2;-;7;6;-;-;3;1;-;-;-;2;2;33
"410785 FLOR DA SERRA DO SUL";-;3;-;1;-;4;-;6;1;1;-;-;-;-;-;-;-;3;19
"410790 FLORESTA";3;3;-;2;1;4;-;8;4;-;-;-;1;-;-;1;1;7;35
"410800 FLORESTOPOLIS";-;17;-;4;1;2;1;37;9;3;-;-;1;-;1;-;3;23;102
"410810 FLORIDA";1;6;-;-;-;1;-;8;-;-;-;1;-;-;-;-;1;2;20
"410820 FORMOSA DO OESTE";-;9;-;4;2;3;-;24;3;4;-;-;3;-;1;-;2;4;59
"410830 FOZ DO IGUACU";40;263;3;82;21;35;1;309;141;95;2;10;18;4;29;11;33;291;1388
"410832 FRANCISCO ALVES";2;14;-;2;-;-;-;14;6;2;-;-;1;-;-;-;4;6;51
"410840 FRANCISCO BELTRAO";5;94;2;29;4;13;-;123;55;33;1;3;9;-;15;7;3;86;482
"410845 FOZ DO JORDAO";1;7;-;4;-;-;-;12;6;1;-;-;2;-;1;-;1;5;40
"410850 GENERAL CARNEIRO";1;12;1;3;-;-;-;24;14;3;-;-;3;-;1;-;12;5;79
"410855 GODOY MOREIRA";1;7;-;4;-;-;-;5;1;-;-;1;-;-;-;-;1;-;20
"410860 GOIOERE";5;24;1;15;2;2;-;84;23;13;2;-;7;-;2;1;12;17;210
"410865 GOIOXIM";-;13;-;1;1;2;-;5;5;1;-;-;-;-;-;-;-;10;38
"410870 GRANDES RIOS";1;9;-;-;-;1;-;19;9;6;-;-;1;-;1;-;2;11;60
"410880 GUAIRA";12;40;-;16;2;3;-;60;24;9;-;-;3;-;7;2;21;57;256
"410890 GUAIRACA";1;7;1;2;-;2;-;20;2;3;-;-;1;-;2;-;3;7;51
"410895 GUAMIRANGA";-;7;-;4;1;1;-;12;5;6;1;1;2;-;1;2;5;9;57
"410900 GUAPIRAMA";1;10;-;2;-;-;-;9;3;-;-;-;1;-;-;-;2;3;31
"410910 GUAPOREMA";-;2;-;-;-;-;-;8;4;3;-;-;1;-;-;-;1;-;19
"410920 GUARACI";2;10;-;2;-;1;-;23;-;5;-;1;-;-;-;1;2;7;54
"410930 GUARANIACU";2;24;-;6;3;3;-;44;16;5;-;2;1;1;-;-;1;17;125
"410940 GUARAPUAVA";13;218;9;40;21;17;-;335;160;61;1;5;14;1;38;11;31;152;1127
"410950 GUARAQUECABA";2;10;1;2;-;2;-;14;8;1;-;-;3;1;-;-;2;2;48
"410960 GUARATUBA";14;31;2;17;3;4;-;71;18;12;-;1;3;1;3;2;28;25;235
"410965 HONORIO SERPA";-;7;-;3;-;-;-;20;8;3;-;-;1;-;1;-;-;4;47
"410970 IBAITI";11;45;2;13;1;4;-;76;21;17;-;2;2;-;2;4;16;26;242
"410975 IBEMA";1;8;-;3;-;-;-;15;3;2;-;1;-;-;-;1;1;10;45
"410980 IBIPORA";5;68;5;24;1;9;-;101;50;17;-;1;6;2;6;5;7;37;344
"410990 ICARAIMA";3;11;-;2;1;3;-;22;10;5;-;-;1;-;1;-;8;3;70
"411000 IGUARACU";-;4;-;-;-;2;-;13;4;-;-;-;-;-;2;1;-;5;31
"411005 IGUATU";-;6;-;2;-;-;-;7;3;-;-;-;-;-;-;-;-;3;21
"411007 IMBAU";3;7;-;5;1;-;-;26;12;1;-;-;-;-;1;-;6;13;75
"411010 IMBITUVA";5;23;-;12;5;2;-;58;26;12;-;-;-;-;1;-;5;28;177
"411020 INACIO MARTINS";-;9;-;2;1;-;-;13;11;2;-;1;-;-;2;-;5;2;48
"411030 INAJA";-;1;1;3;-;-;-;9;4;1;-;-;-;-;-;1;-;4;24
"411040 INDIANOPOLIS";1;2;-;1;-;-;-;18;1;1;-;-;2;-;2;-;1;4;33
"411050 IPIRANGA";1;15;-;3;2;1;-;20;13;2;1;-;2;-;-;4;4;4;72
"411060 IPORA";2;25;2;14;1;1;-;40;10;4;-;1;2;-;3;1;9;16;131
"411065 IRACEMA DO OESTE";-;7;-;3;-;-;-;11;3;1;-;-;1;-;1;-;-;2;29
"411070 IRATI";9;86;-;16;6;6;-;149;65;21;-;2;7;-;2;3;24;35;431
"411080 IRETAMA";-;15;-;6;2;4;-;26;12;8;-;-;2;-;1;-;5;12;93
"411090 ITAGUAJE";2;8;-;-;-;1;-;25;1;-;-;-;1;-;-;-;3;2;43
"411095 ITAIPULANDIA";1;11;-;3;3;-;-;14;5;5;-;-;1;-;-;-;1;9;53
"411100 ITAMBARACA";1;13;1;6;-;1;-;23;5;4;-;-;-;-;2;-;2;10;68
"411110 ITAMBE";2;11;1;2;-;2;-;11;3;3;-;-;1;-;-;-;2;3;41
"411120 ITAPEJARA D'OESTE";2;14;-;5;-;-;-;20;6;3;-;-;-;-;-;-;4;8;62
"411125 ITAPERUCU";1;17;-;6;2;2;-;39;13;4;-;1;-;-;2;2;37;29;155
"411130 ITAUNA DO SUL";1;6;1;6;-;2;-;8;1;4;-;-;-;-;1;1;2;3;36
"411140 IVAI";2;13;-;4;-;1;-;14;8;3;-;-;-;1;1;1;27;13;88
"411150 IVAIPORA";5;51;-;26;3;10;-;73;22;20;1;1;4;-;2;2;18;26;264
"411155 IVATE";2;7;1;5;-;1;-;18;3;1;-;-;-;-;2;-;4;6;50
"411160 IVATUBA";1;5;-;-;-;1;-;11;1;-;-;-;-;-;-;-;-;5;24
"411170 JABOTI";2;12;-;3;-;1;-;6;6;1;-;-;2;-;-;-;5;5;43
"411180 JACAREZINHO";22;35;2;40;9;7;-;125;34;21;-;-;10;2;4;4;5;26;346
"411190 JAGUAPITA";8;15;-;9;3;3;-;43;14;7;-;1;2;-;2;-;4;11;122
"411200 JAGUARIAIVA";2;41;-;11;-;4;-;62;25;21;-;1;7;1;6;1;22;28;232
"411210 JANDAIA DO SUL";3;27;1;19;4;4;-;67;16;6;-;-;1;-;-;-;3;17;168
"411220 JANIOPOLIS";-;11;-;2;-;-;-;19;3;5;-;-;2;-;1;-;2;7;52
"411230 JAPIRA";4;6;2;5;-;1;-;12;2;1;-;-;2;-;1;-;1;2;39
"411240 JAPURA";-;7;1;3;-;-;-;31;11;5;1;-;1;-;-;1;1;8;70
"411250 JARDIM ALEGRE";3;12;-;2;-;3;-;16;8;5;1;-;2;-;-;-;11;11;74
"411260 JARDIM OLINDA";-;-;-;1;-;-;-;8;-;-;-;-;-;-;-;-;-;-;9
"411270 JATAIZINHO";2;16;1;5;2;4;-;16;7;5;-;-;3;-;2;1;2;12;78
"411275 JESUITAS";-;14;-;4;-;1;-;29;7;3;-;-;3;-;-;-;1;4;66
"411280 JOAQUIM TAVORA";2;18;1;11;2;1;-;31;13;10;-;-;1;-;1;1;6;14;112
"411290 JUNDIAI DO SUL";1;6;-;2;-;2;-;8;2;3;-;-;1;-;-;-;-;2;27
"411295 JURANDA";1;11;-;1;-;1;-;16;3;2;-;-;1;-;1;1;1;4;43
"411300 JUSSARA";-;6;-;2;-;3;-;18;8;2;-;-;1;-;-;-;1;4;45
"411310 KALORE";4;7;-;3;1;-;-;12;5;4;-;-;5;-;1;-;-;-;42
"411320 LAPA";13;49;1;8;1;3;-;64;42;9;-;-;5;1;6;5;62;39;308
"411325 LARANJAL";1;6;-;-;-;1;-;6;5;1;-;-;-;-;3;-;2;4;29
"411330 LARANJEIRAS DO SUL";5;39;1;11;3;4;-;51;33;7;-;2;-;-;2;-;5;42;205
"411340 LEOPOLIS";1;4;-;-;1;-;-;11;5;1;-;-;1;-;2;1;1;-;28
"411342 LIDIANOPOLIS";1;3;-;2;1;-;-;7;6;-;-;-;1;-;-;-;-;2;23
"411345 LINDOESTE";-;5;1;2;1;-;-;11;5;1;-;-;-;-;-;-;2;4;32
"411350 LOANDA";2;20;-;9;3;6;-;59;21;13;-;-;3;-;4;1;3;18;162
"411360 LOBATO";-;8;-;2;-;-;-;8;5;2;-;-;-;-;-;-;-;5;30
"411370 LONDRINA";102;656;10;131;67;148;-;968;358;190;10;17;66;4;41;28;46;430;3272
"411373 LUIZIANA";1;9;-;6;1;2;-;6;4;3;-;-;1;-;1;-;3;9;46
"411375 LUNARDELLI";1;10;-;5;3;2;-;6;4;1;-;-;1;-;-;1;1;3;38
"411380 LUPIONOPOLIS";3;5;-;-;1;-;-;17;6;2;-;-;3;-;1;-;1;2;41
"411390 MALLET";3;22;1;9;2;2;-;38;10;5;-;1;1;1;-;1;9;6;111
"411400 MAMBORE";1;16;-;2;-;3;-;26;11;9;-;-;3;-;-;2;-;8;81
"411410 MANDAGUACU";2;25;-;7;2;1;-;42;14;4;-;1;2;-;6;-;3;18;127
"411420 MANDAGUARI";3;40;1;21;2;3;-;83;27;15;1;2;6;-;2;3;12;24;245
"411430 MANDIRITUBA";3;20;3;14;-;1;-;36;20;8;1;-;3;-;-;2;32;35;178
"411435 MANFRINOPOLIS";-;4;-;-;-;1;-;4;1;-;-;1;1;-;-;-;1;3;16
"411440 MANGUEIRINHA";5;15;1;2;1;2;-;32;10;7;-;-;1;-;1;1;7;16;101
"411450 MANOEL RIBAS";3;8;1;6;1;1;-;27;17;5;-;-;3;-;3;3;13;15;106
"411460 MARECHAL CANDIDO RONDON";4;65;2;21;5;5;-;88;20;12;-;5;5;-;8;2;11;36;289
"411470 MARIA HELENA";-;6;1;2;-;1;-;27;9;-;-;-;1;1;1;-;3;5;57
"411480 MARIALVA";4;44;-;12;4;10;-;56;31;13;1;-;5;-;1;3;5;24;213
"411490 MARILANDIA DO SUL";-;10;-;7;1;-;-;20;11;6;-;1;3;-;-;-;1;9;69
"411500 MARILENA";-;5;-;4;-;-;-;20;7;1;-;-;1;-;-;-;4;6;48
"411510 MARILUZ";5;17;-;11;-;-;-;28;7;4;1;-;2;-;2;-;6;7;90
"411520 MARINGA";58;360;8;134;22;103;1;547;243;125;1;20;66;2;22;15;35;213;1975
"411530 MARIOPOLIS";2;6;-;3;-;-;-;10;3;1;-;-;2;-;-;-;1;5;33
"411535 MARIPA";-;11;-;3;-;1;-;9;3;-;-;-;1;-;-;-;3;9;40
"411540 MARMELEIRO";2;18;-;6;1;-;-;31;11;4;-;1;-;2;2;2;7;15;102
"411545 MARQUINHO";2;6;-;3;-;-;-;5;8;-;-;1;-;-;-;1;1;4;31
"411550 MARUMBI";-;5;-;2;-;1;-;7;5;1;-;-;1;-;-;-;-;1;23
"411560 MATELANDIA";2;17;-;6;1;-;-;23;7;3;1;1;2;-;3;-;9;27;102
"411570 MATINHOS";13;37;1;14;-;3;-;42;19;15;-;-;2;-;8;3;36;23;216
"411573 MATO RICO";1;3;1;-;1;-;-;12;4;1;-;-;-;-;3;-;-;3;29
"411575 MAUA DA SERRA";-;8;-;1;-;1;-;12;13;6;-;1;1;-;1;1;4;13;62
"411580 MEDIANEIRA";3;59;2;9;6;12;-;57;16;17;-;-;3;2;6;2;8;46;248
"411585 MERCEDES";1;5;-;3;-;1;-;16;5;2;-;-;-;-;-;-;-;4;37
"411590 MIRADOR";1;2;-;2;-;-;-;9;1;-;-;-;-;-;-;-;1;2;18
"411600 MIRASELVA";1;6;-;1;-;1;-;8;6;2;-;-;-;-;-;1;-;4;30
"411605 MISSAL";-;13;-;4;-;3;-;20;3;1;-;-;-;-;1;1;3;8;57
"411610 MOREIRA SALES";3;14;-;13;-;-;-;53;7;7;-;1;3;1;1;1;6;6;116
"411620 MORRETES";4;18;-;4;1;3;-;31;8;6;-;-;3;-;2;-;12;18;110
"411630 MUNHOZ DE MELO";-;3;1;-;-;-;-;11;2;2;-;-;2;-;-;1;1;9;32
"411640 NOSSA SENHORA DAS GRACAS";-;1;-;2;-;1;-;15;2;2;-;-;-;-;-;-;3;2;28
"411650 NOVA ALIANCA DO IVAI";-;-;-;-;-;-;-;5;1;1;-;-;-;-;-;-;1;-;8
"411660 NOVA AMERICA DA COLINA";2;2;-;1;-;2;-;11;1;4;-;-;1;-;1;-;-;3;28
"411670 NOVA AURORA";1;15;-;7;1;4;-;32;14;8;-;1;-;-;1;-;3;14;101
"411680 NOVA CANTU";2;10;-;5;-;1;-;17;6;1;-;-;-;-;-;-;2;4;48
"411690 NOVA ESPERANCA";5;36;-;11;2;3;-;80;23;12;-;-;4;-;2;1;9;18;206
"411695 NOVA ESPERANCA DO SUDOESTE";1;3;-;1;-;-;-;16;4;2;-;-;1;-;1;-;-;2;31
"411700 NOVA FATIMA";1;10;-;4;1;4;-;25;7;9;-;-;-;-;-;1;3;4;69
"411705 NOVA LARANJEIRAS";-;9;-;3;2;1;-;21;11;1;-;-;-;-;3;-;4;21;76
"411710 NOVA LONDRINA";3;14;-;4;-;2;-;26;9;6;1;-;1;1;3;-;5;17;92
"411720 NOVA OLIMPIA";4;8;-;5;1;-;-;14;4;3;-;1;-;1;2;1;3;4;51
"411721 NOVA SANTA BARBARA";1;7;-;-;-;-;-;7;6;3;-;-;-;-;-;-;4;3;31
"411722 NOVA SANTA ROSA";-;13;-;11;1;-;-;34;3;2;-;-;1;-;-;1;1;4;71
"411725 NOVA PRATA DO IGUACU";2;18;-;2;1;-;-;17;4;9;-;-;5;-;1;1;-;11;71
"411727 NOVA TEBAS";2;11;-;3;-;-;-;24;9;3;-;-;1;-;-;2;4;9;68
"411729 NOVO ITACOLOMI";-;4;-;2;-;-;-;4;7;2;-;-;-;-;-;-;1;1;21
"411730 ORTIGUEIRA";-;15;-;7;1;1;-;52;14;9;-;1;4;-;2;1;3;20;130
"411740 OURIZONA";1;6;-;-;-;-;-;7;3;3;1;-;-;-;-;-;3;3;27
"411745 OURO VERDE DO OESTE";-;6;-;3;2;1;-;10;5;3;-;-;1;1;1;-;3;7;43
"411750 PAICANDU";3;28;1;15;2;1;-;55;26;17;1;1;7;-;4;3;17;23;204
"411760 PALMAS";6;40;-;8;2;8;-;65;35;22;2;-;4;2;5;2;26;35;262
"411770 PALMEIRA";4;49;-;8;9;7;-;71;18;12;-;2;4;-;3;1;18;20;226
"411780 PALMITAL";5;15;3;4;1;2;-;53;18;4;-;-;1;-;-;1;6;20;133
"411790 PALOTINA";2;30;2;11;-;4;-;42;17;13;-;1;4;-;3;3;6;30;168
"411800 PARAISO DO NORTE";-;14;-;8;5;1;-;31;7;6;-;1;2;-;-;-;1;4;80
"411810 PARANACITY";-;8;-;5;1;-;-;17;7;3;-;-;1;-;-;2;2;4;50
"411820 PARANAGUA";64;149;12;62;6;20;-;272;118;40;2;3;20;1;15;8;38;74;904
"411830 PARANAPOEMA";-;2;-;2;-;-;-;12;-;3;-;-;1;-;1;-;2;2;25
"411840 PARANAVAI";19;113;3;19;14;16;1;180;50;23;1;1;14;-;4;4;12;54;528
"411845 PATO BRAGADO";1;4;-;2;1;-;-;15;3;2;-;-;3;-;2;-;1;7;41
"411850 PATO BRANCO";13;93;1;17;3;14;-;111;52;25;-;2;4;-;3;4;39;50;431
"411860 PAULA FREITAS";-;10;-;1;1;1;-;19;9;2;-;-;1;-;-;-;1;3;48
"411870 PAULO FRONTIN";2;20;-;1;1;2;-;24;7;2;-;-;1;-;-;-;3;2;65
"411880 PEABIRU";8;12;-;6;-;5;-;27;12;8;-;1;1;-;3;-;3;10;96
"411885 PEROBAL";2;5;-;2;-;-;-;4;4;2;-;-;2;-;1;-;-;4;26
