 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2015
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";2;-;-;-;5;1;-;5;5;2;-;-;1;-;-;-;18;63;102
"410010 ABATIA";1;9;-;1;1;2;-;32;10;2;-;-;3;-;1;-;4;8;74
"410020 ADRIANOPOLIS";-;12;1;5;1;2;-;21;5;1;-;-;1;-;-;-;1;8;58
"410030 AGUDOS DO SUL";2;9;-;1;-;2;-;16;5;1;-;1;1;-;-;2;1;8;49
"410040 ALMIRANTE TAMANDARE";29;123;3;29;14;19;-;170;64;27;-;3;14;1;4;8;12;130;650
"410045 ALTAMIRA DO PARANA";-;5;1;-;-;1;-;9;2;-;-;-;-;-;1;-;-;6;25
"410050 ALTONIA";22;23;1;7;-;3;-;50;24;9;-;-;6;-;4;1;7;17;174
"410060 ALTO PARANA";7;18;-;8;1;-;-;32;10;3;-;1;3;-;1;-;8;12;104
"410070 ALTO PIQUIRI";5;22;1;1;-;4;-;18;8;3;-;-;1;-;3;-;7;8;81
"410080 ALVORADA DO SUL";4;11;-;6;-;-;-;19;9;3;-;-;1;-;-;-;3;8;64
"410090 AMAPORA";2;5;-;1;-;-;-;13;2;1;-;1;2;-;-;1;1;5;34
"410100 AMPERE";2;31;-;7;1;3;-;30;19;5;-;-;1;-;4;3;15;11;132
"410105 ANAHY";-;7;-;2;-;-;-;12;4;1;-;-;-;-;-;-;-;3;29
"410110 ANDIRA";4;31;-;16;6;11;-;66;32;11;1;1;7;-;1;1;2;18;208
"410115 ANGULO";2;4;-;3;-;2;-;7;-;1;-;1;-;-;-;-;1;1;22
"410120 ANTONINA";12;17;1;4;1;1;-;38;19;10;-;-;4;-;1;-;33;15;156
"410130 ANTONIO OLINTO";3;16;2;2;2;1;-;20;14;2;-;-;-;-;1;1;-;7;71
"410140 APUCARANA";29;133;2;37;12;26;-;333;119;46;2;4;12;1;17;4;2;87;866
"410150 ARAPONGAS";20;121;-;42;7;24;-;226;110;36;3;6;21;1;17;4;42;88;768
"410160 ARAPOTI";3;28;1;5;1;1;-;69;21;13;1;-;8;-;4;2;3;25;185
"410165 ARAPUA";1;6;-;1;-;-;-;7;2;2;-;1;1;-;-;-;1;8;30
"410170 ARARUNA";5;26;1;9;-;1;-;35;12;6;-;-;1;-;1;2;4;15;118
"410180 ARAUCARIA";34;144;3;62;10;33;-;140;49;28;1;5;20;1;15;6;2;127;680
