Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2024
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7241;1473,79;25,44;431,50
"410020 Adrianópolis";6256;2134,40;18,29;774,74
"410030 Agudos do Sul";10233;1336,55;23,20;586,14
"410040 Almirante Tamandaré";119825;770,98;24,84;257,09
"410045 Altamira do Paraná";3590;2633,16;20,56;1249,73
"412862 Alto Paraíso";3055;3201,45;17,84;786,82
"410060 Alto Paraná";13909;1951,63;26,39;337,47
"410070 Alto Piquiri";9727;2356,97;31,51;635,97
"410050 Altônia";18742;1507,09;24,07;531,25
"410080 Alvorada do Sul";10326;1931,41;21,27;699,71
"410090 Amaporã";4762;2871,45;27,70;1128,05
"410100 Ampére";19620;1788,10;31,49;522,86
"410105 Anahy";2918;3091,83;21,82;809,16
"410110 Andirá";19878;1518,83;25,47;413,02
"410115 Ângulo";3235;2746,29;24,10;713,85
"410120 Antonina";18091;1755,02;24,12;507,07
"410130 Antônio Olinto";7018;1800,71;24,24;556,67
"410140 Apucarana";130134;1876,25;28,68;1028,14
"410150 Arapongas";119138;1238,38;25,08;348,84
"410160 Arapoti";25777;1819,95;34,76;436,20
"410165 Arapuã";3527;2513,98;22,79;783,60
"410170 Araruna";14485;2246,04;27,52;503,10
"410180 Araucária";151666;2339,02;18,48;410,44
"410185 Ariranha do Ivaí";2329;3709,14;25,46;791,34
"410190 Assaí";13797;1504,21;17,14;469,49
"410200 Assis Chateaubriand";36808;1577,03;30,58;328,43
"410210 Astorga";25475;1561,92;26,31;759,07
"410220 Atalaia";3980;2510,71;22,17;1011,58
"410230 Balsa Nova";13871;1492,68;22,71;375,34
"410240 Bandeirantes";31273;1217,07;29,42;370,07
"410250 Barbosa Ferraz";10795;2044,47;28,20;911,16
"410270 Barra do Jacaré";2814;3236,86;22,19;671,11
"410260 Barracão";9900;1575,61;23,42;692,41
"410275 Bela Vista da Caroba";4031;2467,00;23,53;627,26
"410280 Bela Vista do Paraíso";14833;1619,21;20,97;1002,50
"410290 Bituruna";15533;1703,59;20,02;609,84
"410300 Boa Esperança";4558;2828,48;18,92;969,80
"410302 Boa Esperança do Iguaçu";2455;3437,36;20,40;782,83
"410304 Boa Ventura de São Roque";6170;2000,26;17,89;595,44
"410305 Boa Vista da Aparecida";7924;1736,61;23,30;620,81
"410310 Bocaiúva do Sul";13299;1347,51;25,52;313,80
"410315 Bom Jesus do Sul";3980;1824,46;15,83;826,05
"410320 Bom Sucesso";6581;1290,90;25,33;1030,89
"410322 Bom Sucesso do Sul";3202;3570,23;27,13;540,77
"410330 Borrazópolis";7735;2114,30;31,08;767,49
"410335 Braganey";4854;2230,77;20,81;728,07
"410337 Brasilândia do Sul";3708;3514,59;28,78;1121,85
"410340 Cafeara";2627;3281,76;22,82;780,01
"410345 Cafelândia";18997;1234,02;19,90;458,44
"410347 Cafezal do Sul";4473;2676,97;26,40;912,11
"410350 Califórnia";8710;1644,08;23,71;860,06
"410360 Cambará";23212;1510,52;29,13;336,92
"410370 Cambé";107208;1287,59;31,98;299,06
"410380 Cambira";9899;1383,67;17,99;512,61
"410390 Campina da Lagoa";15723;1355,52;16,16;313,10
"410395 Campina do Simão";3936;2390,99;15,92;1102,19
"410400 Campina Grande do Sul";47825;1107,47;21,66;290,14
"410405 Campo Bonito";4027;3035,55;23,93;861,99
"410410 Campo do Tenente";7508;1027,61;23,37;888,81
"410420 Campo Largo";136327;974,40;27,86;241,49
"410425 Campo Magro";30160;1071,50;21,91;322,95
"410430 Campo Mourão";99432;2294,68;23,92;1410,49
"410440 Cândido de Abreu";15244;1596,65;25,16;555,50
"410442 Candói";14973;1579,96;19,81;461,01
"410445 Cantagalo";10922;1672,12;22,23;712,12
"410450 Capanema";20481;1683,21;25,69;431,92
"410460 Capitão Leônidas Marques";14648;2136,99;26,81;690,26
"410465 Carambeí";24159;1754,66;17,17;291,06
"410470 Carlópolis";17567;1205,39;22,50;256,33
"410480 Cascavel";348051;1622,64;34,13;380,70
"410490 Castro";73075;1275,71;21,27;376,33
"410500 Catanduvas";10446;1684,99;24,10;423,52
"410510 Centenário do Sul";10832;1549,85;18,22;535,56
"410520 Cerro Azul";16240;1414,46;24,23;320,91
"410530 Céu Azul";11251;1605,65;19,12;523,84
"410540 Chopinzinho";21085;2421,45;24,24;1343,65
"410550 Cianorte";79527;2435,31;25,74;1174,44
"410560 Cidade Gaúcha";11684;1488,98;24,03;431,04
"410570 Clevelândia";15070;1943,90;26,08;566,89
"410580 Colombo";232212;890,12;22,60;360,60
"410590 Colorado";22896;2867,51;23,44;1712,70
"410600 Congonhinhas";8320;1913,51;23,40;510,01
"410610 Conselheiro Mairinck";3486;2977,34;26,15;1323,66
"410620 Contenda";19827;1190,22;23,73;354,73
"410630 Corbélia";17470;2008,59;29,75;600,50
"410640 Cornélio Procópio";45206;1673,64;26,24;566,87
"410645 Coronel Domingos Soares";5516;2817,10;27,02;1218,10
"410650 Coronel Vivida";23331;1968,15;23,49;884,16
"410655 Corumbataí do Sul";3760;2336,68;23,53;836,83
"410680 Cruz Machado";15978;2069,03;19,54;464,14
"410657 Cruzeiro do Iguaçu";4133;2824,78;27,49;800,90
"410660 Cruzeiro do Oeste";23831;1637,00;23,24;844,33
"410670 Cruzeiro do Sul";4494;2391,26;22,07;588,98
"410685 Cruzmaltina";2892;3974,50;23,75;826,65
"410690 Curitiba";1773718;1889,20;20,31;961,73
"410700 Curiúva";13647;1637,22;28,08;362,10
"410715 Diamante D'Oeste";4557;2209,01;26,83;575,39
"410710 Diamante do Norte";5142;2547,25;28,72;615,11
"410712 Diamante do Sul";3171;1886,67;16,42;911,25
"410720 Dois Vizinhos";44869;2193,41;31,23;747,14
"410725 Douradina";9161;1669,43;25,20;502,25
"410730 Doutor Camargo";6327;1849,66;21,20;466,33
"412863 Doutor Ulysses";5773;1849,18;27,09;351,96
"410740 Enéas Marques";5999;2965,27;24,74;724,83
"410750 Engenheiro Beltrão";12454;1778,15;25,86;559,57
"410753 Entre Rios do Oeste";4575;3000,40;26,11;570,52
"410752 Esperança Nova";1849;4281,16;18,11;1772,37
"410754 Espigão Alto do Iguaçu";4797;2486,39;18,52;772,15
"410755 Farol";3039;2643,23;20,10;799,14
"410760 Faxinal";16389;1671,99;18,85;354,79
"410765 Fazenda Rio Grande";148873;997,23;25,24;381,90
"410770 Fênix";4492;2522,47;22,73;823,23
"410773 Fernandes Pinheiro";6255;2057,26;20,61;502,41
"410775 Figueira";8062;1514,55;26,48;404,35
"410785 Flor da Serra do Sul";4364;3123,86;25,17;740,58
"410780 Floraí";4792;1663,14;19,94;686,34
"410790 Floresta";10458;1830,13;31,72;851,11
"410800 Florestópolis";11446;1734,59;29,66;511,49
"410810 Flórida";2652;3336,53;29,10;842,75
"410820 Formosa do Oeste";7635;1846,08;20,55;667,23
"410830 Foz do Iguaçu";285415;1796,41;26,43;630,53
"410845 Foz do Jordão";4926;2074,31;21,96;568,07
"410832 Francisco Alves";8116;1929,91;32,31;691,04
"410840 Francisco Beltrão";96666;2268,63;31,65;1221,43
"410850 General Carneiro";11062;1644,81;17,49;469,88
"410855 Godoy Moreira";2977;3308,32;24,86;1191,68
"410860 Goioerê";28437;1824,45;24,12;1062,38
"410865 Goioxim";6566;1757,63;18,25;822,06
"410870 Grandes Rios";5641;2598,65;29,14;439,43
"410880 Guaíra";32097;1846,19;27,75;589,79
"410890 Guairaçá";6587;2554,83;34,02;707,34
"410895 Guamiranga";7856;1635,83;22,23;875,08
"410900 Guapirama";4626;2519,21;27,73;610,98
"410910 Guaporema";2191;3588,21;20,46;1234,86
"410920 Guaraci";4748;2459,79;23,49;973,25
"410930 Guaraniaçu";13735;1903,83;24,59;610,87
"410940 Guarapuava";182093;1259,95;24,73;321,24
"410950 Guaraqueçaba";7430;1556,84;15,28;777,49
"410960 Guaratuba";42062;1605,94;26,33;358,18
"410965 Honório Serpa";4941;3933,96;28,90;631,70
"410970 Ibaiti";28830;1506,44;27,54;689,87
"410975 Ibema";6218;1642,64;25,43;468,00
"410980 Ibiporã";51603;1706,37;25,55;413,74
"410990 Icaraíma";8991;1621,48;20,59;618,95
"411000 Iguaraçu";5338;2832,14;32,88;465,12
"411005 Iguatu";2144;3199,00;17,72;1357,57
"411007 Imbaú";14249;623,36;16,56;542,70
"411010 Imbituva";29924;1944,01;28,77;349,90
"411020 Inácio Martins";9670;1994,98;22,96;772,56
"411030 Inajá";2536;3307,99;31,04;540,37
"411040 Indianópolis";4448;2623,06;22,26;765,49
"411050 Ipiranga";14142;1925,74;20,59;625,01
"411060 Iporã";15746;1800,56;28,91;526,66
"411065 Iracema do Oeste";2343;3161,51;21,05;1056,65
"411070 Irati";59250;968,73;19,35;315,29
"411080 Iretama";10684;2195,26;30,17;701,43
"411090 Itaguajé";4481;1957,53;19,95;750,31
"411095 Itaipulândia";11485;4099,83;22,74;481,88
"411100 Itambaracá";5908;1980,29;27,49;360,88
"411110 Itambé";6111;1766,63;22,30;579,17
"411120 Itapejara d'Oeste";12344;1930,15;32,17;948,30
"411125 Itaperuçu";31217;896,11;22,11;278,54
"411130 Itaúna do Sul";3572;2555,76;24,73;972,72
"411140 Ivaí";13229;1386,16;20,45;476,65
"411150 Ivaiporã";32720;990,90;17,44;698,57
"411155 Ivaté";6831;2104,64;24,80;964,65
"411160 Ivatuba";2708;3027,91;24,44;1103,50
"411170 Jaboti";5427;2221,44;29,75;764,87
"411180 Jacarezinho";40375;1296,56;18,44;462,60
"411190 Jaguapitã";15122;2311,04;33,68;417,01
"411200 Jaguariaíva";35141;1363,33;26,51;355,25
"411210 Jandaia do Sul";21408;1319,57;18,94;355,00
"411220 Janiópolis";5835;1828,89;21,75;768,28
"411230 Japira";4972;2194,40;24,23;732,70
"411240 Japurá";9144;1825,07;18,11;620,31
"411250 Jardim Alegre";12004;1504,03;22,13;652,49
"411260 Jardim Olinda";1343;4878,24;18,02;1490,68
"411270 Jataizinho";11813;1062,51;21,55;263,57
"411275 Jesuítas";10506;1661,20;22,88;588,91
"411280 Joaquim Távora";11945;1258,23;21,22;384,43
"411290 Jundiaí do Sul";3333;2716,16;22,93;485,44
"411295 Juranda";7771;1768,83;20,92;770,87
"411300 Jussara";6690;2709,52;27,68;746,12
"411310 Kaloré";4582;2116,95;22,47;603,72
"411320 Lapa";45003;1304,80;22,94;483,76
"411325 Laranjal";5600;1745,30;15,43;710,80
"411330 Laranjeiras do Sul";32227;1284,77;21,02;604,33
"411340 Leópolis";3752;2793,74;23,70;1051,33
"411342 Lidianópolis";3938;3093,99;31,05;1008,88
"411345 Lindoeste";5175;2186,10;26,05;681,54
"411350 Loanda";23225;1483,74;25,39;324,11
"411360 Lobato";4601;2780,49;32,97;544,80
"411370 Londrina";555965;1887,41;23,68;1045,14
"411373 Luiziana";6696;2528,40;20,78;708,19
"411375 Lunardelli";4872;2099,09;18,48;733,98
"411380 Lupionópolis";4813;2306,53;24,96;787,36
"411390 Mallet";13428;1767,43;27,90;341,11
"411400 Mamborê";13452;2385,62;25,57;1489,33
"411410 Mandaguaçu";31457;1070,81;28,22;283,92
"411420 Mandaguari";36716;1981,48;24,25;627,33
"411430 Mandirituba";27439;934,04;19,94;261,08
"411435 Manfrinópolis";2761;2787,51;21,39;974,36
"411440 Mangueirinha";16603;2578,24;30,88;968,85
"411450 Manoel Ribas";14576;1296,18;19,30;451,79
"411460 Marechal Cândido Rondon";55836;1869,30;27,81;352,73
"411470 Maria Helena";5865;1785,66;24,39;649,93
"411480 Marialva";44098;1195,92;24,29;334,77
"411490 Marilândia do Sul";8677;1676,62;24,65;535,46
"411500 Marilena";7253;2434,05;30,30;1014,76
"411510 Mariluz";9847;2162,92;23,70;898,86
"411520 Maringá";409657;1958,36;21,51;976,77
"411530 Mariópolis";6371;2703,81;23,86;481,68
"411535 Maripá";6555;2088,36;20,24;460,32
"411540 Marmeleiro";15901;1881,80;28,60;672,50
"411545 Marquinho";4515;2536,22;23,07;915,22
"411550 Marumbi";4699;2143,74;18,24;680,07
"411560 Matelândia";18450;1582,18;19,34;387,87
"411570 Matinhos";39259;1700,95;28,71;355,99
"411573 Mato Rico";3267;2767,89;18,03;897,58
"411575 Mauá da Serra";9383;1973,74;22,95;862,76
"411580 Medianeira";54369;1581,25;34,25;325,58
"411585 Mercedes";5931;2417,86;21,27;594,52
"411590 Mirador";2238;4286,93;24,04;621,47
"411600 Miraselva";1966;3795,26;22,99;664,33
"411605 Missal";11064;2756,43;21,94;456,28
"411610 Moreira Sales";11175;1697,16;22,96;813,74
"411620 Morretes";18309;1006,50;19,59;542,56
"411630 Munhoz de Melo";3951;2574,60;23,03;441,35
"411640 Nossa Senhora das Graças";3669;2257,11;23,08;828,84
"411650 Nova Aliança do Ivaí";1323;4074,56;18,46;1027,97
"411660 Nova América da Colina";3280;2040,34;18,13;691,11
"411670 Nova Aurora";13765;2122,58;17,42;469,68
"411680 Nova Cantu";6790;2371,65;26,24;519,40
"411690 Nova Esperança";26585;1606,45;25,76;462,11
"411695 Nova Esperança do Sudoeste";5597;2405,93;20,63;811,80
"411700 Nova Fátima";7225;1840,96;27,22;449,80
"411705 Nova Laranjeiras";12074;1547,70;19,54;472,49
"411710 Nova Londrina";12923;1835,31;25,36;754,70
"411720 Nova Olímpia";5833;2441,05;29,20;855,56
"411725 Nova Prata do Iguaçu";12699;1686,79;24,47;490,46
"411721 Nova Santa Bárbara";4184;2302,11;24,72;1065,10
"411722 Nova Santa Rosa";8322;1490,88;16,10;414,53
"411727 Nova Tebas";6848;2597,71;20,91;1052,83
"411729 Novo Itacolomi";3125;3840,87;20,96;878,09
"411730 Ortigueira";24192;2237,06;20,19;305,74
"411740 Ourizona";3187;2894,20;25,02;636,67
"411745 Ouro Verde do Oeste";6785;2625,50;20,83;577,47
"411750 Paiçandu";48207;1058,22;34,98;251,00
"411760 Palmas";48247;1375,03;21,32;362,50
"411770 Palmeira";33855;1403,33;22,04;422,46
"411780 Palmital";13033;1387,46;16,06;637,14
"411790 Palotina";35011;2849,22;31,46;690,28
"411800 Paraíso do Norte";13245;1960,03;24,45;738,06
"411810 Paranacity";9557;1744,93;28,60;501,35
"411820 Paranaguá";145829;1259,02;18,06;225,01
"411830 Paranapoema";2398;4077,09;25,42;1187,00
"411840 Paranavaí";92001;1612,18;32,42;348,49
"411845 Pato Bragado";5733;2982,97;18,78;633,95
"411850 Pato Branco";91836;2661,83;32,59;1585,28
"411860 Paula Freitas";5666;1990,03;19,48;983,55
"411870 Paulo Frontin";6343;2228,28;15,58;568,32
"411880 Peabiru";13496;1774,07;26,12;604,94
"411885 Perobal";7189;1865,92;16,03;549,74
"411890 Pérola";11878;1911,22;25,78;832,10
"411900 Pérola d'Oeste";6221;1300,27;25,11;529,36
"411910 Piên";13655;1640,17;17,34;705,90
"411915 Pinhais";127019;1333,70;20,15;329,42
"411925 Pinhal de São Bento";2761;2502,24;18,51;860,61
"411920 Pinhalão";6566;1691,12;19,83;1035,66
"411930 Pinhão";29886;1129,70;15,33;423,30
"411940 Piraí do Sul";23651;1740,38;21,36;590,44
"411950 Piraquara";118730;869,26;25,31;204,30
"411960 Pitanga";33678;1329,75;20,98;468,66
"411965 Pitangueiras";3046;2610,41;15,08;1005,67
"411970 Planaltina do Paraná";4070;2619,62;27,69;826,26
"411980 Planalto";14374;2283,22;29,96;692,79
"411990 Ponta Grossa";358371;945,19;22,10;244,53
"411995 Pontal do Paraná";30425;1443,21;28,56;282,06
"412000 Porecatu";11624;1816,76;25,30;654,80
"412010 Porto Amazonas";4098;2446,40;23,46;513,24
"412015 Porto Barreiro";3110;3314,39;18,16;949,23
"412020 Porto Rico";3182;4262,90;22,06;643,01
"412030 Porto Vitória";3562;3483,07;27,92;522,85
"412033 Prado Ferreira";3709;2504,33;23,12;710,13
"412035 Pranchita";5737;3109,98;29,85;1107,23
"412040 Presidente Castelo Branco";4336;2117,15;29,26;700,79
"412050 Primeiro de Maio";10082;1540,66;19,81;481,26
"412060 Prudentópolis";49393;1022,72;21,68;324,28
"412065 Quarto Centenário";4201;2054,95;19,97;682,08
"412070 Quatiguá";8099;1699,69;29,90;317,27
"412080 Quatro Barras";24191;1633,00;20,89;400,76
"412085 Quatro Pontes";4636;1908,64;15,36;560,69
"412090 Quedas do Iguaçu";30738;1248,38;27,00;664,89
"412100 Querência do Norte";10685;1884,21;24,01;811,35
"412110 Quinta do Sol";5001;2743,20;21,54;985,15
"412120 Quitandinha";18398;1423,32;27,71;389,20
"412125 Ramilândia";4221;2204,14;18,49;1360,31
"412130 Rancho Alegre";3512;3012,64;27,33;601,29
"412135 Rancho Alegre D'Oeste";2618;3505,26;20,85;715,90
"412140 Realeza";19247;1445,23;23,81;744,76
"412150 Rebouças";14514;1665,10;23,08;677,51
"412160 Renascença";6845;2953,81;31,74;863,70
"412170 Reserva";24573;1421,34;27,54;580,20
"412175 Reserva do Iguaçu";6553;2096,72;19,19;740,72
"412180 Ribeirão Claro";12364;1305,58;20,55;360,04
"412190 Ribeirão do Pinhal";13060;1132,03;18,91;258,17
"412200 Rio Azul";14025;1164,23;15,17;600,63
"412210 Rio Bom";3197;2615,79;16,74;1134,48
"412215 Rio Bonito do Iguaçu";13929;1627,56;23,81;676,41
"412217 Rio Branco do Ivaí";3808;3055,83;25,40;1226,91
"412220 Rio Branco do Sul";37558;1363,03;19,19;529,76
"412230 Rio Negro";31324;1457,72;30,76;394,43
"412240 Rolândia";71670;1396,91;28,77;447,80
"412250 Roncador";11251;1985,92;24,18;525,19
"412260 Rondon";9097;1755,99;20,25;656,28
"412265 Rosário do Ivaí";5435;2234,20;26,46;676,94
"412270 Sabáudia";8822;2053,33;20,59;438,86
"412280 Salgado Filho";4075;2247,31;17,02;1151,52
