 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2023
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";2;1;-;-;1;-;-;5;1;3;-;-;-;-;-;-;26;38;77
"410010 ABATIA";5;10;-;8;2;1;-;24;4;2;-;-;2;-;-;-;4;15;77
"410020 ADRIANOPOLIS";4;8;-;2;-;4;-;16;8;2;-;-;2;-;-;-;3;5;54
"410030 AGUDOS DO SUL";3;9;-;9;1;2;-;25;11;5;1;-;2;-;3;-;8;11;90
"410040 ALMIRANTE TAMANDARE";37;166;2;40;9;32;1;207;67;36;1;5;20;2;7;2;14;109;757
"410045 ALTAMIRA DO PARANA";-;4;-;2;-;3;-;11;5;4;-;-;2;-;-;-;-;6;37
"410050 ALTONIA";4;26;2;8;-;16;-;54;25;13;2;-;4;-;1;-;5;23;183
"410060 ALTO PARANA";2;22;-;7;1;6;-;48;7;7;-;-;2;-;4;-;1;7;114
"410070 ALTO PIQUIRI";2;13;-;3;2;1;-;15;20;7;1;1;2;-;1;-;4;8;80
"410080 ALVORADA DO SUL";2;19;-;6;1;5;-;32;10;2;-;2;12;-;1;-;3;7;102
"410090 AMAPORA";-;7;-;1;2;-;-;10;8;5;-;-;-;-;-;1;1;7;42
"410100 AMPERE";5;22;-;3;-;3;-;36;15;6;1;-;4;-;2;2;1;13;113
"410105 ANAHY";-;10;-;1;-;-;-;7;-;4;-;-;-;-;1;2;-;-;25
"410110 ANDIRA";9;30;1;23;2;4;-;50;21;14;1;-;9;-;1;1;21;14;201
"410115 ANGULO";2;5;-;2;-;-;-;2;3;2;1;-;3;-;1;-;-;3;24
"410120 ANTONINA";9;32;-;15;1;4;-;52;18;8;2;-;7;-;2;-;18;14;182
